"sigma","b1","b2","b3","b4","b5","b6","theta","alpha","D","L1","L2","wL1","wL2","c1","c2","omega","xi","P1","P2","S_0","I1_0","I2_0","R1_0","R2_0","Rc1_0","Rc2_0","J1_0","J2_0","R_0","phi","rho","rhoS","loglik","loglik.se"
0.086131560881176,4.60641662343512,3.25914958255239,2.42047831286006,3.07450998420889,3.73676802954231,4.27912439864271,1.04605028729776,0.880234757061011,0.093789664086583,7.70370447076045,42.2606808072445,2.71708448359261,5.87838670874353,0.466688065857335,2.19565461971235,0.462720170002891,0.094753158614492,2.67518967654982,1.69397372481432,0.130777063390081,4.99844123073593e-08,6.13463356012723e-08,0.196950051268427,0.269374281827972,0.189998380885941,0.159224126965061,6.5942524596895e-08,6.60673694840082e-08,0.053675852321875,0.328677151828387,0.525740294414724,0.310480136774823,-2330.66697872183,0.361700320832484
0.102137113226739,4.63256018195266,3.26824638033104,2.18150929844021,2.75296787430269,3.54292085911614,4.08934453638438,0.812440212600617,0.837048405668862,0.111432498884903,54.5084775017661,17.2773423201852,10.0744932924261,7.01437742830924,0.567712915811229,0.705704260168987,0.363212804524516,0.081231068088589,8.14746683553607,0.606139869385763,0.079398815917384,1.10496170166301e-07,9.75142227141678e-08,0.077367898116792,0.517228194543138,0.142118008795725,0.109653668845329,8.84877411710814e-08,1.14441270972946e-07,0.074233002842227,0.193984847558271,0.549015714667559,0.35431728307001,-2334.7942407173,0.254722692183929
0.087694449198443,4.25051824592531,3.65934587573199,2.68648016415936,3.68426996973873,3.849074891371,4.97827115337625,2.8236272991008,0.880824669528694,0.071021699667177,48.1463277847231,41.2755848907146,2.76460055124353,2.94682947190255,0.221073689803611,1.4786495167857,0.503281888485199,0.233462838832846,8.68029322235804,1.66226955742475,0.265092183587709,7.4804778123432e-08,4.24308445728831e-08,0.071536002148659,0.225803761745113,0.182734310006041,0.150253613872328,5.31472583375431e-08,7.60871695952176e-08,0.104579882170099,0.318535214000193,0.546651333712691,0.309807847772779,-2334.99058264748,0.333348943815198
0.095369739329535,4.65878144823027,3.08697768860231,3.01991647854331,3.21209661488706,3.97987552542965,4.50359509163039,4.98943219938076,0.892399510263603,0.05835871732962,11.3542905592493,127.044712363126,3.06185519933449,3.3137845422731,0.805495498876964,2.03197863042072,0.573397796768606,0.147635445525504,0.880078617018361,0.992193099040695,0.161396950649522,5.45669763631067e-08,5.74927527868756e-08,0.252925365960642,0.259051974856407,0.1345378914279,0.145792969618125,3.83141280647845e-08,6.61505638321144e-08,0.046294630962983,0.291392999408498,0.469384604197432,0.361598096938179,-2335.20005272002,0.142686115233096
0.107339261737251,4.8321747965603,3.63575376113547,1.73297167246767,2.85832757055672,3.62511561969516,4.16558799719841,1.57509438244569,0.83032255595696,0.085446734595246,249.474256538643,13.5436189386364,7.45371185697734,3.86541737891217,0.236717632428946,0.441590217670597,0.68230465504709,0.201128763661661,1.36163563770729,5.42371457327005,0.094236913859999,1.17667822289386e-07,8.66722030524893e-08,0.084362761441878,0.509840672914314,0.135107206562316,0.096452131275545,9.93066547320356e-08,1.18517219041527e-07,0.07999989178205,0.183853478109821,0.434172515239385,0.327527478404776,-2335.34791940424,0.546262707352653
0.086094443072825,4.27071993670934,2.56223195835006,2.33798990698428,2.64161214911398,3.43526092034757,3.86994878282558,1.05072088199426,0.857634658494949,0.020816710518608,28.1269456335021,51.966324007547,5.29268218319025,6.46476062822091,0.912513371816084,1.47980749956416,2.33254922872784,0.210118858226638,6.95752189613187,7.08713230824144,0.264798168554344,6.29091791440749e-08,6.74947834383628e-08,0.075538201484322,0.349972782333379,0.0886217749791,0.146058548053202,4.44575338024557e-08,8.13706649577424e-08,0.075010268363493,0.380289253382728,0.478325389825685,0.336949340146392,-2335.92768129826,4.72905737592911
0.105564807021384,4.47079016210404,2.75911910624045,2.8933946020918,3.24784365544972,4.09548797070751,4.22725603118344,1.05763443096596,0.908926640071848,0.057530034665292,89.4099751394456,22.8335682517176,10.2870369426591,6.87267172018886,0.514979519223769,2.25355148805491,0.760886217168503,0.26211448683557,0.477069549046703,0.232198911766337,0.128092572184448,1.32170145215044e-07,1.46347025944716e-07,0.173326377984172,0.142680406693536,0.268392537137858,0.22077843548939,6.91632391401925e-08,8.56055748267964e-08,0.06672923722461,0.25219240234941,0.459988309559718,0.390851630361435,-2336.00816067442,0.394568699447511
0.105769382103501,4.65354275254662,3.73962556155954,2.23010579861418,3.48548438594779,4.24050075799551,4.48475584714708,1.29213303415768,0.890906931774501,0.097244190162653,11.1296112757165,188.556857450868,1.75502405993505,5.37480367632532,0.222450054149879,2.43416564485392,0.463611589756873,0.089133795115741,2.10724274893156,5.80062195988907,0.345356294264933,7.76663269621742e-08,6.8475837984041e-08,0.148957226363523,0.294824601658911,0.057467816496889,0.069319407013128,4.5002134103226e-08,5.64664060528883e-08,0.084074406591911,0.452389750905525,0.411532249556971,0.376022869159658,-2336.22802723596,0.341245138490045
0.097155334766322,4.35352801311298,3.81914368121811,2.57058567027416,2.76820499965291,3.89046352023093,4.21423858137651,6.529098216375,0.872702274606848,0.088708517756622,2.16640976088445,20.2848371662169,0.498725407949187,1.59493100799914,0.142578781219938,0.747171595975936,0.503791843391886,0.116688630068862,0.15729222825375,0.339623360491094,0.283241947968702,3.38134245205978e-08,1.04361024873286e-07,0.10268629504371,0.232161740592514,0.131999698443204,0.183976323728756,5.20103877777645e-08,5.08499153056262e-08,0.065933753188361,0.159565549841806,0.574220378144491,0.294294325513003,-2336.3324471761,2.11844546117238
0.097090966975923,5.16360328976165,3.06711018186515,3.0755211098645,3.2742848992496,3.88547238701168,4.54580457166931,1.75897935577928,0.870334395491481,0.071716414313744,10.542677151454,32.556161982428,2.64184664277543,3.64552079466344,0.339291875255318,1.07412240384279,0.528772819056307,0.094757281343064,11.8852009567709,0.29365132719925,0.295319292050602,6.53815892631942e-08,6.79159290183498e-08,0.059015543226138,0.203906358403198,0.084415554889589,0.147051634906108,4.87268106190981e-08,9.54772387280961e-08,0.210291339022798,0.303995371315405,0.505512392682479,0.466408428019507,-2337.66805583827,0.739987263569835
