theta,sigma,b1,b2,b3,b4,b5,b6,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0,0.200289291,7.853606148,6.01778653,3.16752175,3.166867032,4.651842562,3.651770365,0.739988474,0.18012307,8.413933604,11.10448654,9.425796943,14.69235504,0.362182579,1.282772182,0.475779675,0.132067651,14.03991634,9.058530271,0.214116074,6.56E-08,5.20E-08,0.070435659,0.398045661,0.13389645,0.127866779,9.19E-08,7.09E-08,0.055639097,0.332122311,0.810380809,0.416593484,-2471.839428,1.11138819
0,0.153640686,5.588970632,4.076138764,3.102302186,3.155697104,4.235768172,4.778783345,0.876636337,0.26674935,5.553120745,21.65726414,8.894753663,0.154108126,0.626903211,2.779541096,0.339690227,0.027700439,2.178212711,11.38193451,0.187686283,6.75E-08,4.89E-08,0.094941496,0.412418673,0.139618441,0.108667361,6.58E-08,8.75E-08,0.056667476,0.564049585,0.673502566,0.415558012,-2386.995108,0.357811688
0,0.29620357,10.28163514,6.374878216,2.336577762,3.190787006,3.890734258,3.287145322,0.65817929,1.382670404,98.47639297,50.30465689,46.86202767,2.048255327,0.554206063,6.984876295,0.208937614,0.050061421,0.820582708,4.163470447,0.170904329,4.36E-08,5.60E-08,0.119726737,0.347027743,0.139406731,0.162150384,8.25E-08,4.92E-08,0.060783844,0.094140169,0.664590864,0.444487718,-2477.076176,3.508893097
0,0.20040497,11.73146433,4.424461603,5.02835141,2.535520974,4.899247538,4.772492366,0.879124378,0.811430219,329.4858258,129.3432861,16.09506017,0.450977185,0.129636963,1.50268026,0.617448101,0.547549843,2.941955377,35.22305413,0.282627444,5.81E-08,7.60E-08,0.088339265,0.251800905,0.172701103,0.130736552,6.30E-08,1.07E-07,0.073794427,0.06402872,0.66306224,0.532104999,-2461.339326,0.752333155
0,0.215930822,9.137836734,4.599167542,4.427156231,4.424913062,4.707069229,6.402407095,0.846494601,1.438846206,73.0763445,772.4971627,10.2437173,4.02971342,0.067542821,1.755437079,3.360960203,0.151240593,3.423509593,1.175785414,0.220321554,7.68E-08,4.44E-08,0.137062101,0.354477704,0.127036049,0.093860619,4.98E-08,7.88E-08,0.067241722,0.089398576,0.6410558,0.454327854,-2451.159121,0.259725558
0,0.136943628,3.666339447,2.95053185,1.307669604,3.4325698,1.542631261,4.83804516,0.765209332,0.136233346,73.07182507,2.05672092,3.899349029,13.74912007,0.180975752,21.20680517,0.470406238,0.476935515,0.209277241,6.74705856,0.139466502,7.03E-08,6.07E-08,0.10375262,0.428872294,0.149919237,0.097022709,8.07E-08,9.61E-08,0.080966329,0.244067536,0.724337487,0.455433692,-2417.179421,0.303070491
0,0.27567054,10.18543483,3.861133168,5.10112604,1.671229538,3.22217651,3.832884811,0.641639808,1.325179539,407.8621458,57.10326118,1.731698933,2.693651932,0.285539291,13.63940043,4.702945801,0.120339602,1.195188755,36.37195669,0.137708507,5.54E-08,7.48E-08,0.165522566,0.382571182,0.143958158,0.117885991,6.56E-08,1.15E-07,0.052353285,0.025082245,0.633075535,0.391971312,-2472.759525,1.582781132
0,0.216964438,8.861496172,8.336225947,4.538416015,6.943407794,5.050643863,9.52520031,0.953389686,1.435896898,250.5580795,183.6926501,23.1077217,1.25499196,0.044041683,0.756809856,1.361971847,0.055159314,1.672920486,1.20902921,0.297372035,7.88E-08,1.18E-07,0.114720842,0.244672106,0.116266113,0.159601189,5.45E-08,6.87E-08,0.067367396,0.10172459,0.519149729,0.424647902,-2442.014404,0.377007881
0,0.132742005,5.536692188,3.169220528,1.805202247,2.954906357,2.817221703,4.044232094,0.731115452,0.245996097,4.980353863,28.54262753,35.62344462,72.8958978,1.380576376,0.044386143,0.304315066,0.062687422,12.09040199,6.769422991,0.201141676,8.47E-08,1.05E-07,0.133662636,0.287582936,0.157004973,0.159906913,9.56E-08,7.93E-08,0.060700503,0.528482413,0.732758838,0.413371576,-2432.5337,1.315514489
0,0.098459733,3.783619741,2.956136281,1.946350043,2.736266646,3.364686417,4.028989314,0.920081415,0.134966786,2.108727241,6.020189636,0.299272636,4.35721652,1.962771983,6.148280623,0.494523383,0.037475773,9.802492055,3.868490035,0.147537859,5.93E-08,5.63E-08,0.205057231,0.294803467,0.166267438,0.120941773,6.20E-08,8.89E-08,0.065391966,0.559194601,0.541650228,0.46097851,-2360.2425,0.703460274
0,0.318858828,6.351491511,6.792191783,1.080187394,2.744869286,1.079752456,8.642219288,0.641210487,0.649363772,114.3720211,154.7805372,5.103528208,3.873642832,0.09185526,4.146011476,1.377554382,0.119646699,2.654157711,0.889160971,0.089506323,7.46E-08,9.74E-08,0.132013549,0.450112569,0.132713798,0.111119706,3.24E-08,8.20E-08,0.084533768,0.158916371,0.648384744,0.586857456,-2459.103,1.305122844
0,0.236187116,8.618101388,4.50982968,1.965882325,2.619332832,1.699341913,4.992130265,0.699401365,0.574987059,76.5239142,29.17870036,15.87924818,5.750438628,0.119464418,9.51008449,4.342405947,0.027360786,1.235403373,0.504069976,0.272426398,1.32E-07,6.55E-08,0.161504504,0.193323973,0.154655077,0.113412734,4.29E-08,8.32E-08,0.10467699,0.224309824,0.671804887,0.529963945,-2465.522432,0.32866445
0,0.21039853,10.550457,4.56544785,2.138165598,0.58969981,2.029093256,3.021530651,0.729654955,0.755562521,40.8243551,30.84489256,28.8692428,5.395716677,0.434653753,3.277430828,1.757497215,0.083900647,18.00500722,1.955582864,0.207168448,8.28E-08,3.81E-08,0.131374748,0.34493667,0.147400701,0.109344247,4.99E-08,7.67E-08,0.059774939,0.397910297,0.773127485,0.595614658,-2477.739332,0.479305288
0,0.235247491,9.163742087,6.001171062,1.231183508,2.020488345,2.40342358,5.897450446,0.812439564,1.377668266,246.4830608,80.57808766,6.199301721,25.42858148,0.081320387,8.986145784,1.01009537,0.247909348,0.651582721,2.240533333,0.126144084,8.86E-08,5.81E-08,0.183699385,0.29066438,0.151820989,0.154812537,4.22E-08,1.03E-07,0.092858333,0.244586508,0.594435123,0.526148608,-2473.636401,0.628221965
0,0.261462315,10.70215022,4.685279948,3.47148576,1.178041587,4.727636986,5.193279238,0.91514997,0.540297125,77.1502801,80.25774323,22.40956023,17.34804711,0.114976855,0.020479878,0.570127498,0.368475765,1.175235502,0.139560896,0.11152857,7.50E-08,6.30E-08,0.127418517,0.35963547,0.173044732,0.109698835,7.78E-08,7.64E-08,0.118673585,0.035825999,0.765864412,0.492057865,-2470.254617,3.418462449
0,0.217382435,8.498098363,6.238929665,3.061148362,3.280652772,2.829552876,9.093946635,0.832629112,0.837367223,580.550142,91.03826928,5.778174609,13.93929653,0.145519999,2.704646562,1.803480551,0.127115737,2.226884676,5.761320535,0.100102484,1.31E-07,8.41E-08,0.205623326,0.374092047,0.140243945,0.096646441,6.14E-08,1.10E-07,0.08329137,0.385023556,0.737735188,0.880135242,-2471.953893,0.318513205
0,0.227215452,7.973758541,5.353704557,1.769112594,1.369296875,2.115054587,5.476486878,0.72099505,2.019397517,188.5147798,92.27132655,11.4839516,14.53279376,0.503652519,4.453565604,8.675235201,0.041921304,20.22950527,2.309272008,0.153879842,7.20E-08,3.40E-08,0.102710922,0.384230538,0.14396469,0.156725347,4.05E-08,5.34E-08,0.058488462,0.572915337,0.580552972,0.614529127,-2469.226774,0.534767942
0,0.197599901,11.48876804,5.957326436,4.515270934,3.867472284,4.07404642,5.95848302,0.804995349,1.971640671,413.5637924,105.685989,44.51517433,47.59316336,0.298973308,0.657609955,1.378028683,0.164069463,1.235676111,3.846561627,0.157030155,9.89E-08,5.64E-08,0.107481391,0.356991444,0.156651858,0.161828309,1.14E-07,1.42E-07,0.060016432,0.056429113,0.739735218,0.512208361,-2467.399852,0.229489313
0,0.202978848,5.913857525,7.74900475,0.670791808,1.593360241,1.295200966,5.015351393,0.757728908,0.231223556,19.83898719,34.93691877,15.94479268,31.35808478,0.674350956,0.443487136,4.815329431,0.098403766,0.110535761,0.518788093,0.148005079,1.01E-07,9.18E-08,0.072821411,0.44140396,0.151414845,0.119358679,7.99E-08,1.18E-07,0.066995635,0.597226086,0.747307436,0.594670222,-2477.118429,0.244245396
0,0.228946872,9.214272115,4.939571088,3.355427324,3.710720386,3.60445217,5.159631254,0.775383382,1.362566735,76.46930183,25.3460012,7.705404675,4.480422129,0.356954195,3.263522958,1.865452704,2.61264882,23.77025695,2.80276611,0.074853704,9.83E-08,3.77E-08,0.13322657,0.427194377,0.199643511,0.120719074,6.32E-08,5.50E-08,0.04436251,0.112349565,0.81299216,0.569186608,-2466.297506,0.433727907
0,0.258805401,10.44068449,6.773237225,5.610328328,4.157792539,6.711427877,7.17781964,0.957574327,0.876101988,487.7667195,99.19656876,0.46614794,29.17715804,0.079767338,1.29733872,0.85448155,0.688333034,2.366442609,0.074935462,0.20773852,7.16E-08,1.14E-07,0.144270749,0.316002167,0.158917996,0.101175941,8.42E-08,6.37E-08,0.071894293,0.05813995,0.775525153,0.467946759,-2458.162308,0.380198607
0,0.193693357,10.37890122,5.228705498,3.371568553,3.543612087,3.27697844,4.146080271,0.736742686,0.695442926,197.3601457,56.42374919,1.649703058,3.648652885,0.216038048,6.438077055,1.869355056,0.291071875,8.688669551,0.178327086,0.088953347,6.80E-08,8.62E-08,0.260995346,0.314658041,0.124910375,0.12942401,7.32E-08,1.42E-07,0.081058511,0.134797498,0.686534378,0.471670383,-2483.127566,9.356750001
0,0.047775127,4.48279699,4.185232593,3.40389859,4.301900174,4.022731493,5.311624879,0.926137229,0.112221758,2.746515873,5.295180701,1.86290094,231.2531839,0.345043494,0.288222821,0.441414676,0.025638334,4.623788689,4.905788824,0.156138288,1.13E-07,7.42E-08,0.117096431,0.306603022,0.163673067,0.16051517,8.03E-08,1.07E-07,0.095973647,0.385144559,0.873947186,0.551609671,-2390.892836,5.15826634
0,0.204357283,9.292693225,6.570656401,1.99511267,3.834190117,3.661004981,5.577895979,0.874910273,1.723822749,56.25690181,69.83448223,3.486492473,1.927966704,0.249161099,0.422709321,3.606562547,0.50884136,4.848487623,4.765274261,0.152241825,9.83E-08,6.26E-08,0.125348405,0.420657518,0.139179401,0.108135942,8.26E-08,9.73E-08,0.054436568,0.109752216,0.782891571,0.48451039,-2466.066742,0.865928859
0.050505051,0.254463336,5.987367627,5.999623685,1.848497107,2.721638423,2.465370899,4.583756897,0.559488582,2.312487476,22.57847236,9.455607654,0.872670273,2.847191402,0.052589818,8.032639622,2.161416621,0.027678126,2.003730373,1.20857174,0.096529321,1.04E-07,9.42E-08,0.104230234,0.407399769,0.170883078,0.128302344,4.95E-08,9.81E-08,0.092654909,0.174467927,0.737432197,0.480423679,-2465.156591,0.324676284
0.050505051,0.230451603,10.32595808,6.10912256,0.964108759,2.471984531,1.725907892,5.347328922,0.671045205,0.82227589,80.15534935,38.1126903,0.36731117,1.820581703,0.12511786,2.014953279,0.483558808,0.447359025,1.529821718,82.69133027,0.137316291,1.04E-07,6.04E-08,0.134679226,0.33376682,0.19673522,0.134377744,7.95E-08,1.34E-07,0.063124322,0.100598545,0.593044439,0.432507959,-2490.506842,1.399463083
0.050505051,0.283096563,10.21627511,2.993916113,2.925742006,1.477314453,2.381956384,5.231186741,0.736933714,1.131683405,291.4442449,90.10868651,28.30901887,18.99280492,0.594371075,8.386705664,0.816721764,0.834450347,25.72973085,19.613804,0.234566416,1.17E-07,8.38E-08,0.062641197,0.396053141,0.108998883,0.09863834,4.14E-08,4.72E-08,0.099101733,0.179867944,0.633026531,0.549543076,-2472.476551,0.896185607
0.050505051,0.26083821,9.320088997,4.556924977,3.290573397,1.722152026,5.218452524,5.788461508,0.76119584,3.212789242,86.81055983,312.4453233,10.13719933,3.11716221,0.521309149,2.596646485,1.624984002,0.302633808,1.302778125,1.646112216,0.14063966,9.43E-08,4.32E-08,0.113515328,0.379532271,0.177850473,0.115408279,7.16E-08,6.23E-08,0.073053718,0.149584505,0.736552656,0.408499217,-2467.693282,0.316271869
0.050505051,0.100871999,5.144134389,5.316102081,3.489749048,5.294716521,5.002510746,5.950450771,0.964052863,0.140012609,9.022849857,54.83572916,4.142987433,0.940654991,0.023057076,0.113104421,0.469157122,0.147842531,4.712792551,0.180665761,0.191193039,9.87E-08,3.31E-08,0.158294515,0.363514265,0.14117658,0.076611379,6.00E-08,1.13E-07,0.069209918,0.733040831,0.925816707,0.535012236,-2374.397324,0.858768541
0.050505051,0.130610333,4.631285815,3.416526955,3.181699878,3.299682911,4.726873316,4.188941724,0.960725925,0.058037697,2.102050201,4.009057378,5.057754745,7.459661304,0.793021816,0.539403761,1.125273242,0.148101064,8.822004717,0.965523663,0.114833591,1.10E-07,4.09E-08,0.147484608,0.399350114,0.118978788,0.135746907,8.75E-08,1.18E-07,0.083605637,0.430847922,0.63459607,0.410446494,-2380.651325,2.287367953
0.050505051,0.209204443,5.777605205,3.668200804,3.374494801,2.864205076,5.76928901,4.634216652,0.929316195,0.166244432,27.71520201,8.664280362,7.598685935,18.66879784,0.54248922,3.227864918,0.7493332,0.091267401,2.140192281,4.684036855,0.157592698,7.04E-08,3.81E-08,0.16180605,0.404416214,0.129807744,0.095365723,4.42E-08,7.97E-08,0.051011339,0.476729273,0.525565825,0.532990643,-2416.34808,2.917768661
0.050505051,0.230872768,10.22329622,3.321448074,1.891903928,0.752992526,4.171688892,2.761610747,0.755556326,0.935461422,499.675008,77.55571213,42.33551926,2.63894758,0.215699169,4.191311913,4.365917159,0.038631047,0.833313597,1.633614858,0.157160312,7.70E-08,6.33E-08,0.228482987,0.312959275,0.13350868,0.097158012,7.34E-08,8.50E-08,0.070730436,0.027531206,0.723295401,0.467976629,-2493.941688,21.711662
0.050505051,0.126265153,5.796140438,3.728914431,2.468161223,3.32473978,4.875105948,3.982563767,0.893084229,0.108879741,4.40068341,10.967531,7.275594531,4.389410871,0.05581474,0.118297062,0.818449568,0.097573214,0.505870018,0.629636862,0.12798272,7.14E-08,1.08E-07,0.114643046,0.396607086,0.173033032,0.129823436,8.51E-08,1.50E-07,0.057910267,0.342458325,0.597908548,0.462882682,-2380.994363,2.177381549
0.050505051,0.229219035,8.616187735,5.862630023,4.041080367,4.975260581,3.750336282,6.055254382,0.746828717,1.415130847,103.6076116,163.4349163,3.807817659,49.97752653,0.572439075,3.813387834,2.59697068,1.71560745,1.062937571,0.487478845,0.123296786,7.82E-08,7.55E-08,0.249810329,0.233902744,0.137115986,0.157938275,7.12E-08,8.91E-08,0.097935567,0.145724812,0.951532857,0.577125124,-2458.403003,0.306049031
0.050505051,0.265502573,11.82443948,4.61488962,4.729392679,3.892256375,3.907725629,4.996512889,0.74303354,0.386199885,85.63919466,58.1403131,21.01787347,3.244375794,0.211117249,1.859251643,0.61339377,0.625145805,3.171364145,41.07311101,0.169068215,4.06E-08,5.47E-08,0.145195731,0.33530263,0.179056627,0.097890104,8.73E-08,1.02E-07,0.073486409,0.093529442,0.815919414,0.461826803,-2472.129963,0.289494867
0.050505051,0.213437862,11.01385217,6.067483477,2.988246722,2.896959712,3.025797771,5.959054731,0.713077555,0.52178184,110.4854085,91.62412152,14.68434279,14.18283418,0.052988395,0.162299538,1.317198188,0.373217466,0.539070996,1.395914576,0.107005843,8.15E-08,1.09E-07,0.126591771,0.42339413,0.165011492,0.100567721,9.48E-08,6.93E-08,0.077428689,0.040460156,0.721648327,0.86190123,-2469.59715,0.343344209
0.050505051,0.185968662,9.49721386,7.229014242,2.072294945,3.142219914,2.973823347,4.712933832,0.729711794,0.827967177,306.2845147,69.72379474,2.988003579,9.511587993,0.22402096,2.217808298,9.704776126,0.029005753,23.44358415,1.806088271,0.21963044,9.79E-08,5.77E-08,0.136481169,0.404137429,0.119993491,0.0609332,5.49E-08,5.85E-08,0.058824001,0.131999013,0.696087952,0.396770369,-2492.840997,0.683249034
0.050505051,0.12891366,4.892667546,3.161915833,2.031887453,3.317005647,3.425032229,4.722563157,0.811582108,0.056733928,7.17966409,35.46610826,12.89136248,1.751862721,0.230155815,1.902145212,1.132755981,0.016791896,0.831343159,0.999611044,0.062750702,8.49E-08,4.78E-08,0.15223347,0.433293203,0.117289496,0.152793346,7.92E-08,9.50E-08,0.081639476,0.837295838,0.709349723,0.352798444,-2409.629325,1.793057071
0.050505051,0.393099059,2.565544423,4.915554244,0.762253419,5.768546883,4.675489362,7.070333974,0.824871312,0.093629753,206.0741954,9.292252106,0.945881809,3.831680648,0.69091293,12.17207292,0.979742617,0.078395135,1.417141513,24.7950507,0.188578834,8.22E-08,6.52E-08,0.196936258,0.233136502,0.140326073,0.153388639,9.24E-08,6.64E-08,0.087633388,0.710024136,0.822504381,0.341505235,-2473.085036,5.804811118
0.050505051,0.135946638,5.535197001,4.524562831,2.076724588,3.678023326,3.981355004,5.39667405,0.913336148,0.16351237,7.591503777,16.64562374,3.51802329,0.234358821,0.817300596,3.464006706,0.597946775,0.050538694,21.06257355,2.812148754,0.086030703,5.83E-08,1.29E-07,0.211901375,0.338926882,0.14791764,0.133098184,3.49E-08,9.09E-08,0.082124903,0.591976816,0.772944282,0.317697279,-2385.557358,7.309588753
0.050505051,0.312536026,7.454176683,6.908175106,0.978890875,3.294830454,3.289864837,6.199607806,0.846736531,1.310401218,175.2292776,47.15276263,4.836572446,13.26092986,0.044350302,2.267804706,7.954067966,2.094198157,1.448428755,29.37273589,0.142059694,7.29E-08,4.83E-08,0.19876726,0.314046109,0.192380352,0.086023907,4.10E-08,9.35E-08,0.066722423,0.199060062,0.572210875,0.569538268,-2464.610077,1.634091694
0.050505051,0.211196429,11.79910168,2.320096655,2.888939595,1.202964159,2.892217752,2.543820202,0.594919315,0.353961484,597.1900987,251.6798024,12.04902989,16.40274408,1.345439369,51.14969327,0.686857018,0.030612636,11.97448644,6.582841425,0.193232904,1.18E-07,5.26E-08,0.147948241,0.231696017,0.198551717,0.12663015,1.42E-07,1.33E-07,0.101940526,0.038300227,0.504894677,0.489575483,-2485.801978,0.424713107
0.050505051,0.089569168,6.527334703,4.026689002,4.145128351,4.429800638,5.404076537,5.315371223,0.94759802,0.258000146,10.87627502,29.33650749,0.6984798,12.44748908,0.717186945,2.086331667,0.254453923,0.012580875,0.382332994,5.581644731,0.185350564,1.54E-07,4.86E-08,0.169862797,0.237774109,0.184238976,0.151062057,5.78E-08,1.11E-07,0.071711125,0.860832554,0.721923505,0.346199213,-2389.302376,0.978634161
