wL2,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0,0.192828889,4.524805823,2.116486694,0.413043751,1.791828985,1.367056402,3.547411239,0.572642585,0.572708977,0.217012606,100.664559,379.1382642,4.623309675,0.05808559,7.525165412,1.407488087,0.040915916,4.685011327,0.385334282,0.163136939,4.85E-08,4.60E-08,0.159165536,0.40348288,0.12410386,0.099290945,6.05E-08,7.06E-08,0.050819615,0.641193798,0.900874714,0.562261413,-2501.617245,0.96173945
0,0.080454915,4.788457131,3.46898215,1.686120833,3.50247846,3.80200198,4.222527809,1.383218617,0.90405998,0.05103875,6.53466319,7.210169602,1.570335909,1.017657218,2.018140188,1.202171478,0.030761391,6.126745589,2.839601356,0.175474842,8.67E-08,9.42E-08,0.141952393,0.30886402,0.15872237,0.147788303,5.65E-08,1.26E-07,0.06719771,0.293667671,0.611641028,0.316060021,-2371.754822,1.614441717
0,0.104578001,4.866078227,4.338058206,2.41136557,4.157961081,3.695764463,4.971731534,0.756798396,0.857697764,0.06158775,33.91669572,17.64723466,4.097731884,0.011957492,0.60575839,1.216640823,0.573192189,8.154725057,2.202925539,0.131905202,8.68E-08,5.94E-08,0.111542439,0.436598041,0.150903261,0.124850733,7.51E-08,9.74E-08,0.044200005,0.432662169,0.747586747,0.615011638,-2415.93471,2.969810591
0,0.152921043,5.180083215,6.479652677,2.03497239,4.196395097,4.042963007,6.788111029,0.727506385,0.946310478,0.212743815,42.55197105,60.51846409,3.718286858,0.942796417,2.27495225,0.489459257,0.105570204,8.566587064,4.262709294,0.171447641,5.43E-08,4.82E-08,0.181064365,0.391407115,0.144986515,0.077549457,5.42E-08,5.12E-08,0.0335447,0.744875125,0.564638833,0.504690085,-2433.62295,2.385781855
0,0.102115241,4.562257519,2.902793702,3.01776394,3.186803192,4.067554566,4.348432773,2.042662682,0.906632939,0.099712772,5.799023431,2.365457701,1.298348063,2.101745638,2.465927345,0.391816673,0.051031231,1.003636396,30.90505316,0.207462976,4.36E-08,4.90E-08,0.107179439,0.399593335,0.126230531,0.104788087,6.27E-08,4.19E-08,0.054745437,0.543712874,0.422290819,0.507327291,-2354.308214,1.655777354
0,0.123227849,5.256702311,5.15729973,1.407818362,4.570970173,3.855826262,5.570604398,0.75121968,0.948119983,0.039782441,13.32163651,21.04122318,0.885267993,0.408772613,2.957729591,2.876830966,0.697055037,16.63333721,10.87829962,0.188583327,7.12E-08,3.91E-08,0.142671901,0.299135406,0.182209627,0.10522589,3.90E-08,1.41E-07,0.082173559,0.634464528,0.767886956,0.451450805,-2396.269849,0.906696551
0,0.176204063,5.976441339,4.251832259,3.381262454,2.660767251,5.481131077,4.735710046,7.203760834,0.913355464,0.155848256,38.51480168,36.89109064,0.490416161,0.150569401,1.110261655,0.628649498,0.268003483,0.617869795,4.886904429,0.244904157,1.17E-07,1.37E-07,0.077774991,0.28435047,0.163760049,0.127345614,1.03E-07,1.33E-07,0.101864229,0.905910403,0.573197914,0.518077599,-2400.916332,0.55461819
0,0.139805586,10.96028249,6.529722536,0.899073138,1.107875979,1.648817083,2.297406253,2.05124515,0.732882604,1.033172317,84.35636897,62.3635407,0.447390218,0.213248203,18.04001484,0.291190048,0.037496572,1.72997934,8.042465917,0.202038912,4.15E-08,9.67E-08,0.201310891,0.269735975,0.157666548,0.099581173,4.10E-08,9.75E-08,0.069666224,0.540275341,0.865507837,0.688741672,-2484.430435,0.667459288
0,0.31268855,9.251882273,3.067472188,4.497686292,1.175111906,4.731792689,4.270774084,0.120840629,0.81720069,0.190529181,10.06210724,625.2040971,8.298068396,2.126411026,10.51723985,0.57309626,0.21247124,48.69768646,0.8570208,0.184062687,5.81E-08,3.24E-08,0.115106206,0.395320264,0.120744902,0.134438752,8.53E-08,8.49E-08,0.050326928,0.199079201,0.889420034,0.608027334,-2476.195431,0.412810796
0,0.132869605,4.254548958,1.767534955,3.04140529,2.516601582,4.271714479,3.571753035,0.995090555,0.915741337,0.051898755,110.5147562,14.73165101,9.899529367,1.740219774,7.312341232,0.939710165,0.057363248,6.592692888,2.797323204,0.209449418,5.81E-08,3.56E-08,0.124115307,0.431618997,0.095142095,0.083895278,5.20E-08,8.64E-08,0.055778672,0.376898095,0.744590327,0.269770952,-2395.624364,2.23695005
0,0.110753539,4.789695207,2.870935063,1.731919969,2.666381791,3.63502509,4.068398611,1.458861622,0.866343387,0.070305901,9.653950725,9.389012194,1.200877761,0.630956303,2.605609217,1.082308079,0.149295113,0.547893712,8.159858981,0.096857411,6.39E-08,7.65E-08,0.176431666,0.289716844,0.160676053,0.169675148,7.86E-08,1.09E-07,0.106642549,0.307628402,0.540174505,0.423500231,-2363.666247,1.116541754
0,0.118028268,5.441158824,3.315277136,2.659918092,2.955858105,5.246545425,4.48362631,4.207547808,0.911773065,0.065396446,28.57642588,11.06496598,0.805078195,0.607856469,2.405995795,1.232955293,0.035325978,11.87850828,5.21605574,0.129772874,8.38E-08,6.49E-08,0.172618983,0.413475527,0.128882017,0.109251071,6.44E-08,8.18E-08,0.045999234,0.547505712,0.899724852,0.473165755,-2393.835222,1.74148701
0.254237288,0.215502469,8.938734004,6.629981131,4.972536506,5.51769478,4.644039791,6.802157595,0.892563116,0.86705678,0.798679822,985.9966703,58.26050813,1.501692179,0.079779323,3.289095207,1.711310618,0.258313119,3.539925201,0.311747863,0.175159426,5.67E-08,3.89E-08,0.184101933,0.381472608,0.129759392,0.087264616,7.14E-08,6.79E-08,0.04224179,0.121317178,0.929789022,0.421752059,-2454.037936,1.046159429
0.254237288,0.068709437,4.421722434,4.197770221,3.250758194,4.352442421,3.858502915,4.959205204,4.114117088,0.943343989,0.070249312,17.37271469,5.416660609,1.421290805,1.496969848,1.097358678,0.373359936,0.190491751,13.55487649,0.227195974,0.150615114,9.48E-08,6.64E-08,0.082252248,0.391069087,0.203994357,0.122140478,6.81E-08,8.61E-08,0.049928401,0.344009694,0.583914962,0.464157746,-2370.3792,0.473014773
0.254237288,0.074860618,5.642795843,4.171523913,2.960708252,4.208326682,4.332053354,4.676760491,4.903005418,0.907506782,0.251682832,21.74621162,49.90329754,0.45031847,2.693953056,6.663707805,0.282110053,0.012168616,4.036172223,5.248412364,0.167182763,5.21E-08,5.26E-08,0.121991518,0.466698833,0.118538257,0.082553084,5.66E-08,6.26E-08,0.043035321,0.753999034,0.596101976,0.512897214,-2378.893286,0.507635698
0.254237288,0.153543612,6.387856238,4.120942055,3.453004484,3.576992969,5.490725139,4.355718878,0.919522463,0.96657113,0.077353979,70.4434032,7.508161738,4.109979203,0.462462057,0.416123726,1.09778156,0.061643667,0.94723038,6.05953367,0.123902516,6.42E-08,4.20E-08,0.151142635,0.31451036,0.187762181,0.150533467,9.32E-08,6.04E-08,0.07214858,0.446455739,0.47711996,0.433784518,-2400.534293,3.306968038
0.254237288,0.100963425,5.562698821,4.245986117,3.321545074,4.823499551,4.220728266,4.979867562,2.520323532,0.892541555,0.085270597,25.87605951,31.89123625,0.846809098,0.1387869,0.136329143,0.752723117,0.646643204,2.368101138,0.867716312,0.200222941,3.78E-08,6.54E-08,0.090670825,0.432534265,0.134325039,0.090882944,5.75E-08,4.77E-08,0.051363779,0.690698028,0.596522619,0.529226135,-2377.255742,0.727678393
0.254237288,0.110845786,5.348937898,3.577563352,3.154219788,3.314791933,5.166635104,4.351439979,0.50746457,0.948889021,0.112772286,4.488321925,9.048850919,1.427617018,0.158968183,1.639353882,0.626553818,0.057656654,1.410412818,4.021085234,0.174610216,8.90E-08,4.79E-08,0.240641145,0.294665587,0.113441749,0.113231591,8.00E-08,1.02E-07,0.063409393,0.350394404,0.542153235,0.620029676,-2356.386666,0.299199698
0.254237288,0.140282209,5.330265079,4.014250671,3.248082205,3.677467741,3.961313058,5.568925716,6.269329443,0.883893111,0.171099153,28.74958972,35.60289551,0.542883593,0.14998074,0.500496324,0.492579004,0.098147364,0.357128601,1.221292777,0.088339194,7.12E-08,5.43E-08,0.118963189,0.482259535,0.115471938,0.125578894,2.73E-08,5.40E-08,0.069387042,0.695318925,0.89672759,0.734744058,-2391.419531,0.350354531
0.254237288,0.20367566,5.404832662,4.446175745,1.449079663,3.378856039,4.866989572,4.494524252,0.416033677,0.848342649,0.071047649,108.6126616,56.18908268,13.5841109,0.352298693,4.787265029,1.691443849,0.158057681,0.625010019,4.503308832,0.118147771,6.60E-08,7.17E-08,0.155213444,0.286050876,0.184771878,0.159324191,5.23E-08,8.65E-08,0.096491563,0.809993782,0.862103843,0.528254786,-2418.904868,0.647237591
0.254237288,0.335548504,8.07067852,6.148287122,1.207806349,2.56568723,2.697875721,6.368131648,4.305014958,0.772202425,4.24214983,435.9527224,75.97048587,0.413740498,0.054461516,0.656372345,2.253384589,0.081601286,1.51017995,4.168808195,0.178229674,9.30E-08,5.88E-08,0.113485915,0.436394233,0.112052774,0.082196137,5.44E-08,7.49E-08,0.077640987,0.244244784,0.694585467,0.580799001,-2454.683388,1.101670336
0.254237288,0.057751364,4.66560031,2.912238703,3.114196499,3.232287661,3.726069172,4.3783272,0.218521117,0.865536922,0.06448494,3.766756716,7.786761835,28.70265267,0.656105541,0.779578057,0.662317264,0.109647693,3.853427807,11.56811,0.211025064,8.87E-08,3.85E-08,0.089927694,0.384479776,0.1387586,0.081715614,7.65E-08,7.82E-08,0.094092971,0.620638546,0.665361645,0.324910546,-2396.517352,0.747870375
0.254237288,0.123773215,5.005533555,4.005292338,2.436035206,3.892721856,4.008675082,4.80734285,1.85999242,0.876351748,0.193354477,37.84298794,18.76956532,1.526766572,0.851891693,2.011457403,0.347267023,0.029503663,1.46228613,2.437028398,0.133639336,1.13E-07,1.26E-07,0.088258894,0.301181415,0.186895945,0.170187927,1.29E-07,8.05E-08,0.119836035,0.709416422,0.74386466,0.41944012,-2368.943074,0.399800156
0.254237288,0.147023103,4.71173579,3.868728813,2.257907978,3.12599615,5.266973534,4.936878115,0.558727556,0.972994443,0.065165162,9.660192979,12.86655455,2.652873855,1.078924291,0.442588866,1.560054449,0.631201497,5.157852619,3.097316965,0.146228438,7.09E-08,4.01E-08,0.058575868,0.468521214,0.15668343,0.097642859,7.94E-08,7.41E-08,0.072347926,0.635990583,0.490892727,0.45011937,-2403.437534,2.371599095
0.254237288,0.112486636,5.294792848,4.288775432,3.161453942,4.321089091,4.857434771,5.659477986,0.099727272,0.931839492,0.115926646,6.909908189,65.08764799,0.672498192,0.079570824,0.956450749,0.579672446,0.030187537,3.446388037,7.264625833,0.19220757,7.11E-08,7.84E-08,0.130744385,0.303550049,0.212176834,0.084790634,4.04E-08,9.90E-08,0.076530239,0.882496385,0.523571499,0.428921741,-2372.087547,0.420372475
0.254237288,0.073633511,5.21367252,3.56226022,3.323379386,3.337999505,4.61983522,4.220591258,5.211259394,0.904926215,0.020055394,15.87849962,13.06955429,0.724766328,0.638930726,0.632110668,2.874497366,0.330884982,3.412063776,3.881291008,0.149554219,6.36E-08,6.86E-08,0.111848667,0.34614065,0.163705101,0.169893903,7.22E-08,1.01E-07,0.058857154,0.518913166,0.60459508,0.490879608,-2359.020567,0.649488677
0.254237288,0.168394918,5.664247424,2.498109644,2.314154035,2.346040311,3.837482797,4.264592477,15.28111189,0.856557447,0.036267392,129.1471681,31.25765345,1.072760024,1.129555102,5.485463221,2.864759962,0.315833481,18.24509745,3.482179177,0.117498233,8.24E-08,8.68E-08,0.169233777,0.357657685,0.145838505,0.147964092,9.61E-08,9.27E-08,0.06180735,0.909366427,0.861264834,0.745755949,-2415.246972,1.479524681
0.508474576,0.219976536,8.581965118,5.32935872,1.879058045,2.482524194,1.846174069,3.656491568,0.482909271,0.567721238,0.09281466,1584.580562,64.17042202,18.47818394,10.04577311,0.333494731,1.591957514,0.167532329,0.53146596,0.112914478,0.195070935,1.17E-07,4.93E-08,0.191018936,0.22593685,0.215063088,0.101847779,6.24E-08,9.32E-08,0.071062089,0.684746177,0.752474106,0.411268244,-2587.692217,0.529974403
0.508474576,0.21777927,6.923218765,5.848966102,2.196849485,1.60703755,1.46151885,5.454120257,0.079368734,0.735281751,0.419319499,68.29818655,433.3531253,3.815805098,0.23097278,6.949952287,8.606770137,0.46409815,13.24002085,0.758568549,0.169868548,5.40E-08,4.31E-08,0.154522765,0.447512311,0.106608274,0.080560322,5.80E-08,6.01E-08,0.040927565,0.41011767,0.688952169,0.592338767,-2467.764323,0.418789695
