c1,c2,sum.H1N,sum.H3N
0.3,0.85,6.30259865,4.4207697
0.3,0.9,6.51568795,4.6145901
0.3,0.95,6.4626253,4.6827592
0.3,1,6.56993215,4.7292743
0.35,0,5.83372095,3.4818655
0.35,0.05,6.09938025,3.62049905
0.35,0.1,6.0914395,3.63728545
0.35,0.15,6.1967001,3.74724225
0.35,0.2,6.2318183,3.8164785
0.35,0.25,6.20932565,3.8497813
0.35,0.3,6.3824112,3.9862692
0.35,0.35,6.4410025,4.07821015
0.35,0.4,6.49411985,4.04667335
0.35,0.45,6.58445495,4.1219019
0.35,0.5,6.734935,4.2517405
0.35,0.55,6.78023625,4.33981335
0.35,0.6,6.79260235,4.4590502
0.35,0.65,6.9762202,4.56399955
0.35,0.7,7.0282793,4.62470755
0.35,0.75,7.12144955,4.7773481
0.35,0.8,7.17462725,4.8695462
0.35,0.85,7.18416395,4.9582594
0.35,0.9,7.29304685,5.03829565
0.35,0.95,7.45571645,5.1331142
0.35,1,7.5999275,5.28999155
0.4,0,6.70660285,3.7632027
0.4,0.05,6.92915945,3.88936385
0.4,0.1,6.82209395,3.90121895
0.4,0.15,6.92774125,4.02168055
0.4,0.2,7.07577685,4.166014
0.4,0.25,7.11638545,4.16478425
0.4,0.3,7.33193975,4.25503935
0.4,0.35,7.26261865,4.3658581
0.4,0.4,7.3967576,4.48290215
0.4,0.45,7.4280051,4.5823314
0.4,0.5,7.59509965,4.71487095
0.4,0.55,7.6831613,4.82624605
0.4,0.6,7.6500486,4.79958775
0.4,0.65,7.81994935,4.9587824
0.4,0.7,7.8323357,5.07124175
0.4,0.75,7.99970855,5.1724123
0.4,0.8,7.97872745,5.2518413
0.4,0.85,8.0309888,5.3161969
0.4,0.9,7.9657199,5.37369245
0.4,0.95,8.3110564,5.62172735
0.4,1,8.41082725,5.7671238
0.45,0,7.42737525,4.04963595
0.45,0.05,7.58105165,4.15462675
0.45,0.1,7.61956215,4.2502457
0.45,0.15,7.799054,4.3400044
0.45,0.2,7.93907105,4.4023882
0.45,0.25,7.89556305,4.51363115
0.45,0.3,8.1527233,4.64383985
0.45,0.35,8.1244253,4.73546395
0.45,0.4,8.1715825,4.8248352
0.45,0.45,8.18868665,5.0088415
0.45,0.5,8.389597,5.0669063
0.45,0.55,8.39853635,5.17522905
0.45,0.6,8.4867583,5.24525275
0.45,0.65,8.56230775,5.3168718
0.45,0.7,8.62916555,5.4452133
0.45,0.75,8.7640954,5.5246219
0.45,0.8,8.8827345,5.71597615
0.45,0.85,8.9724269,5.84244365
0.45,0.9,8.94520015,5.9153242
0.45,0.95,8.9559135,6.1010451
0.45,1,9.1453365,6.2273331
0.5,0,8.24685135,4.34350655
0.5,0.05,8.28895045,4.4460832
0.5,0.1,8.37273425,4.5433939
0.5,0.15,8.45943845,4.53031185
0.5,0.2,8.51593065,4.7707758
0.5,0.25,8.6125182,4.80987705
0.5,0.3,8.6860863,4.89857935
0.5,0.35,8.87173195,5.0567058
0.5,0.4,8.9358051,5.11285405
0.5,0.45,9.034044,5.33427225
0.5,0.5,9.07298935,5.4101216
0.5,0.55,9.1825128,5.4521684
0.5,0.6,9.213889,5.582834
0.5,0.65,9.2592306,5.72806005
0.5,0.7,9.33866635,5.84318515
0.5,0.75,9.3264344,5.88359855
0.5,0.8,9.386108,6.03414605
0.5,0.85,9.665078,6.22412835
