L1,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
7.703704471,0.085287912,4.796325278,2.874404317,3.633766111,3.464656662,3.809747908,4.717290636,0.411720245,0.888218119,0.098486619,48.93182568,10.10453037,27.13048289,0.541797382,1.773513724,0.34067638,0.035716262,0.935520222,21.96273735,0.196971425,4.72E-08,7.22E-08,0.159656782,0.29066968,0.134217858,0.120981645,8.49E-08,1.17E-07,0.097502288,0.371502368,0.427243427,0.33696877,-2345.263291,1.041078382
7.703704471,0.09384986,4.859056948,3.023202833,2.6276143,3.140544375,3.697976082,4.0311881,1.005695276,0.864230663,0.104666734,29.35067372,2.393643329,4.80833937,0.197474865,1.210024815,0.43756236,0.03438165,0.577314716,3.723944976,0.180761552,8.10E-08,8.61E-08,0.129641107,0.27548911,0.19510052,0.121997402,6.65E-08,9.47E-08,0.09700998,0.345847367,0.388738823,0.349158527,-2343.677525,0.963137404
7.703704471,0.117384215,4.5891823,4.183146772,1.953307143,3.415684616,3.538944775,4.707804075,0.853081556,0.835780796,0.124915245,147.5382112,2.480126827,8.723150623,0.05983967,0.323554886,0.474791147,0.051892666,2.131140354,4.127147664,0.127194272,6.75E-08,7.52E-08,0.112837654,0.34631615,0.222740657,0.143251973,7.43E-08,9.01E-08,0.047658987,0.317292247,0.466214174,0.295621019,-2340.280174,0.396867942
7.703704471,0.066967894,4.690812468,3.458317791,2.714989512,3.243546021,3.572297675,4.583869759,0.691117365,0.866137943,0.120990785,45.72381551,4.966017032,11.34288526,0.22539432,1.950443775,0.339522312,0.02675918,2.460615337,8.667148472,0.215194772,1.07E-07,1.21E-07,0.1515279,0.253860885,0.198251195,0.112782865,6.51E-08,8.58E-08,0.068382004,0.419343265,0.390915089,0.32554532,-2368.711235,1.113373796
7.703704471,0.107362058,4.594885156,3.512258718,2.669098175,3.057128717,4.099679416,4.545431759,0.979580946,0.87794782,0.115227072,34.92075664,3.014926705,5.993645656,0.362425049,1.004398849,0.409966388,0.058365341,1.268291326,0.922142532,0.22407704,5.56E-08,7.18E-08,0.131555749,0.275146366,0.136012423,0.152013818,7.93E-08,6.72E-08,0.081194331,0.272723511,0.453688886,0.281590174,-2321.398372,0.415921216
7.703704471,0.091864495,5.281205987,3.264115698,3.81413929,3.700594028,4.746742617,4.354268235,0.456480209,0.921967643,0.123533789,112.0669057,7.891784352,26.70486189,0.227245748,1.866780388,0.315198543,0.021067584,1.026569751,7.876573405,0.211064286,1.16E-07,6.32E-08,0.217395099,0.291673024,0.123671072,0.091303376,5.89E-08,7.87E-08,0.064892826,0.371425224,0.397265426,0.399500486,-2335.48897,0.26957054
7.703704471,0.08250542,4.605062939,2.699574938,2.994140647,2.837019591,3.774040061,3.870114731,3.656070461,0.883597661,0.13327202,112.855538,1.935944969,2.839125879,1.654788771,3.104216691,0.265777395,0.013132501,2.349376491,15.36531457,0.137578688,7.80E-08,9.56E-08,0.170314273,0.29459428,0.178977819,0.14212943,7.08E-08,8.16E-08,0.076405183,0.324348907,0.598527251,0.436220001,-2344.053932,0.408643424
7.703704471,0.098575358,4.479200197,3.503430536,1.989942516,3.46981518,2.860601866,4.329980148,0.735130946,0.838955078,0.083720712,108.1387775,3.402938182,10.70918118,0.845519614,0.300363865,0.739822114,0.059823537,1.113983503,1.529892081,0.144284228,4.73E-08,5.35E-08,0.185156892,0.244952933,0.199898751,0.13923038,9.11E-08,9.31E-08,0.086476531,0.263261907,0.677551848,0.323838189,-2375.686373,2.6817085
7.703704471,0.098813686,4.97850572,3.982031319,3.208317923,4.035799431,4.339094729,5.122678505,1.140901099,0.913239126,0.081875877,23.43891422,3.868490703,5.569544636,0.399680546,0.883161851,0.418483381,0.079360273,4.894466784,7.295102103,0.094376636,8.61E-08,7.78E-08,0.136663395,0.430453162,0.139229278,0.13714403,7.03E-08,1.10E-07,0.062133155,0.312722303,0.394978476,0.390007783,-2360.741458,0.551734161
7.703704471,0.137936669,4.011993638,3.197534317,0.32661363,2.313700154,2.974351211,3.963207368,0.854472932,0.821437158,0.117779226,101.3926682,3.434600629,10.00003957,0.57458928,2.645859707,0.765545963,0.04221472,1.441994181,1.355742406,0.26521697,8.94E-08,4.33E-08,0.063562514,0.332868207,0.159701439,0.123613091,4.04E-08,5.49E-08,0.055037551,0.232662831,0.405687566,0.247469639,-2349.916477,1.147534458
7.703704471,0.074733097,4.753106236,3.089801446,2.511874228,3.048787105,3.457246572,4.437854251,1.206144355,0.86429684,0.079361316,44.23857114,3.655284521,5.934676035,0.49755184,1.781657777,0.476061014,0.116903676,2.743339795,3.905843246,0.167476651,8.38E-08,5.11E-08,0.13178945,0.350957284,0.130191815,0.136405861,1.04E-07,1.06E-07,0.083178593,0.257444762,0.461990754,0.320349984,-2342.221868,1.021327024
7.703704471,0.108628242,3.770565703,2.39908382,1.13964192,1.824139431,2.992693539,3.912582758,1.977374656,0.857422172,0.13508026,243.7970191,1.648741368,4.669344323,1.776244499,4.206167716,0.557615365,0.080937844,7.635560283,0.460498832,0.207594108,1.09E-07,6.51E-08,0.113461289,0.391224215,0.104963719,0.13434477,5.76E-08,5.50E-08,0.048411613,0.28124245,0.391162461,0.431897696,-2339.287293,0.60696955
7.703704471,0.098145437,4.783305518,2.988010014,1.956910925,2.893648177,3.261191416,4.205098131,0.359218433,0.848432674,0.013821777,8.006259511,27.03081869,28.91604535,0.226304556,0.353220751,5.148431633,0.244634037,1.594500546,1.348784412,0.103166265,5.86E-08,6.34E-08,0.150110398,0.437952724,0.148238509,0.093527274,4.97E-08,6.78E-08,0.067004592,0.278495687,0.385938411,0.445135768,-2335.018907,0.679430222
7.703704471,0.087422135,4.368663107,3.3342086,1.023895785,2.908410037,3.003643563,3.97920233,3.513142452,0.825605989,0.051942271,25.02617991,1.537256083,2.444469858,0.320933496,0.641841912,1.230761086,0.17650084,1.103206337,0.678478442,0.203961411,8.44E-08,6.69E-08,0.082126169,0.404392312,0.123555186,0.115054781,4.15E-08,1.38E-07,0.070909811,0.2757917,0.425195012,0.241971536,-2376.807756,3.711744586
7.703704471,0.112295123,4.007160467,4.017660422,1.251792479,2.475533396,3.261900025,4.113030474,1.079552939,0.834532144,0.127190317,66.82114033,2.271489163,5.812919594,0.222107256,1.438952541,0.596972444,0.135202902,0.312121496,4.335006051,0.160067799,9.92E-08,8.42E-08,0.105573242,0.427090738,0.152971307,0.074358934,6.97E-08,8.75E-08,0.079937638,0.219666859,0.442977961,0.351022623,-2341.934941,0.576625568
7.703704471,0.116711645,5.846098226,2.49696519,3.562516088,2.794900405,4.504348878,3.873050821,0.418553992,0.86610465,0.110603556,17.56122824,18.53710096,27.46743788,0.264053528,1.219200669,0.447458037,0.06957127,16.83948041,4.618079155,0.18704848,6.75E-08,3.85E-08,0.166525019,0.309365335,0.159617036,0.134209815,5.92E-08,5.73E-08,0.043234094,0.279650723,0.507465432,0.280283552,-2340.626936,0.626407607
7.703704471,0.1250411,3.66596347,3.46455999,1.171264616,3.657709993,2.996758249,5.13229192,0.591126802,0.884837415,0.053473056,32.29097519,7.955863409,14.71312986,0.28123433,1.690048978,1.257992282,0.332431432,2.886458596,4.130913459,0.169072474,5.41E-08,5.92E-08,0.101537447,0.456949381,0.116730673,0.109606219,4.35E-08,1.17E-07,0.046103532,0.256257442,0.417118078,0.474835434,-2339.132956,3.032307893
7.703704471,0.111508825,4.274438648,3.765092811,1.261263308,2.418501113,4.122780333,3.859032101,1.166209629,0.902851281,0.111020497,28.04495341,1.684334532,3.620481348,1.337629564,3.374557564,0.819743484,0.568625713,1.878584189,0.765740181,0.165401669,9.42E-08,7.45E-08,0.096029799,0.313757035,0.173996671,0.130828426,1.45E-07,1.44E-07,0.11998594,0.251688758,0.535389696,0.316781358,-2353.039393,0.297463226
7.703704471,0.096901463,4.571285378,3.551756977,2.068544961,3.568336588,3.466586566,4.592333112,1.579972719,0.883757779,0.06068149,31.78455367,1.989760476,3.548601662,0.396947092,1.605574988,0.942353627,0.13236271,5.81575469,0.08738215,0.157550902,9.33E-08,8.50E-08,0.118824677,0.292378779,0.19936044,0.159904511,7.37E-08,1.12E-07,0.071980327,0.310382252,0.507635364,0.315534938,-2339.500592,2.276636422
7.703704471,0.058905662,4.897725269,4.091689026,3.268181888,4.024802711,4.348692258,4.787385529,0.466430264,0.916663726,0.076717335,60.44076616,8.845896675,24.19940313,0.715701099,1.566046821,0.299948972,0.127498583,2.001702331,2.63719235,0.105017583,8.17E-08,7.63E-08,0.138236131,0.417364104,0.14316517,0.102830093,3.62E-08,9.44E-08,0.09338663,0.377882649,0.405653236,0.447646307,-2347.425179,2.124259362
7.703704471,0.079060577,4.528281151,3.444059664,2.379958099,2.702340143,3.936077472,4.226688577,1.135830744,0.875567149,0.108131553,90.64758349,3.237742649,6.943828559,0.51008418,1.943873412,0.437773876,0.034420051,1.823364542,3.129395279,0.169404229,7.35E-08,6.60E-08,0.170971639,0.398096067,0.099554902,0.106718208,2.65E-08,4.77E-08,0.055254741,0.340976852,0.397796122,0.457892282,-2339.889227,2.899867947
7.703704471,0.057152399,4.986816836,4.073708933,2.996747117,3.724000708,4.339134042,4.499430173,0.679227318,0.885893672,0.073216271,22.74855352,5.708144861,10.9756966,0.18773726,0.832546196,0.507313397,0.100265851,5.802946624,7.738729816,0.11825612,1.12E-07,4.60E-08,0.129102471,0.338507072,0.205272617,0.146090938,7.71E-08,6.70E-08,0.062770479,0.377941517,0.4298155,0.569142257,-2342.27826,1.343531563
7.703704471,0.095198583,5.419725776,3.562319337,2.759962236,3.467426286,4.387787214,4.385611303,1.095619731,0.872229145,0.0494382,11.59225002,2.824672103,3.732952506,0.152435636,0.393380035,1.202241785,0.034912914,23.46284959,5.425856816,0.204118995,3.25E-08,7.21E-08,0.151247976,0.379256697,0.11212231,0.099448831,7.52E-08,7.51E-08,0.053804937,0.347652817,0.491863793,0.384440799,-2332.398187,0.298892651
7.703704471,0.072796151,4.582807383,4.258169816,2.304403372,4.146729075,3.538646216,5.160986688,13.94658277,0.890026842,0.080977873,10.62146828,1.263985823,1.210044485,0.224799205,0.628664304,0.426689061,0.128984012,1.992201176,0.179782207,0.1775793,4.84E-08,4.37E-08,0.153566747,0.326520495,0.125302681,0.148364464,7.72E-08,7.26E-08,0.068666071,0.216186352,0.397028614,0.423610448,-2347.200463,0.297928629
7.703704471,0.070516073,4.612555087,2.982786013,3.057100769,3.510675498,4.014936074,4.307537939,1.970886721,0.910787215,0.080271356,233.196354,2.295602327,4.223685029,0.725500341,2.799520105,0.472558888,0.062914989,21.28557915,1.449151112,0.076236165,7.75E-08,5.77E-08,0.22206785,0.253787178,0.203432201,0.13260864,6.64E-08,1.02E-07,0.111867662,0.360180375,0.550282094,0.31940256,-2334.878941,0.425731365
7.703704471,0.082406495,5.082819825,1.844917207,2.761830562,2.54887982,4.481964594,3.703308307,13.06986929,0.908497232,0.016689909,200.3309642,1.459405031,2.52635139,1.835622311,3.415617459,3.562407524,0.024398039,1.23302984,1.085188212,0.129890362,5.09E-08,6.71E-08,0.188409011,0.349404724,0.134163884,0.134082455,4.96E-08,9.32E-08,0.064049304,0.379892969,0.525069626,0.313590541,-2361.363373,0.514111289
7.703704471,0.095474964,4.711254697,3.847118624,2.052069711,2.989280306,3.72053862,4.466885024,0.436410125,0.874520365,0.117712475,66.13804672,7.245130848,22.9276022,0.410745374,0.670858624,0.583903666,0.042218503,6.67217992,0.604819728,0.1504162,5.97E-08,6.78E-08,0.11273042,0.33916748,0.176525931,0.167798429,7.23E-08,8.37E-08,0.053361256,0.375784816,0.434286605,0.28903386,-2346.654145,0.270628718
7.703704471,0.097533291,4.792541835,3.834188868,2.06161393,3.346873538,3.489288146,4.346531615,2.819772759,0.849928593,0.082135053,29.71430998,1.2679958,2.639558172,0.236259208,1.614826506,0.382338381,0.090162074,0.536005792,1.127760823,0.215602776,8.24E-08,9.71E-08,0.141483514,0.296149813,0.139019977,0.138092641,5.49E-08,7.13E-08,0.069650972,0.354574711,0.484141076,0.456813741,-2358.328481,1.077870529
7.703704471,0.080663227,4.831480414,3.610519417,2.869635939,2.891938215,4.139315996,4.269921106,0.97550561,0.844964256,0.093926186,75.89885256,3.310303604,8.083195448,0.073823899,1.105060584,0.459192283,0.085714835,2.724610168,0.438407157,0.105962542,1.14E-07,6.16E-08,0.119422447,0.419063911,0.162987626,0.124755447,8.47E-08,1.03E-07,0.067807664,0.276343805,0.493223943,0.3653894,-2324.121439,0.53295562
