omega,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.17721519,0.136996622,4.894960485,3.109534364,1.85954503,1.287961671,3.269625376,3.907371919,1.813161593,0.839664464,0.592257122,31.95286656,624.2676697,2.484855175,6.004202348,0.157596755,2.228621457,0.003609533,0.473340129,10.682528,0.202479481,7.36E-08,6.92E-08,0.160068731,0.276933261,0.143927702,0.157000298,6.69E-08,8.80E-08,0.05959023,0.286055159,0.424877803,0.519955409,-2366.924075,0.772146991
0.17721519,0.085458944,5.35373459,3.424156675,3.331012403,3.060997586,3.308699061,3.914937719,3.960739924,0.700891931,0.219561589,104.2819062,65.03091922,1.61624942,2.507195832,0.042346843,0.874748686,0.006523284,3.244214312,2.813572297,0.156304664,6.75E-08,3.59E-08,0.161440614,0.385118293,0.145073542,0.106993041,3.73E-08,5.72E-08,0.045069648,0.401394746,0.650759314,0.530118964,-2441.38545,1.257894495
0.17721519,0.10526653,5.30611073,2.957231237,3.142598475,2.643614603,4.053125422,3.9698215,1.007398954,0.867552131,0.346302898,23.5140093,82.7588387,3.615707396,6.409341115,0.766715809,0.26156691,0.007835581,6.202583033,0.046742554,0.15923017,1.10E-07,1.01E-07,0.084669806,0.390401976,0.145704439,0.114866023,6.26E-08,1.74E-07,0.105127138,0.319383878,0.343013461,0.4389608,-2343.930432,1.132997594
0.17721519,0.08180399,5.831042204,3.177138475,4.032763864,3.420462017,4.283397734,4.784068301,0.629954332,0.850787197,0.111590111,309.7900739,225.1705271,13.37143043,18.98728714,0.110626481,2.757383091,0.047531355,3.26511349,4.399931604,0.151535127,6.36E-08,3.78E-08,0.219634748,0.242776678,0.160653518,0.162050919,5.93E-08,8.89E-08,0.063348759,0.505871033,0.620827807,0.409372126,-2428.544103,1.115362956
0.17721519,0.116691449,5.080693341,4.972563461,1.868028782,4.18559453,3.802853035,5.648413579,0.744670127,0.877141124,0.450037649,59.31894587,82.31918489,4.462454659,1.822848469,1.555510254,3.73242485,0.014115565,4.24139236,0.480252863,0.09223032,5.17E-08,1.12E-07,0.101669849,0.42157614,0.169271933,0.159776434,5.77E-08,1.00E-07,0.055475002,0.776382519,0.623805557,0.490732079,-2416.326958,1.211756947
0.17721519,0.078616224,4.835619753,4.516094196,3.149374892,4.286726089,3.84517888,5.591210265,0.996210961,0.89528206,0.115119538,11.56770353,19.21585776,3.670960843,6.606466787,0.544844561,1.777145996,0.043912326,1.412218869,3.201381476,0.134423118,5.34E-08,6.33E-08,0.150193212,0.277678499,0.166625123,0.167616368,4.80E-08,8.39E-08,0.103463432,0.233582259,0.483884755,0.389436482,-2358.02187,0.202636777
0.17721519,0.106163092,4.728153594,3.756154096,3.24276174,3.708270417,3.801477343,4.793201146,1.326723143,0.882395389,0.234025633,65.00093561,86.62759815,3.914779816,5.390014242,0.402999722,1.305005144,0.009028312,8.728425889,1.021801994,0.120921668,7.53E-08,7.35E-08,0.183927773,0.361738073,0.152704588,0.116690728,7.06E-08,8.18E-08,0.064016869,0.391457363,0.422919663,0.464199111,-2329.349991,0.426658852
0.17721519,0.077612446,5.10429746,3.97522713,3.627043703,4.069686588,4.348861653,4.764321628,1.204098885,0.900477789,0.145584628,35.98265092,274.538937,3.160910641,8.149768818,0.632096723,3.039803377,0.008588308,0.405014173,6.838136261,0.196713666,1.20E-07,4.84E-08,0.122494597,0.325288231,0.167219978,0.104894495,5.90E-08,9.24E-08,0.083388712,0.545110531,0.643391523,0.683812143,-2374.453539,0.570385446
0.17721519,0.117870151,4.936514563,4.534225235,3.717533667,3.726736726,4.313949594,4.829778298,0.923933526,0.88194313,0.190037037,11.47646577,427.3147113,2.406636871,9.414314284,0.128543909,0.586164907,0.010916188,0.395512457,0.853527396,0.059673744,1.46E-07,7.18E-08,0.198415264,0.419638301,0.145343313,0.121418277,7.13E-08,9.69E-08,0.055510715,0.332827403,0.430964769,0.346229986,-2344.174863,0.570862477
0.202531646,0.098457196,4.995898079,4.022781582,3.592246844,3.313040276,4.223548108,4.94573894,1.035113281,0.867202435,0.110788393,15.99868066,66.29998308,3.395140317,6.900709916,0.37178594,0.856704462,0.047435114,0.229447076,0.258153944,0.224388611,6.30E-08,6.99E-08,0.081253907,0.339343523,0.129232576,0.136860488,9.54E-08,9.60E-08,0.08892057,0.314468697,0.415260862,0.352202594,-2334.277938,0.315977253
0.202531646,0.098108869,5.384387085,5.629007336,4.307780092,5.06874396,4.963706856,6.144970806,1.316865149,0.919225282,0.082921512,35.56774726,170.950863,4.36288323,7.066469805,0.179655137,0.776922634,0.029061473,4.895739116,0.941429413,0.203357356,7.69E-08,6.34E-08,0.062002627,0.433704405,0.14113309,0.100898787,9.56E-08,7.01E-08,0.058903429,0.410140329,0.385334494,0.600205919,-2399.952841,2.008751637
0.202531646,0.106626822,5.795375353,3.811444407,3.72532062,3.484145342,5.047514101,4.47202719,0.419875519,0.907047328,0.240554354,106.857121,22.41010839,21.66989468,10.96445544,0.402926054,1.851117587,0.01372699,12.10216951,1.510707614,0.20363907,6.63E-08,6.76E-08,0.184580936,0.296562024,0.126004665,0.103299625,4.79E-08,9.43E-08,0.085913404,0.518361132,0.493634554,0.379867128,-2401.833234,6.37294855
0.202531646,0.103120443,4.764009824,3.669905959,3.253545341,3.80935875,3.83199993,4.960907507,3.121297272,0.897571172,0.109377295,13.52743853,83.9480005,1.531728566,2.742838607,1.387156331,2.529701481,0.048395642,8.893274073,19.51533129,0.148821456,1.14E-07,1.09E-07,0.094607481,0.421497339,0.172792084,0.10164042,1.14E-07,1.19E-07,0.060640765,0.480966681,0.505930651,0.330024785,-2342.541161,0.931436804
0.202531646,0.083294457,4.354681471,3.30319634,2.645946969,2.417151702,3.561905312,4.43742497,0.566704056,0.861647683,0.263028844,25.98560315,32.94123893,12.56592693,14.60047346,0.978493459,1.21589254,0.003184602,5.397897406,4.362140273,0.149727876,7.46E-08,8.92E-08,0.073140113,0.391360171,0.155912488,0.128733244,5.91E-08,9.00E-08,0.101125794,0.310002599,0.47576565,0.385100784,-2327.579874,0.251750311
0.202531646,0.069879022,5.031932052,3.89038876,3.681682696,3.558720246,4.41043248,4.454646086,2.866294294,0.878119529,0.142913937,9.060537707,117.7699234,1.141751668,2.967183149,0.843589019,0.772377606,0.021352343,39.84958786,15.60300252,0.108758281,5.29E-08,5.28E-08,0.111533166,0.423793621,0.161320726,0.108068493,6.30E-08,9.03E-08,0.086525453,0.272982399,0.69421168,0.3643823,-2334.199002,0.381573129
0.202531646,0.085320974,4.817668853,4.050860368,3.048052331,3.669261748,4.088677799,4.533526865,1.167077425,0.883471497,0.186455123,22.50235619,134.8441549,3.025917162,6.346378034,0.125667229,1.175453665,0.014705742,0.203619086,0.166620794,0.117322484,6.85E-08,5.15E-08,0.218220511,0.40630638,0.103130222,0.096796014,6.97E-08,7.49E-08,0.058224125,0.306177814,0.50249054,0.354265122,-2330.611151,0.376775971
0.202531646,0.081088601,5.572957615,4.699748652,4.303415705,4.055653596,5.55111552,4.784306435,1.027994895,0.912951031,0.074465771,18.48578253,156.9770349,2.184843044,6.022167107,0.732153534,0.870869915,0.183805092,0.672174567,3.341579629,0.095742442,5.26E-08,6.56E-08,0.14012368,0.333342261,0.150280521,0.156978047,4.58E-08,9.86E-08,0.123532787,0.577536179,0.379741826,0.414665188,-2379.442515,0.71998521
0.202531646,0.054505651,4.864870482,4.191604682,2.875772411,4.075842195,3.501962388,4.712496017,0.874011336,0.872652669,0.151508303,5.572424994,40.79587378,2.675965761,7.381616036,0.043671629,1.732686892,0.013392801,0.438072308,1.309251442,0.183943823,7.43E-08,6.32E-08,0.17244801,0.365774399,0.138818197,0.071796866,3.72E-08,1.14E-07,0.067218416,0.221601996,0.413197357,0.24366671,-2370.37571,0.608387898
0.227848101,0.129586143,4.581968108,3.221978751,1.561784608,2.341835007,3.076469624,3.340268911,4.191320939,0.785582613,0.257784116,490.8305939,51.2765309,3.910839399,2.70769053,1.519351013,1.140948348,0.008037714,1.414447671,0.443659192,0.114360046,7.26E-08,7.72E-08,0.183353561,0.378329855,0.096195272,0.152244461,3.05E-08,5.94E-08,0.075516565,0.173297891,0.588496141,0.343789226,-2397.407906,0.925362759
0.227848101,0.096103174,5.189998107,3.657121872,1.747068955,3.097630862,2.99118153,3.994354335,0.601894996,0.826060093,0.195550358,41.40022555,70.22063372,19.06714349,20.19904278,0.566491593,1.201927608,0.00485936,13.20036435,2.518771881,0.135114758,4.56E-08,5.33E-08,0.064534189,0.480178389,0.125066193,0.110879359,5.09E-08,8.47E-08,0.084226877,0.205589278,0.571772564,0.36806744,-2397.243854,1.131017265
0.227848101,0.069220657,4.300298861,3.910838035,2.750103216,3.760487107,3.726237944,4.521690733,0.460695932,0.884685148,0.116927225,16.7580662,7.151106119,20.63172432,12.0406434,1.36736464,3.432224179,0.023754893,6.83561873,1.998041725,0.203902441,7.98E-08,7.52E-08,0.161072552,0.297363743,0.144270721,0.110512335,4.09E-08,6.39E-08,0.082877949,0.528093913,0.68049929,0.397529385,-2374.558061,0.455766489
0.227848101,0.064095922,5.110155647,3.882429615,3.773683172,3.615311518,4.484807425,5.159297048,1.126502364,0.909911295,0.078237169,13.83783485,8.191075509,3.814207592,4.556624799,0.812232092,1.491529253,0.10521043,0.853279033,0.538772255,0.139452332,7.16E-08,2.82E-08,0.118512874,0.431169504,0.135232785,0.120408302,5.29E-08,7.13E-08,0.05522398,0.270376734,0.384229238,0.321651372,-2365.096316,1.989871793
0.227848101,0.106000994,5.128194658,4.753089859,2.383380645,4.760344658,3.835841881,5.282626624,1.053348011,0.886279681,0.130175306,58.63226645,63.68773067,5.265262001,7.001838689,0.101058542,0.847703601,0.026239442,5.919327695,3.127282193,0.197474051,6.47E-08,8.42E-08,0.145561295,0.256776633,0.176810901,0.163172817,8.47E-08,1.27E-07,0.060203943,0.420202533,0.348366883,0.542081017,-2362.186764,9.334825653
0.227848101,0.08184477,4.853350296,3.941493004,2.972461952,4.272725801,3.799725292,4.751633022,0.489039242,0.898591005,0.123426825,75.63042202,28.27003022,16.46985314,12.72243496,1.877266462,1.105629982,0.010445219,0.847529584,0.453511716,0.154878513,6.51E-08,3.92E-08,0.139117345,0.471692184,0.10662461,0.086768392,4.40E-08,5.97E-08,0.040918748,0.577636027,0.539212025,0.530649098,-2378.305641,6.998857715
0.227848101,0.052447203,4.793064146,4.208773326,3.444119677,3.852503325,3.978197964,4.48447421,0.722845202,0.842944855,0.132277675,15.49489424,495.478255,4.579179657,14.69399717,0.444628496,0.469936851,0.008393699,1.714055708,3.015459719,0.165863134,9.92E-08,8.69E-08,0.067343421,0.324885875,0.209972229,0.166005914,1.06E-07,1.43E-07,0.065928992,0.419882108,0.476331635,0.354097134,-2341.780657,0.738304505
0.227848101,0.087403776,5.098778478,3.566643151,3.033867068,3.422576703,4.216591106,3.995878474,6.843898546,0.886623036,0.165948985,19.13457748,46.84190091,1.238271025,1.977764453,0.713906948,1.148578574,0.014378335,0.945908515,1.744777769,0.105309481,5.67E-08,4.23E-08,0.113454144,0.458989945,0.160275054,0.08587689,5.45E-08,8.35E-08,0.076094249,0.393210348,0.452528558,0.367538553,-2324.20481,0.645776426
0.227848101,0.087611641,5.111491795,4.308107059,3.07036504,3.822358873,4.410944085,4.819649683,6.485370663,0.869172176,0.132108299,64.64999813,196.4614189,1.731192331,2.949641076,0.054882797,1.01327867,0.024536899,4.408652804,3.093765393,0.266165917,1.18E-07,7.44E-08,0.092760805,0.259253562,0.178152901,0.136702707,5.86E-08,6.79E-08,0.06696379,0.392741417,0.620227009,0.656443169,-2353.233817,0.185827375
0.227848101,0.069153118,5.567983506,4.447101296,4.023901836,4.441340178,4.491648989,5.377124377,2.577136792,0.883458089,0.09770449,17.55898205,65.98730361,2.396459871,3.552300659,0.223907926,1.162538798,0.009542268,9.26672489,8.620718624,0.171290046,7.29E-08,4.89E-08,0.161259228,0.350108542,0.167293647,0.102611005,7.08E-08,7.13E-08,0.047437269,0.666468032,0.304808993,0.495690122,-2373.796483,4.572723175
