alpha,sigma,b1,b2,b3,b4,b5,b6,theta,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.5,0.139018575,4.45158371,2.814506645,0.209880586,0.765978011,0.719260412,2.967679615,0.949568011,0.118072618,137.6175342,35.82082384,10.85732867,8.166009671,0.110230382,0.467052295,0.768806681,0.167198029,78.9523722,2.438779603,0.142863658,1.19E-07,6.63E-08,0.178505452,0.29909318,0.122438683,0.142406215,7.12E-08,7.57E-08,0.11469248,0.117088213,0.784719138,0.536598386,-2423.323056,0.735215122
0.5,0.128583303,4.89431155,2.181121387,0.182687515,1.142740067,0.670414395,2.22789427,2.204992418,0.044538128,240.2552601,82.81509854,5.76509622,4.762515996,0.73030873,0.151200191,1.532288042,0.011363879,2.080913357,9.087895626,0.083239348,6.69E-08,7.98E-08,0.121116723,0.458617761,0.160421158,0.118820727,4.12E-08,9.11E-08,0.057784004,0.136903857,0.971423446,0.590473231,-2430.062381,1.112728363
0.5,0.131042686,4.780163519,2.925393423,1.0275047,0.85916509,0.697540717,2.100981119,0.990238331,0.199187622,10.03644525,97.48569503,2.651752233,7.698330541,0.742763971,12.41891389,0.431010921,0.048272077,4.652121783,1.739108964,0.225483551,9.15E-08,8.45E-08,0.253777035,0.236450428,0.123139637,0.080784534,3.21E-08,7.64E-08,0.080364531,0.160548366,0.729293343,0.411793573,-2422.719038,0.981094819
0.5,0.10079998,3.698404786,4.419200565,0.270964578,1.927443892,0.321132001,3.413906611,0.636529349,0.253736386,5.083546536,241.9753173,2.910464828,15.30763471,0.17375469,0.291465067,0.315106817,0.061743839,8.099695456,2.722062018,0.253008888,4.30E-08,4.21E-08,0.154599128,0.232370573,0.143107178,0.099250152,5.91E-08,8.20E-08,0.117663855,0.230468351,0.687070754,0.569125457,-2445.16383,0.628877756
0.5,0.150314999,5.105346708,2.034106665,0.053953849,0.333583537,0.454952773,2.457039023,2.981888732,0.07906984,680.1569671,72.85818003,5.551868431,4.161068999,0.143175204,1.56764265,1.523947916,0.029713992,17.63872517,0.204329889,0.191916665,6.90E-08,6.47E-08,0.081901892,0.381403033,0.127098044,0.126292768,5.99E-08,5.59E-08,0.091387348,0.226130181,0.674512979,0.413857081,-2420.120175,0.501565419
0.5,0.131974752,4.922907274,1.634029175,1.454800925,0.631917982,1.505486394,1.85808601,0.546710357,0.162494105,19.13426721,126.9540714,10.73173813,25.57025624,0.211592273,3.293172849,0.357228397,0.0590651,168.8731597,0.183384339,0.131821303,7.88E-08,1.10E-07,0.095377693,0.399581061,0.187544602,0.090317488,8.42E-08,1.10E-07,0.095357471,0.290980589,0.679980575,0.394544142,-2432.603461,3.012585615
0.5,0.123593382,4.153375357,3.040485725,0.298602626,0.624531876,0.727055601,2.833850077,0.366593215,0.503140526,50.17971034,37.14831694,34.46615356,38.97925672,0.093123304,0.139070253,0.24117071,0.00952942,0.596694158,7.985755936,0.128313601,5.66E-08,3.72E-08,0.12786338,0.39125923,0.133363111,0.128285736,4.57E-08,6.47E-08,0.090914738,0.191848371,0.740212078,0.540826289,-2463.831195,0.343518422
0.5,0.12608086,5.47589954,2.892794982,2.087036108,2.180853636,2.22655192,3.161922345,0.487847752,0.063291923,281.5681744,16.46946124,36.44135471,28.73452817,0.668966479,3.244052876,0.316555642,0.018731536,4.645048755,0.463113407,0.200386621,1.34E-07,9.75E-08,0.097909287,0.230550192,0.203254808,0.173780794,1.01E-07,8.66E-08,0.09411788,0.20315079,0.664860389,0.54656178,-2429.308931,0.458031432
0.5,0.155109371,4.439479464,1.39425074,0.122083161,0.520677306,0.683881013,2.990998823,1.298367297,0.043547737,27.20261199,138.1493515,5.783888909,8.336981887,0.228448203,2.22075694,2.303389296,0.119469908,12.21832489,2.696034179,0.145548764,5.93E-08,6.11E-08,0.244080509,0.30182682,0.16035275,0.089181371,4.34E-08,1.07E-07,0.059009514,0.117076464,0.895288298,0.463248287,-2414.856329,1.231451084
0.5,0.182450358,4.887041378,1.103200905,0.232692006,0.566359258,0.283769079,2.411326863,0.443726176,0.185971248,80.54927826,14.90688439,22.2120473,19.90070027,0.048130296,15.27264647,0.481979891,0.111505215,0.719366249,116.0455114,0.095313478,1.06E-07,6.91E-08,0.209275125,0.318605259,0.187385517,0.116204499,5.97E-08,6.88E-08,0.07321582,0.132405494,0.92653058,0.490713146,-2484.657948,1.083373055
0.5,0.123889732,4.458972303,1.677091432,0.233906982,0.578182975,0.717220805,1.98560447,0.63403448,0.067507257,18.53821385,84.48534572,12.97611778,20.29329125,0.289232205,2.801876032,0.914245341,0.200897897,3.267381365,9.436849197,0.174453874,9.69E-08,2.98E-08,0.182722288,0.324456115,0.129504995,0.122773413,2.56E-08,1.08E-07,0.066089053,0.169937925,0.799400171,0.460938966,-2413.48762,1.372921289
0.5,0.081954488,5.937208202,1.808286429,2.247912632,0.65927051,2.585554047,1.741988724,0.793702432,0.230392402,211.657395,50.10159197,5.562153361,12.64845968,0.204517174,1.627787486,0.602617481,0.059860906,0.296042485,1.567001782,0.183863202,5.37E-08,5.09E-08,0.170091243,0.315313701,0.152437611,0.105641469,6.16E-08,5.93E-08,0.072652549,0.412115001,0.650816364,0.376122195,-2467.950242,1.162393538
0.5,0.137322298,4.914408141,1.61763388,0.649226716,0.15365102,1.052725011,1.541203005,1.181143523,0.217952184,70.02503268,74.81879606,7.279114581,7.562900627,0.297828861,7.811490906,0.301168217,0.015465921,36.95736413,0.078142166,0.190612076,5.75E-08,9.19E-08,0.069696844,0.371144113,0.120784805,0.160633794,7.05E-08,8.02E-08,0.087128068,0.146072588,0.905316969,0.372747297,-2409.372468,1.273845612
0.5,0.145757451,4.540206327,3.128963644,0.848037257,0.988826866,1.424920766,2.523302657,1.259422961,0.220562148,7.586826328,357.5139895,2.527583069,8.375781314,0.056421883,0.179624573,0.382548962,0.01191607,31.77859321,49.18174418,0.108409661,5.89E-08,5.97E-08,0.15402186,0.361897427,0.168897764,0.113065969,9.01E-08,1.27E-07,0.093706983,0.271366705,0.876779591,0.448236831,-2420.40301,0.345439079
0.5,0.121219434,3.948667243,2.556075785,0.307302533,0.818333991,1.55929536,2.562311265,10.43186541,0.072414269,27.58587418,81.36815035,1.719192779,2.798003501,0.551514267,0.600321585,0.906699079,0.05843401,13.44917981,1.275440571,0.189956777,5.39E-08,6.57E-08,0.216511815,0.290557426,0.138631281,0.106357267,5.00E-08,1.12E-07,0.057985153,0.178967002,0.698795766,0.504174573,-2431.487949,0.415101092
0.5,0.138924527,5.278122561,1.728686973,0.905770333,0.314263633,1.53971874,1.476867512,0.909523007,0.04111264,75.18011051,39.96884064,11.02233607,8.618997417,0.257515679,0.224409087,1.243557491,0.315960244,1.937030624,0.342018114,0.118882692,9.61E-08,6.72E-08,0.087249434,0.381166588,0.167075775,0.166564929,1.01E-07,1.15E-07,0.079060202,0.148148799,0.660994161,0.596861906,-2418.152544,0.155386926
0.5,0.152714637,3.371542017,1.484783177,0.204927486,0.904233392,0.258868118,2.996130926,6.472001141,0.022743576,151.6443515,59.19456804,3.783691574,2.566826164,0.875874471,15.66584082,1.96881206,0.01321034,2.935933956,0.287399279,0.186927558,7.18E-08,8.41E-08,0.135298736,0.287698487,0.182889603,0.118015684,8.31E-08,8.00E-08,0.089169613,0.102520383,0.725421269,0.550308212,-2418.581634,1.846094837
0.5,0.120901192,3.993530908,1.985769822,0.391816143,0.657002452,1.053325855,2.519327088,1.096648769,0.099042427,184.6144881,57.57424909,10.08580472,8.787983191,0.414019765,5.75307786,0.565517338,0.165673646,34.37945711,1.90668838,0.181916017,9.71E-08,7.45E-08,0.13921955,0.319314859,0.100416182,0.181146248,1.00E-07,9.99E-08,0.077986772,0.122594644,0.850701567,0.506917783,-2421.730086,0.652684851
0.5,0.126564657,4.352036012,2.484405431,0.302256783,0.646348644,1.082490997,3.523343484,9.100786758,0.083227749,49.73395036,105.0027205,2.896587528,2.938294469,0.164955982,0.275753889,0.905207051,0.024651262,4.831516037,0.343005754,0.175244356,9.10E-08,8.85E-08,0.117220709,0.284133645,0.184780405,0.13724539,1.27E-07,1.47E-07,0.10137504,0.120371967,0.644547564,0.361060827,-2426.679902,0.356320701
0.5,0.112551331,4.78070114,3.705281014,1.061713903,2.400985335,2.039357857,2.776312927,0.66893529,0.03044539,89.6448326,56.04858767,9.926416473,13.84921949,1.180495603,0.36044014,1.255111084,0.128487755,1.68769876,0.635730752,0.072884842,5.05E-08,7.39E-08,0.291295045,0.336131006,0.143103504,0.094804069,5.45E-08,9.54E-08,0.06178126,0.263632985,0.704071411,0.420268922,-2447.159289,3.196331437
0.5,0.121572858,5.283571611,1.131709088,1.955989431,0.438052103,2.016580831,1.710809786,2.237476081,0.114977404,24.70271717,12.20188322,3.585129744,2.706486717,2.281271577,2.360995699,0.520909939,0.003226766,3.745225932,0.590320772,0.149383798,1.17E-07,7.63E-08,0.092809707,0.281670099,0.15542561,0.237245714,1.04E-07,1.08E-07,0.083464666,0.190074482,0.591772077,0.348999421,-2412.632707,0.608352461
0.5,0.14433313,4.734474069,3.233898326,1.299354187,2.640790951,0.677115316,3.853874439,1.495098042,0.086574443,24.10160124,20.95959939,1.149371736,3.537481413,1.26274396,0.521924031,0.982463394,0.032336642,1.80170734,1.257857997,0.109743224,9.73E-08,6.64E-08,0.062781759,0.488985147,0.133888768,0.116589768,6.37E-08,8.58E-08,0.088011022,0.731099536,0.572464565,0.684647446,-2432.66714,1.955814176
0.5,0.118905605,6.315010201,2.660260605,3.224435849,1.350310135,2.206603446,2.827746898,0.530538773,0.069696708,5.047412832,397.1137915,4.128979191,34.95311572,0.00893538,3.6287555,0.267783052,0.058327568,2.570077789,4.71704376,0.184168486,9.33E-08,3.92E-08,0.127170059,0.338088552,0.132606417,0.126639932,6.60E-08,8.31E-08,0.091326272,0.2248729,0.692533939,0.199755604,-2420.104848,8.559016953
0.5,0.116049684,3.94045968,2.670950831,0.054648391,0.94460466,0.96531841,2.380551293,2.548746003,0.048507656,313.7425606,53.42042633,5.228485134,4.335289654,0.30677632,1.534585001,1.681374126,0.032978753,85.76074053,1.952712802,0.181381758,1.37E-07,5.44E-08,0.077245309,0.359381605,0.162060779,0.125994009,5.28E-08,9.15E-08,0.093936204,0.147859575,0.732988453,0.510153596,-2425.257389,0.206765257
0.5,0.134389213,4.144754671,4.234788452,0.689911032,2.761419714,1.626533101,3.780696341,1.567629673,0.097009789,153.6363938,11.4424594,2.897488419,3.01821071,0.240010973,3.042075344,0.900572226,0.006628418,15.82336029,1.805100931,0.117607462,9.81E-08,1.10E-07,0.136803522,0.329780113,0.139767273,0.206137154,7.56E-08,9.26E-08,0.069904099,0.6556033,0.681130372,0.449507202,-2437.354429,11.87225197
0.5,0.136773736,4.614340511,1.505615353,0.602558892,0.835323438,0.611008004,2.378525818,1.571589193,0.061230005,74.734543,131.1954784,5.563375403,6.599495416,0.228170583,2.752966137,1.270918818,0.059506262,6.683199684,0.22950353,0.120114783,6.42E-08,7.54E-08,0.148310567,0.456861712,0.135690969,0.096083416,6.12E-08,4.74E-08,0.042938305,0.169562031,0.781556366,0.547961972,-2413.431365,0.597240827
0.5,0.113283441,5.37164936,3.349395587,1.634480601,1.767255607,1.654129393,2.446201162,0.860057729,0.067228231,5.956150211,179.8916269,2.108340444,13.80945695,0.281258172,2.796449406,0.764895071,0.092238875,0.158105005,7.166867939,0.146618646,1.10E-07,4.15E-08,0.081946409,0.467278814,0.141917979,0.097891203,5.95E-08,8.35E-08,0.064346654,0.271600467,0.579886599,0.259397087,-2397.176418,2.986393281
0.5,0.117418519,4.519542949,3.992158168,1.517801463,2.448191167,1.395436978,3.342796168,0.732674192,0.322569939,78.80224468,15.00057835,6.614786361,6.810551455,0.97144186,1.485638239,0.110547028,0.005115046,0.214090993,0.330535439,0.164300074,1.48E-07,4.34E-08,0.125383005,0.342516359,0.173814829,0.14292546,4.18E-08,7.41E-08,0.051059965,0.344192066,0.871611924,0.445192185,-2458.767943,1.296545171
0.5,0.126364909,4.36256686,3.013736523,1.110363038,1.233263021,1.144202949,3.318184812,1.159204941,0.082103261,5.600806289,73.79172006,2.358901477,7.798898654,0.294521515,0.65687496,0.709721824,0.076336308,5.085762019,2.436646126,0.118520349,7.97E-08,6.99E-08,0.206826351,0.34197706,0.140456778,0.121320802,7.25E-08,1.00E-07,0.070898337,0.195215783,0.649044313,0.487872584,-2417.103185,0.566641662
