P2,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.606139869,0.094820817,3.978776868,3.431878912,1.029427794,2.585385897,2.993538631,4.099124965,1.226399813,0.84984368,0.066027351,23.35267604,40.18467307,4.541533612,5.568705075,0.696276593,1.433863807,0.972755325,0.16141609,3.809987741,0.19785804,7.59E-08,3.77E-08,0.057098217,0.489600193,0.11649114,0.07292417,5.03E-08,6.83E-08,0.06602801,0.26592208,0.477075652,0.340312403,-2352.059402,0.610505559
0.606139869,0.086620345,4.614107419,4.01819544,2.362002696,3.459416182,3.503688063,5.115912894,0.070988759,0.936419046,0.249762643,1.610128585,3.344090606,3.010518393,127.0620284,2.093657526,3.84390593,0.3002292,0.024753776,3.626216027,0.128292474,5.87E-08,7.42E-08,0.248992896,0.273117816,0.122238941,0.15686512,7.42E-08,1.14E-07,0.070492431,0.299017435,0.499710079,0.70862161,-2442.858948,1.81517528
0.606139869,0.135033615,4.333873508,4.547399611,1.497212594,3.437762433,2.979256583,5.701493095,2.675519666,0.822523018,0.119228315,151.1254932,106.5217723,2.264303678,2.509850433,0.13414281,1.864085584,0.60112122,0.166723164,18.60214894,0.076010178,6.81E-08,9.19E-08,0.159211884,0.36733298,0.180456807,0.115345032,1.20E-07,1.19E-07,0.101642721,0.377237445,0.577934462,0.364837486,-2467.839927,21.81168497
0.606139869,0.097459024,4.603784322,3.912652614,3.241900265,3.89568403,4.089779265,5.146002736,0.989127091,0.873819707,0.053994073,57.93923213,363.4430606,10.15942375,14.20166844,0.482261365,3.87888043,0.434943358,0.067939314,1.636327046,0.228737837,7.98E-08,4.50E-08,0.171768462,0.296360851,0.138761577,0.101057576,4.06E-08,6.62E-08,0.063313465,0.601105138,0.488052061,0.35288027,-2370.305987,2.559212729
0.606139869,0.149799307,4.830758897,3.100266346,1.153370134,1.441873261,3.719869434,3.623920475,0.915420688,0.850507294,0.060968876,8.992391283,53.58628029,2.882252556,6.519826716,0.573038728,2.470219585,1.505155667,0.018473671,1.488400527,0.223344733,9.74E-08,8.55E-08,0.147662161,0.376866108,0.118535081,0.079688814,4.62E-08,4.68E-08,0.053902827,0.303480362,0.522291372,0.311205807,-2353.478097,0.372331001
0.606139869,0.067669552,5.421699217,3.987130408,3.44457437,4.215333367,4.336573769,4.831228226,0.423488231,0.888171353,0.089122492,3.693038677,10.28090584,10.78837471,18.80384585,0.113680105,0.457141501,0.344946814,0.030640666,1.498847999,0.275117695,4.41E-08,6.02E-08,0.127268862,0.334415312,0.094759097,0.099186503,3.68E-08,7.91E-08,0.069252311,0.319480541,0.441006176,0.312768876,-2344.899594,0.497303306
0.606139869,0.113927041,4.558867189,2.791282846,1.86140895,1.403781758,3.384331773,3.869394382,0.867514663,0.807956656,0.090433976,8.768870073,417.9859737,1.994428377,10.12867013,0.059738022,1.580779691,1.285070652,0.254056203,6.6031868,0.139708497,7.78E-08,1.08E-07,0.067626899,0.421677097,0.153368013,0.107678352,3.77E-08,9.27E-08,0.109940826,0.404194351,0.604117879,0.325080018,-2395.762463,0.72218709
0.606139869,0.149098014,4.098957654,2.72376306,1.176985758,2.026878442,3.332420469,4.453698614,2.055481602,0.833129421,0.247546101,431.0304084,236.6771597,3.512227379,4.713846251,0.013401024,6.44750802,0.339735073,0.015480658,6.773997979,0.165850508,9.13E-08,7.48E-08,0.178134711,0.28257488,0.187420114,0.124888486,4.73E-08,8.88E-08,0.061130999,0.545089087,0.574952647,0.698395229,-2436.158209,3.276921586
0.606139869,0.143744904,4.179032083,1.465867347,0.897227983,1.965065371,2.837607311,4.239828706,4.037751259,0.858886168,0.082761308,76.99406897,31.56674318,3.09674307,2.584605956,0.890276137,4.563055686,0.933202019,0.233708012,2.559939159,0.146188229,7.58E-08,5.52E-08,0.147751004,0.40970777,0.105859943,0.133671064,8.82E-08,9.22E-08,0.056821679,0.395710814,0.398133851,0.301890815,-2377.093026,7.850233434
0.606139869,0.080657751,4.841741184,2.918677816,1.995603482,3.263489025,3.270207566,4.262536203,2.418195389,0.831017878,0.104694454,182.8154418,257.9976315,4.439354965,5.20267343,0.306320164,2.77691319,0.516846822,0.018450548,9.584026391,0.170335024,4.76E-08,5.39E-08,0.139373031,0.359315835,0.147540439,0.138852317,3.30E-08,9.06E-08,0.044583129,0.327933128,0.559775887,0.436142761,-2358.706411,2.039387944
