month,pop,dpop,month1,month2,month3,month4,month5,month6,y11,y12,y13,y14,y15,y16,y21,y22,y23,y24,y25,H1N,H3N,B,AH
2002.75,288236467.741216,2540652.78603538,0.020833333333333,0,0,0.020833333333333,0.479166666666667,0.479166666666667,0.814523489334088,0.360569117061248,0.338005327053766,0.570199038068214,0.41957245952102,0.697350083193669,3.60443995963673,2.918,2.672,2.672,0.638630349909424,22405,2594,12746,
2002.83333333333,288447978.497781,2535974.58941308,0.166666666666439,0,0,1.56273850898388E-38,0.166666666666894,0.666666666666667,0.995331847347146,0.903049470670323,0.598054283770949,0.753584366401877,0.596167923420957,0.842997156737596,3.60443995963673,2.918,2.672,2.672,0.638630349909424,24726,23389,60812,
2002.91666666667,288659191.709104,2533511.70023782,0.479166666666951,0.02083333333339,0,0,0.020833333333277,0.479166666666382,1.15563600834032,1.30110352606553,0.806171434651902,0.90812934067894,0.74087159321365,0.96745082909182,3.60443995963673,2.918,2.672,2.672,0.638630349909424,352646,99763,1086939,
2003,288870291.984138,2533264.11850961,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,1.22374863544655,1.49878230680427,0.924943247104445,1.01057171787601,0.829043523237789,1.05218971519065,3.60443995963673,2.918,2.672,2.672,0.638630349909424,1579074,416561,2081463,
2003.08333333333,289081463.931839,2535231.84422846,0.479166666666951,0.479166666666382,0.020833333333277,0,0,0.02083333333339,1.18990246906138,1.49188951765466,0.952515865715804,1.0580889013934,0.860812357988179,1.09276636909672,3.60443995963673,2.918,2.672,2.672,0.638630349909424,3503630,1377527,3478253,
2003.16666666667,289292892.161161,2539414.87739436,0.166666666666439,0.666666666666667,0.166666666666894,1.56789984301514E-38,0,0,1.07814159064445,1.32809720909083,0.908243263377032,1.05682756729248,0.84827808605792,1.09098392814387,3.60443995963673,2.918,2.672,2.672,0.638630349909424,1848466,795018,1027212,
2003.25,289504761.281057,2545813.2180073,0.020833333333333,0.479166666666667,0.479166666666667,0.020833333333333,0,0,0.971175503189806,1.21079813375123,0.860751049263404,1.02837183600989,0.826657482432364,1.05957392374825,3.60443995963673,2.918,2.672,2.672,0.638630349909424,183088,235159,114139,
2003.33333333333,289717255.90048,2554426.86606729,1.56617813763129E-38,0.166666666666894,0.666666666666667,0.166666666666439,0,0,0.961218203964238,1.30001754458007,0.878354427853102,0.994992233879061,0.830404600061572,1.01290452322556,3.60443995963673,2.918,2.672,2.672,0.638630349909424,41381,40783,60570,
2003.41666666667,289930560.628386,2565255.82157436,0,0.020833333333277,0.479166666666382,0.479166666666951,0.02083333333339,0,1.11983624606359,1.42658999398148,0.97885534867623,0.966267466446288,0.86780581740284,0.960962043402668,3.60443995963673,2.918,2.672,2.672,0.638630349909424,17492,17804,38778,
2003.5,290144860.073727,2578300.08452845,0,0,0.166666666666667,0.666666666666667,0.166666666666667,0,1.46491492090263,1.3976087423031,1.15255068507266,0.947501170945333,0.935230657657274,0.91273944014818,3.60443995963673,2.918,2.672,2.672,0.638630349909424,0,33674,1617,
2003.58333333333,290360298.204649,2592096.58579689,0,0,0.02083333333339,0.479166666666951,0.479166666666383,0.020833333333277,1.8202619176689,1.25439258254409,1.33023026077771,0.939588532089656,1.00754889757089,0.877638075882789,3.60443995963673,2.918,2.672,2.672,0.638630349909424,4176,10471,0,
2003.66666666667,290576856.42606,2605182.25624703,1.56962280972157E-38,0,0,0.166666666666439,0.666666666666667,0.166666666666894,1.96116552497136,1.08788432886265,1.44376409198267,0.941004731361209,1.05924227985527,0.86195891997598,3.60443995963673,2.918,2.672,2.672,0.638630349909424,0,47654,1797,
2003.75,290794475.502057,2617557.09587879,0.020833333333333,0,0,0.020833333333333,0.479166666666667,0.479166666666667,1.75150304383662,0.95329734768009,1.48885001429347,0.944953389806508,1.08474015752489,0.859192963004641,3.60443995963673,2.918,2.672,0,0,0,2253850,7725,
2003.83333333333,291013096.196739,2629221.10469222,0.166666666666439,0,0,1.56273850898388E-38,0.166666666666894,0.666666666666667,1.40950782525129,0.882984067084189,1.48043316294596,0.945464422046595,1.08655665768545,0.861221331155877,3.60443995963673,2.918,2.672,0,0,5991,17401104,96935,
2003.91666666667,291232659.274205,2640174.28268734,0.479166666666951,0.02083333333339,0,0,0.020833333333277,0.479166666666382,1.18714615022352,0.853582609897265,1.446620052051,0.945144477431552,1.07959739340057,0.866295671880463,3.60443995963673,2.918,2.672,0,0,0,22160791,144950,
2004,291453105.498553,2650416.62986409,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,1.11695997024391,0.83758273636384,1.4168381669624,0.949563564190114,1.079396741238,0.875116968353995,3.60443995963673,2.918,2.672,0,0,0,2132617,24145,
2004.08333333333,291674375.633882,2659948.1462225,0.479166666666951,0.479166666666382,0.020833333333277,0,0,0.02083333333339,1.16610848727327,0.846595061668345,1.41263749903345,0.967568391334623,1.09161264579596,0.891813025400957,3.60443995963673,2.918,2.672,0,0,2326,288411,41344,
2004.16666666667,291896410.44429,2668768.8317626,0.166666666666439,0.666666666666667,0.166666666666894,1.56789984301514E-38,0,0,1.25964423512714,0.894727134039054,1.44480362030216,1.00708993979328,1.11741645064678,0.920283352730685,3.60443995963673,2.918,2.672,0,0,0,47137,41631,
2004.25,292119150.693875,2676878.68648434,0.020833333333333,0.479166666666667,0.479166666666667,0.020833333333333,0,0,1.31209308053269,0.966953378859901,1.48894191948298,1.06911957733395,1.14990952719728,0.960087457919335,3.60443995963673,2.918,2.672,0,0,4957,19076,46441,
