D,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.033050847,0.086291051,4.884989975,2.741281107,2.313391521,2.571273168,3.476943897,3.787491226,0.644285129,0.833357137,1.407458244,438.9461081,1.948400877,19.30489451,0.25567324,1.282165624,1.978228644,0.332364441,7.176379396,0.728495962,0.181709217,6.13E-08,9.66E-08,0.065768807,0.426135261,0.140674488,0.135910612,3.78E-08,9.04E-08,0.049801329,0.275107729,0.46518992,0.312608876,-2365.326938,0.448757427
0.033050847,0.07082191,5.111166474,3.716009037,2.697618003,4.034177866,4.071220414,4.2490318,0.584635457,0.915315526,31.58712767,14.95253753,6.944672521,5.866213218,0.163455602,0.475174085,1.664862956,0.69146207,8.001236786,9.281745994,0.118233432,6.19E-08,7.01E-08,0.183912992,0.3977873,0.142748159,0.103928564,6.65E-08,1.15E-07,0.05338924,0.527557176,0.470500411,0.467197005,-2446.320509,13.81980699
0.033050847,0.058568561,6.291102871,5.529546984,5.1311938,6.012133453,5.692970182,6.682269712,9.116753383,0.917549287,11.71930979,27.82496284,2.199914759,2.537922582,0.131870053,0.289932583,0.35486364,0.042033008,1.826499572,0.293145851,0.191062714,5.36E-08,4.80E-08,0.175481106,0.3558697,0.09825705,0.106048222,4.93E-08,5.50E-08,0.073281002,0.708574541,0.367332241,0.374118784,-2392.244862,1.915224704
0.03559322,0.120927276,6.11694684,1.509410689,3.03119723,1.796588237,4.778969167,3.213120637,2.50567082,0.894515302,11.35390907,122.6946639,1.016280782,2.840839236,0.167201283,1.882306502,2.358303646,0.352653905,0.541156341,19.86364203,0.22641409,1.23E-07,7.26E-08,0.183793906,0.258506816,0.138556305,0.125494147,8.57E-08,7.77E-08,0.067234377,0.305699029,0.533381986,0.377745453,-2365.171715,1.98844576
0.03559322,0.096512187,4.23663272,4.200619974,1.751140141,3.909127813,3.442338258,4.325548364,2.86131717,0.847392688,287.9724789,43.73783161,2.867263641,2.601687188,0.107807449,1.076370483,1.667035968,0.191552269,3.277899574,0.872693143,0.081006198,4.64E-08,6.37E-08,0.105855186,0.454265651,0.167462996,0.108996274,1.11E-07,1.32E-07,0.082413342,0.336404775,0.36245666,0.494376307,-2627.981829,7.918600262
0.03559322,0.100956838,4.784924841,2.409695687,1.883577618,3.010004734,2.514122,4.479861966,3.029697287,0.83101069,40.14032465,403.6423478,3.197729392,4.4484113,1.397859492,1.36486993,1.453581484,0.008885203,1.431966866,6.586787611,0.210724002,5.18E-08,4.14E-08,0.073355415,0.35781102,0.128881155,0.155837277,5.33E-08,6.67E-08,0.073390918,0.402767517,0.441626937,0.407387468,-2407.566925,4.638284938
0.03559322,0.112862454,5.391267547,0.892973731,3.384040738,1.354296808,4.304321247,3.141988904,2.360500142,0.874344309,37.43710303,33.36012735,2.662300903,2.531295187,0.722985724,1.400152724,2.149134888,0.011859962,5.006386976,2.190994611,0.125933658,1.00E-07,8.62E-08,0.169664754,0.34971989,0.160438493,0.145403959,6.53E-08,7.42E-08,0.04883892,0.22728217,0.566864311,0.507490077,-2358.127289,2.749515331
0.03559322,0.149062094,4.86469064,4.702545528,0.718588581,2.780503434,3.385639655,4.645891023,8.910731125,0.832071706,9.148152065,308.4171128,0.520587477,2.193798276,0.46030919,2.06047318,3.223506185,0.05645214,1.498016973,0.223687195,0.07826689,4.96E-08,3.52E-08,0.163983378,0.472270606,0.121057694,0.102174675,6.44E-08,7.96E-08,0.062246529,0.311823977,0.613459181,0.261904858,-2400.570356,3.259638681
0.03559322,0.111155752,4.091573112,3.507712545,1.962834062,3.176681839,3.091983963,4.592717985,2.532762351,0.859326585,56.08897753,17.74504365,2.875497656,2.409123094,0.488802648,0.368149917,2.15224329,0.123665458,1.190058136,1.943053479,0.243610333,6.61E-08,1.00E-07,0.086796957,0.418281605,0.097860494,0.103016231,3.99E-08,1.29E-07,0.050434044,0.225673807,0.552032229,0.332115626,-2343.29236,1.011947415
0.03559322,0.092882508,4.200496871,3.896399642,1.876049207,3.366996531,3.420620477,4.636101636,1.396687001,0.851200985,10.79092845,22.12224997,2.638973685,3.386119334,0.177498867,2.249900677,1.675985735,0.071173028,4.226918649,13.16116027,0.135297528,5.73E-08,7.32E-08,0.183576308,0.360269964,0.145322062,0.098296596,7.34E-08,7.35E-08,0.077237265,0.25755173,0.472208245,0.420554828,-2364.600933,3.48430848
0.03559322,0.089469974,5.734475649,3.206761153,2.354208877,2.567959516,4.091755958,4.109056077,5.059505298,0.86022661,12.29298174,36.4964342,1.080028263,2.094261284,0.023067159,0.954685532,2.557527635,0.234791178,31.53464602,1.733098908,0.188739675,5.77E-08,7.77E-08,0.138210618,0.316546611,0.194594679,0.091530738,5.75E-08,7.34E-08,0.070377411,0.47775604,0.427254493,0.492874493,-2364.437274,1.226333819
0.038135593,0.122775533,4.824716449,2.1794164,1.999005702,1.870672315,4.132264795,3.151611986,1.607000836,0.833511857,62.85588459,170.541601,2.771284677,4.794146224,0.090911461,1.662933311,2.173975959,0.062874456,0.550679903,9.558665334,0.148636263,9.89E-08,6.39E-08,0.169245937,0.340501786,0.152004374,0.110781902,6.12E-08,7.10E-08,0.078829444,0.340981002,0.622100999,0.61696547,-2366.049748,0.941439615
0.038135593,0.098197227,4.817716922,3.806782035,2.273067632,3.519473205,3.298475205,4.760769499,0.745209808,0.84804568,9.048505444,381.3046073,1.912071609,10.69616628,0.63117148,0.519445852,1.804167507,0.106380067,1.137314823,4.108440559,0.13469624,6.54E-08,4.64E-08,0.083989981,0.399154389,0.164834917,0.151981796,7.10E-08,6.85E-08,0.065342426,0.422990014,0.755049876,0.365147625,-2372.132949,1.999087702
0.038135593,0.090763036,3.664180084,4.085604758,1.733184171,4.159505063,3.002209714,5.63135242,0.373951187,0.877038805,1.91551834,328.6586343,6.468123017,56.26328198,0.101905213,4.763588064,1.637285139,0.046235544,2.189336594,0.513626477,0.175108057,8.38E-08,3.16E-08,0.234212501,0.329461911,0.109365133,0.09139513,5.98E-08,5.91E-08,0.060457033,0.260267883,0.59659203,0.314631538,-2397.036271,1.181342307
0.038135593,0.093419026,5.623851895,2.742194865,3.596498419,2.850673611,4.592259229,3.422390329,0.927907023,0.845621534,11.97389872,31.62834639,4.181204592,6.842537934,0.152661612,0.816149968,1.045601324,0.20927409,3.998688472,1.013633088,0.17437674,6.71E-08,7.78E-08,0.100920666,0.328268331,0.162668155,0.12712692,5.39E-08,7.08E-08,0.106638918,0.387126075,0.514231907,0.287222762,-2357.270315,0.590214543
0.038135593,0.090680111,4.549246875,3.329789599,1.95231601,3.378752227,3.875701014,4.285291398,3.043850096,0.883453187,8.736829835,25.36335123,2.825649597,2.71033672,0.560849129,0.958980085,1.16556146,0.242794244,0.815258723,3.47115063,0.219672359,6.61E-08,7.07E-08,0.071712694,0.369426865,0.142682346,0.155938087,4.06E-08,1.02E-07,0.040567369,0.318977736,0.458266468,0.526217795,-2358.909348,0.654466646
0.038135593,0.124625867,5.413429803,4.074624734,1.612764411,3.382525342,3.7303699,4.9862898,1.384930099,0.86418163,22.01960684,339.7752566,1.156215651,4.332241395,0.265243343,1.668309947,2.590663188,0.104248827,2.040058061,0.405080442,0.096603914,6.33E-08,5.88E-08,0.152623818,0.422042763,0.135369197,0.116869889,6.51E-08,1.39E-07,0.076490094,0.596769766,0.688199291,0.392655277,-2374.58692,1.412619104
0.038135593,0.126200559,6.119810091,2.528689746,3.787747079,1.375340933,5.071897837,3.32778647,0.62814216,0.874134063,37.24853662,34.68639354,13.89838533,16.65934062,0.099295501,1.72814636,2.15613626,0.178814066,7.549216075,0.567824716,0.19552973,4.61E-08,4.61E-08,0.112481796,0.312661584,0.179889637,0.130419283,7.19E-08,8.80E-08,0.069017719,0.333843977,0.304765081,0.503203158,-2391.047284,1.390156733
0.040677966,0.112072255,3.434129811,4.196721943,0.980692435,4.356587271,2.995700834,5.507818744,4.497281172,0.863565244,90.9572,18.60394123,4.011589999,2.683114163,0.885228446,1.359110874,1.191915482,0.056484912,1.510571672,4.47183277,0.165927057,4.55E-08,8.39E-08,0.176520429,0.343127781,0.127841066,0.110158713,5.58E-08,7.14E-08,0.076424698,0.570685989,0.434477257,0.464784606,-2391.688071,0.384270001
0.040677966,0.131220738,5.047475734,3.948744392,1.395165663,3.455465391,3.410410901,4.158282326,0.482528509,0.868060262,41.19218347,61.12547396,10.97778607,14.9541047,0.594105909,0.516372467,2.299775497,0.014428267,1.947125758,0.04560544,0.147662833,6.75E-08,6.91E-08,0.114735564,0.361684657,0.1510936,0.178118121,5.14E-08,7.29E-08,0.046704965,0.346079777,0.551311885,0.448239455,-2383.293216,0.531919942
0.040677966,0.114614085,4.250341063,3.783695356,1.926788719,3.613987708,3.590139116,4.829505801,0.862564464,0.88309202,32.23006216,49.62848837,4.161903549,6.155951894,0.22358538,2.836148761,1.620647136,0.17710566,7.505273849,0.437950516,0.088164588,5.38E-08,7.96E-08,0.251748791,0.24599162,0.155643428,0.180392465,9.58E-08,9.08E-08,0.078058787,0.480325956,0.483158217,0.49303987,-2358.862644,1.455332181
0.040677966,0.082271407,4.536124964,2.697286757,1.806729831,2.867763076,3.281718606,3.871313513,0.612462187,0.852935043,12.13386134,42.57920539,5.188254971,10.9429771,0.049690616,1.948335877,1.51532805,0.038596974,0.3134049,11.32355697,0.271014086,9.21E-08,1.24E-07,0.138293561,0.235912068,0.165897096,0.105292497,1.09E-07,1.05E-07,0.083590262,0.366068656,0.604707237,0.301295978,-2369.297307,6.960887419
0.040677966,0.1359643,3.183198547,3.149356801,1.022076561,3.239654267,2.664916315,5.115867379,0.230690423,0.965732477,1.621838102,102.331609,2.442526049,221.1380901,3.244708359,8.266982287,2.042845005,0.317234264,15.6255392,0.888309821,0.077646868,5.27E-08,4.16E-08,0.240423772,0.422113903,0.115423572,0.086503977,6.11E-08,9.85E-08,0.057887654,0.344985496,0.593404493,0.42041771,-2364.937989,1.13335091
0.040677966,0.152589455,4.320070733,3.184679996,0.53256999,2.619771853,3.679009216,3.66612532,0.554708646,0.84404137,103.1204316,56.26582199,13.05466561,13.75480751,0.032076121,2.269038364,2.257683146,0.040530609,0.041646542,2.380011547,0.120626812,4.86E-08,8.26E-08,0.086786118,0.397639796,0.183375375,0.127955278,5.92E-08,8.99E-08,0.083616342,0.302055187,0.519184893,0.354011921,-2387.114497,11.5553939
0.040677966,0.10464645,5.182874432,2.601141764,2.94368197,2.906471516,3.788404598,4.251731157,0.507756084,0.851551715,2.754446515,199.239689,5.909874287,28.56938629,0.236913039,1.338748001,1.635426892,0.21490743,39.36379947,14.19962623,0.191804543,6.69E-08,9.41E-08,0.079112073,0.396474723,0.155981617,0.124708002,4.24E-08,9.93E-08,0.05191874,0.287607657,0.525503491,0.330210424,-2348.88826,0.470131544
0.040677966,0.054568014,5.879652946,4.872912387,4.652629327,4.971647181,5.16804057,5.615652161,3.330603849,0.901158572,28.86699149,45.20904471,2.629571409,3.013669687,0.192013368,0.894911087,0.242798544,0.13612194,6.359794161,0.809361761,0.186391399,8.63E-08,3.75E-08,0.140264043,0.306291357,0.181726818,0.146454503,7.04E-08,1.08E-07,0.038871579,0.332385965,0.487640089,0.359297152,-2362.753831,0.580112729
0.040677966,0.056224868,5.120569001,3.573524633,2.68342719,3.265532227,3.970072212,4.287645149,4.688607844,0.872762024,37.51413586,204.0978648,1.484031083,2.987214131,0.030305954,0.095496742,1.795235264,0.080308524,6.185287964,0.738871986,0.234922644,5.83E-08,8.36E-08,0.097039928,0.333803148,0.171071203,0.084632516,4.54E-08,6.00E-08,0.078530313,0.342619227,0.56578648,0.499873766,-2368.45321,0.537907552
0.040677966,0.079293177,4.150747119,3.297374483,1.317847868,2.718784485,3.033610384,4.121095811,1.250985322,0.815085443,6.621983726,198.5405717,1.753763358,6.520056802,0.094384903,3.204784662,1.569089753,0.014894587,2.536661873,0.556166338,0.156030976,8.03E-08,8.38E-08,0.149831288,0.345468597,0.164446522,0.081683039,3.65E-08,9.24E-08,0.102539285,0.405120952,0.534749104,0.335192972,-2402.039909,0.59843789
0.040677966,0.107743168,3.821325814,3.124597059,1.032680059,3.007700151,2.079362304,4.413965431,0.426997724,0.765790485,76.4412369,211.9063057,26.85693648,46.33100966,0.366277453,2.198138872,1.756283235,0.027981453,2.729048397,256.1734468,0.110568473,6.30E-08,6.06E-08,0.123760095,0.354729846,0.168192352,0.154336265,3.35E-08,8.04E-08,0.088412731,0.266177801,0.30093196,0.34988954,-2527.27885,4.264918686
0.040677966,0.120717739,5.127389515,3.269923899,2.618104074,3.322264765,3.899957678,3.814220393,1.507343608,0.855752826,25.49903112,46.50739628,5.756300464,4.99643616,0.332584499,1.512159622,0.899506787,0.178780042,1.684585355,5.804028385,0.183167211,9.98E-08,6.38E-08,0.178676894,0.364309483,0.119414487,0.108865064,3.28E-08,1.11E-07,0.045566554,0.242029378,0.419880388,0.307657529,-2357.323114,1.379207691
0.043220339,0.108332572,4.685373308,2.630289536,2.464179889,2.32677472,3.979302856,3.3784982,1.468365854,0.885550482,21.77694231,11.8817849,3.479265145,3.874627223,0.130534578,3.683985867,2.267051369,1.264524107,5.603810606,0.693896046,0.11877561,1.02E-07,6.33E-08,0.141871313,0.362743574,0.135982596,0.178756758,6.75E-08,1.02E-07,0.061869815,0.252807834,0.588257017,0.343723007,-2410.243206,3.93489817
