month,H1N,H3N,B
2016.91666666667,72991,3116836,36847
2017,218909,10013882,135709
2017.08333333333,385905,12927348,471233
2017.16666666667,242015,6549443,1043554
2017.25,101076,2195400,874194
2017.33333333333,31757,484810,222213
2017.41666666667,36414,244210,72826
2017.5,40758,170562,32752
2017.58333333333,25551,138815,17007
2017.66666666667,16911,228044,15506
2017.75,55335,526568,25535
2017.83333333333,140064,1495272,51808
2017.91666666667,1288002,13792465,504429
2018,3287132,19127604,1551379
2018.08333333333,3644067,11936266,2310031
2018.16666666667,1402301,2732212,1340755
2018.25,961715,1126749,635516
2018.33333333333,207056,155443,99671
2018.41666666667,63634,68492,18672
2018.5,64217,41462,5981
2018.58333333333,57650,57737,2766
2018.66666666667,205649,125654,4910
2018.75,299647,101975,10192
2018.83333333333,751968,177723,6827
2018.91666666667,5104413,1197700,34466
2019,6483448,2165977,51557
2019.08333333333,8586340,7669705,175664
2019.16666666667,4598798,8283343,433101
2019.25,493701,1372394,172543
2019.33333333333,189033,405274,69854
2019.41666666667,111857,241088,39341
2019.5,58859,157058,7171
2019.58333333333,77507,185727,15038
2019.66666666667,118868,373833,21457
