"month","Et_H3N","Et_H1N"
2014.75,1.5998376134755,1.08561149442671
2014.83333333333,1.5998376134755,1.08561149442671
2014.91666666667,1.5998376134755,1.08561149442671
2015,1.5998376134755,1.08561149442671
2015.08333333333,1.5998376134755,1.08561149442671
2015.16666666667,1.5998376134755,1.08561149442671
2015.25,1.5998376134755,1.08561149442671
2015.33333333333,1.5998376134755,1.08561149442671
2015.41666666667,1.5998376134755,1.08561149442671
2015.5,1.5998376134755,1.08561149442671
2015.58333333333,1.5998376134755,1.08561149442671
2015.66666666667,1.5998376134755,1.08561149442671
2015.75,1.4726470447373,0.295749637353208
2015.83333333333,1.4726470447373,0.295749637353208
2015.91666666667,1.4726470447373,0.295749637353208
2016,1.4726470447373,0.295749637353208
2016.08333333333,1.4726470447373,0.295749637353208
2016.16666666667,1.4726470447373,0.295749637353208
2016.25,1.4726470447373,0.295749637353208
2016.33333333333,1.4726470447373,0.295749637353208
2016.41666666667,1.4726470447373,0.295749637353208
2016.5,1.4726470447373,0.295749637353208
2016.58333333333,1.4726470447373,0.295749637353208
2016.66666666667,1.4726470447373,0.295749637353208
2016.75,1.6611995764621,0.643455584527573
2016.83333333333,1.6611995764621,0.643455584527573
2016.91666666667,1.6611995764621,0.643455584527573
2017,1.6611995764621,0.643455584527573
2017.08333333333,1.6611995764621,0.643455584527573
2017.16666666667,1.6611995764621,0.643455584527573
2017.25,1.6611995764621,0.643455584527573
2017.33333333333,1.6611995764621,0.643455584527573
2017.41666666667,1.6611995764621,0.643455584527573
2017.5,1.6611995764621,0.643455584527573
2017.58333333333,1.6611995764621,0.643455584527573
2017.66666666667,1.6611995764621,0.643455584527573
2017.75,1.36780391024815,0.572319789719216
2017.83333333333,1.36780391024815,0.572319789719216
2017.91666666667,1.36780391024815,0.572319789719216
2018,1.36780391024815,0.572319789719216
2018.08333333333,1.36780391024815,0.572319789719216
2018.16666666667,1.36780391024815,0.572319789719216
2018.25,1.36780391024815,0.572319789719216
2018.33333333333,1.36780391024815,0.572319789719216
2018.41666666667,1.36780391024815,0.572319789719216
2018.5,1.36780391024815,0.572319789719216
2018.58333333333,1.36780391024815,0.572319789719216
2018.66666666667,1.36780391024815,0.572319789719216
2018.75,1.77611598274573,1.65632662955957
2018.83333333333,1.77611598274573,1.65632662955957
2018.91666666667,1.77611598274573,1.65632662955957
2019,1.77611598274573,1.65632662955957
2019.08333333333,1.77611598274573,1.65632662955957
2019.16666666667,1.77611598274573,1.65632662955957
2019.25,1.77611598274573,1.65632662955957
2019.33333333333,1.77611598274573,1.65632662955957
2019.41666666667,1.77611598274573,1.65632662955957
2019.5,1.77611598274573,1.65632662955957
2019.58333333333,1.77611598274573,1.65632662955957
2019.66666666667,1.77611598274573,1.65632662955957
