sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.011982551229428,4.98809817464346,3.67149708202982,2.87534833962032,1.14486330553255,4.99969308047082,4.0813894125913,1.19914138362723,0.932502063421247,0.107790686411954,45.7861870913233,6.86005573901559,3.96907522578644,2.57390832670652,0.77492493140371,1,0.477770892218361,0.118500305615393,2.10009765625,2.75146484375,0.124180010536204,5.71333983110218E-08,7.25731076458928E-08,0.294389687728566,0.282543630627795,0.059339042766777,0.099941017473744,7.39375565120668E-08,7.2789668973326E-08,0.139606334433183,0.200721282447229,0.545879197195137,0.405378312262798,-687.553913662985,0.01118558887939
0.009669165469235,4.82022532623515,3.91684094232804,1.31500517907175,0.843248199367668,5.18871210709984,4.06716293884615,0.998389623186919,0.935927273837809,0.079067554328313,52.6452202952576,7.16729121005999,4.87004039213153,2.81666013872616,0.561322124751711,1,0.859605997611996,0.123827058947071,2.16455078125,2.85888671875,0.067365438567999,6.92651006574261E-08,3.86387487176037E-08,0.28116985272886,0.246597605025004,0.056211116515553,0.115313264138689,3.76496681407643E-08,4.33343939631255E-08,0.233342534135984,0.219498927253141,0.488559778865494,0.861358993062214,-687.605100136615,0.07776856546658
0.005142320707861,4.74587460951626,3.35483433494061,2.75344199351775,0.528869310134521,4.97262498680739,3.78179722986669,1.98943317514558,0.924787544660252,0.068320684496459,38.2836191294866,5.01309356621565,2.49442780662286,1.4779208357414,0.778108051166912,1,0.902788934840493,0.310985526717249,2.6494140625,2.9619140625,0.13801118984049,5.79547318461982E-08,8.16763358898739E-08,0.18974382768343,0.265943780608299,0.193880073629606,0.124946788717393,5.80114798069264E-08,8.99629471836558E-08,0.087474051915287,0.198556036615734,0.52326996149653,0.097324264627698,-688.199866397755,0.022996729712582
0.01886660793546,4.68907227274052,4.06306537372366,1.03902957077232,0.742801052457117,4.84789717847612,4.2659757969666,0.946128296994571,0.935771785999113,0.092107789197183,6.34120911294079,6.25796732694424,1.35734549520128,3.03694588929522,0.271286063452134,1,0.854205698052291,0.062276523385728,2.62744140625,1.59912109375,0.043287054940716,3.93896083621637E-08,6.07022742335295E-08,0.295775523160292,0.214007951982341,0.095820979074821,0.175988991945378,3.62544089946924E-08,5.15447182729067E-08,0.175119311005443,0.21006894169311,0.495453424869846,0.866480724199115,-688.393079736532,0.02535257120116
0.016979850141376,4.63229850514706,3.53274624123377,1.72122435688714,0.612423584011245,4.36422774916933,3.96875186167561,2.68464697963365,0.913007569056725,0.107384935600981,9.19232380441021,4.57831838366508,0.933427444002658,1.11504877273444,0.552562459388427,1,0.740167694553902,0.103744128029297,1.7158203125,2.5908203125,0.138595322006779,7.63152600353121E-08,6.23118444719151E-08,0.262043814083526,0.256157907658228,0.104360528060009,0.14738305651792,5.13133926236859E-08,5.80843771097066E-08,0.091459123648663,0.193868360912551,0.492935852556681,0.434961413965607,-688.443563449221,0.023297820945021
0.012093603266364,4.88189216624175,3.69561579119366,2.24781915979406,1.49149569840844,5.05811195562434,3.92230249480095,3.29687742867829,0.920567891636433,0.063865985903367,130.75948786693,5.78337199293993,2.53883291611724,0.980336925733293,0.568499139669375,1,0.938406005448461,0.253726526844095,2.6044921875,1.6513671875,0.263452513177983,4.43532010928085E-08,5.33207418688386E-08,0.248410800130512,0.216631135718505,0.055060673978213,0.072421837682148,4.26722946845729E-08,3.68339172254399E-08,0.144022862132485,0.239732800622538,0.522733229739017,0.868853945860118,-688.674664352858,0.024932558948715
0.023023315944006,4.66987319110806,3.63648114816034,1.86676107987378,0.761661200559026,4.93678230690368,3.96011284417205,1.40056243173709,0.925597253054063,0.073531274717278,231.959502000022,5.23109952140723,5.81531967914765,2.38216779972621,0.889495868051979,1,0.845466347685476,0.193908894629494,1.8251953125,2.9814453125,0.188022628856345,6.61265142005468E-08,5.64864958661003E-08,0.189907638266767,0.187599458896281,0.177360152554479,0.193546122840439,5.99409796741032E-08,5.05487895484985E-08,0.063563765482909,0.192923162474475,0.487217255910438,0.43551253920606,-688.676463766697,0.03297249414678
0.014856873698254,4.75579069276847,3.74521930592767,2.32904013496429,0.919553868420069,4.97048558355563,4.01285150596061,1.10139057907211,0.923266009467087,0.07408214024686,57.2638630440451,6.22638174401055,4.57573618264013,2.33272662066437,0.582487178583179,1,0.776122868915033,0.292101175334727,2.9970703125,2.0595703125,0.278926512733667,4.04262899479457E-08,5.26463972403047E-08,0.20147515754863,0.166119443410886,0.061551597715566,0.127718754577432,4.54803395670541E-08,4.74495447360376E-08,0.164208348011247,0.198784531338268,0.530653438102916,0.293686184190923,-688.800587289464,0.040145068449693
0.024659857731544,4.83779575174822,3.25732928036896,3.54101733266826,0.651669031083853,4.83900777877508,4.12981725862181,2.84166277083129,0.928104384010141,0.077067993182863,108.538059594635,6.29475185940438,2.7220843603268,1.24254131187522,0.975281761151101,1,0.830512274873677,0.104253527053967,1.07275390625,2.77880859375,0.058239145616879,5.6476165442842E-08,4.18983011041943E-08,0.225737361146378,0.233137833275938,0.115980880027173,0.144054455976729,6.64957050005005E-08,5.8716441563314E-08,0.22285010037029,0.245248962391186,0.497208302093013,0.900504577100394,-688.835588906907,0.042027492729659
0.019059947601274,4.86812940767878,3.64369483145184,2.11318211029738,1.27630564281795,4.94413020179772,4.02072336916398,3.68265166029065,0.925954006333403,0.071958859867691,166.634579637914,4.88852907701886,2.79618686749383,1.03144785906377,0.325739072314186,1,0.92321856435794,0.130569814246905,1.8759765625,1.8291015625,0.086160011268418,5.5396953366157E-08,5.26810718594514E-08,0.249736087161699,0.168859195464265,0.202301977127859,0.177890663783292,8.63744221088835E-08,6.2291791548248E-08,0.115051808450228,0.214986464024862,0.482131063706515,0.758431947698989,-688.836803962409,0.047649460096179
