"month","pop","dpop","month1","month2","month3","month4","month5","month6","y11","y12","y21","y22"
2012.75,80506073.6052656,262225,0.020833333333333,0,0,0.020833333333333,0.479166666666667,0.479166666666667,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2012.83333333333,80526602.0697837,231386,0.166666666666439,0,0,1.56273850898388e-38,0.166666666666894,0.666666666666667,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2012.91666666667,80544792.4259182,206110,0.479166666666951,0.02083333333339,0,0,0.020833333333277,0.479166666666382,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2013,80561108.3298106,186399,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2013.08333333333,80576013.4376023,172251,0.479166666666951,0.479166666666382,0.020833333333277,0,0,0.02083333333339,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2013.16666666667,80589971.4054347,163667,0.166666666666439,0.666666666666667,0.166666666666894,1.56789984301514e-38,0,0,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2013.25,80603445.8894493,160648,0.020833333333333,0.479166666666667,0.479166666666667,0.020833333333333,0,0,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2013.33333333333,80616900.5457875,163192,1.56617813763129e-38,0.166666666666894,0.666666666666667,0.166666666666439,0,0,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2013.41666666667,80630799.0305908,171299,0,0.020833333333277,0.479166666666382,0.479166666666951,0.02083333333339,0,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2013.5,80645605.0000005,184971,0,0,0.166666666666667,0.666666666666667,0.166666666666667,0,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2013.58333333333,80661735.622156,202533,0,0,0.02083333333339,0.479166666666951,0.479166666666383,0.020833333333277,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2013.66666666667,80679422.113188,222312,1.56962280972157e-38,0,0,0.166666666666439,0.666666666666667,0.166666666666894,0.621411674445368,0.804642449433598,2.71691394658754,1.47807194013036
2013.75,80698849.201225,244308,0.020833333333333,0,0,0.020833333333333,0.479166666666667,0.479166666666667,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2013.83333333333,80720201.6143957,268520,0.166666666666439,0,0,1.56273850898388e-38,0.166666666666894,0.666666666666667,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2013.91666666667,80743664.0808286,294949,0.479166666666951,0.02083333333339,0,0,0.020833333333277,0.479166666666382,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2014,80769421.3286523,323595,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2014.08333333333,80797658.0859953,354457,0.479166666666951,0.479166666666382,0.020833333333277,0,0,0.02083333333339,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2014.16666666667,80828559.0809863,387536,0.166666666666439,0.666666666666667,0.166666666666894,1.56789984301514e-38,0,0,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2014.25,80862309.0417538,422832,0.020833333333333,0.479166666666667,0.479166666666667,0.020833333333333,0,0,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2014.33333333333,80899092.6964263,460345,1.56617813763129e-38,0.166666666666894,0.666666666666667,0.166666666666439,0,0,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2014.41666666667,80939094.7731326,500074,0,0.020833333333277,0.479166666666382,0.479166666666951,0.02083333333339,0,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2014.5,80982500.000001,542021,0,0,0.166666666666667,0.666666666666667,0.166666666666667,0,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2014.58333333333,81029406.6245618,583070,0,0,0.02083333333339,0.479166666666951,0.479166666666383,0.020833333333277,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2014.66666666667,81079566.9719524,620110,1.56962280972157e-38,0,0,0.166666666666439,0.666666666666667,0.166666666666894,0.645131385461288,0.905863068231713,1.56617210682493,2.1883801400177
2014.75,81132646.886711,653140,0.020833333333333,0,0,0.020833333333333,0.479166666666667,0.479166666666667,1.17994373761268,1.05462049585809,0.227101879327399,1.43864166733725
2014.83333333333,81188312.2133766,682160,0.166666666666439,0,0,1.56273850898388e-38,0.166666666666894,0.666666666666667,1.17994373761268,1.05462049585809,0.227101879327399,1.43864166733725
2014.91666666667,81246228.7964881,707170,0.479166666666951,0.02083333333339,0,0,0.020833333333277,0.479166666666382,1.17994373761268,1.05462049585809,0.227101879327399,1.43864166733725
2015,81306062.4805838,728170,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,1.17994373761268,1.05462049585809,0.227101879327399,1.43864166733725
2015.08333333333,81367479.1102027,745161,0.479166666666951,0.479166666666382,0.020833333333277,0,0,0.02083333333339,1.17994373761268,1.05462049585809,0.227101879327399,1.43864166733725
2015.16666666667,81430144.5298836,758141,0.166666666666439,0.666666666666667,0.166666666666894,1.56789984301514e-38,0,0,1.17994373761268,1.05462049585809,0.227101879327399,1.43864166733725
2015.25,81493724.584165,767112,0.020833333333333,0.479166666666667,0.479166666666667,0.020833333333333,0,0,1.17994373761268,1.05462049585809,0.227101879327399,1.43864166733725
2015.33333333333,81557885.1175856,772073,1.56617813763129e-38,0.166666666666894,0.666666666666667,0.166666666666439,0,0,1.17994373761268,1.05462049585809,0.227101879327399,1.43864166733725
