sigma,b1,b2,b3,b4,b5,b6,theta,alpha,L1,L2,wL1,wL2,c1,c2,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.0501948713128,5.63007030772081,4.3548859776277,4.98535064446109,4.84438580921104,5.53761092580748,5.2742487607038,10.0307371844054,0.976989534624158,35.8768074442985,16.2929720728087,3.08600330643827,2.34124944625066,0.318082820471583,1.19370328070921,0.262800599493893,0.570645687129706,0.190561167477765,0.281139143906461,4.84178728828755E-08,4.72564052990427E-08,0.202234553025882,0.20997216414665,0.066468931760371,0.043414612433015,7.14125619438743E-08,4.38931655262108E-08,0.196770383747615,0.964603199870302,0.391490890426319,0.357603707151478,-2344.53132887493,0.630232032239974
0.048067632560148,4.82646701827974,4.21668330738235,4.20754034143387,4.39412448458798,4.39867895206075,4.90788320830454,1.60366982967461,0.942592899610159,30.7567044211616,20.9520108476044,4.55207502920661,3.87086698741628,0.122594057906235,0.742734405855654,0.661550849746621,2.0951676593391,0.147363819773579,0.305098925253279,6.83024672315888E-08,8.50434594996261E-08,0.095353340620461,0.399917223339238,0.065473847058887,0.077128316479563,1.12228906691971E-07,9.9694927083656E-08,0.057027981978812,0.369360907113173,0.425999218624243,0.352818431168085,-2345.36150461218,1.91677124114242
0.053643781474261,5.21802589552194,4.74875978555606,4.54012023198802,5.31090617618923,4.89554256775016,5.80805822526985,7.92645276149519,0.960897680817327,18.0358317757938,27.4394294578387,2.75965299534545,2.57707842888235,0.326299173749553,0.858722248853081,0.23597404031507,0.469052396243911,0.176223224156945,0.183918134044601,4.55918195061241E-08,5.37531118043683E-08,0.124384200353484,0.102732870134401,0.105968058412123,0.125923719022401,8.74080640836392E-08,4.84216538733128E-08,0.35707278285834,0.899469604558622,0.458517008612076,0.414321661971592,-2348.07988824392,1.14424041083005
0.041833287087019,4.64404257503435,4.6292291940044,3.78385175890651,4.63959120145117,4.10759508195547,4.90783262851768,0.630283675612225,0.922493764782407,6.06393442735441,6.20027892719025,9.82604282621491,7.16248146870189,0.228855841391204,0.286347426542702,0.602390643181916,2.21360044960227,0.640035431266587,0.308423188488419,6.15145818724294E-08,1.16246439525736E-07,0.076631721583673,0.235824618711037,0.061849465426732,0.201205501803467,9.71146105264484E-08,6.95033808032836E-08,0.11606515960766,0.314012447831787,0.569349292408047,0.351995043646565,-2355.5685168557,1.51359262880697
0.053357364685158,4.76474987975349,4.83078104655215,4.28789429455748,5.13122627742678,4.72859736544473,5.69116945454061,2.56155210015723,0.950842570798335,15.3416245166201,35.2631744620243,4.11431791058005,3.9659331911717,0.380845855881729,1.41355961092118,0.246472016346182,0.659733097920713,0.35626442853274,0.202151762367765,4.43860681908673E-08,6.59798103363849E-08,0.065087069973398,0.225270443287471,0.190054811534932,0.099324059899558,5.74365929706806E-08,3.64759354632816E-08,0.218111648658469,0.966466862981283,0.561464720181385,0.347008858897096,-2356.45387144278,0.30099119300099
0.054676807124882,4.66812491909046,3.63125289509845,3.90252952065688,4.2868894495623,4.23596023478043,4.68820719734607,1.57509227030126,0.954673732416984,61.3729058150488,16.2651322092565,5.34876812317557,0.767484863830102,2.43346503614232,4.59851463556251,0.359281694947614,3.51105753932098,0.128529967579134,0.118121793161984,6.29398733914224E-08,5.16798285484117E-08,0.231219445085467,0.195824820210842,0.110371682152177,0.134036697007833,2.66016267200616E-08,5.78137570282458E-08,0.210425363346611,0.841327260891417,0.595278658800034,0.417787066145787,-2356.85815345146,6.75364411748581
0.046187707139034,4.72504107407491,4.1794632587938,3.93506780554743,4.43229428488893,4.12307470516743,4.84596965275401,2.07301111995657,0.944471621635785,63.9704452159765,22.1329896151775,5.06317551284173,3.65178900407819,0.163676598377042,0.253063592292387,0.619263510477512,0.981259079186289,0.070852943894234,0.107813024867795,1.00375106905276E-07,1.24699316186275E-07,0.09372400466977,0.229188854757575,0.075834149858856,0.183826222955826,5.26998507254763E-08,6.25396812344207E-08,0.309613402576223,0.306393825177529,0.371355464996454,0.53985782182759,-2357.49150678307,3.16735034704992
0.054131420954598,4.94008583897237,3.71104958365446,4.23298759712861,4.15149044693694,4.56630332438353,4.57153153450445,1.04239691463129,0.948970404144156,8.01834975796616,22.7966896694381,7.42594565790527,4.86805745035155,0.692498809159851,3.75450770647205,0.522258474615914,1.10945099426126,0.042457962675089,0.359984024141995,5.59919930581006E-08,7.12552506201909E-08,0.223234005500653,0.052455707908423,0.124798427634683,0.100377049183442,7.01033441116953E-08,6.67117790141294E-08,0.139150521568438,0.402419895666758,0.521377409779278,0.431462432451815,-2358.01358172818,0.303086133047096
0.043616119367794,4.61374979422693,4.17977455842985,4.46492800059844,4.43064024319746,4.61165143332359,4.40521948233713,0.837481082252497,0.987325363529357,11.3818638471334,19.1611639856389,1.94155265396934,1.74694693766947,0.169672023030999,5.13785393365706,5.72086307983714,4.65929187049324,8.08755579220146,0.109040222183839,6.79336843299623E-08,9.35487603857493E-08,0.125655508802278,0.214903797801243,0.126763612829129,0.053414392792167,8.80045868433482E-08,1.07614756089097E-07,0.370222108489557,0.565305926992448,0.528958596456378,0.448585154168447,-2358.4038594286,1.13738041231916
0.052175467854841,4.64536949612522,4.45999967508132,3.60918788521853,4.72397909942799,3.90541245049273,5.27216057287435,2.10054168523032,0.917433785424016,4.18473400663158,26.5086776526443,4.25178905540868,2.85252015614517,0.619676271124953,0.252769492317457,0.301161725415405,1.06407187859577,0.302009847432571,0.24829890292682,4.96098600242541E-08,7.99659925938859E-08,0.298590607879089,0.063624866432756,0.113405121470284,0.10207650351944,8.67273507141568E-08,5.91297540055047E-08,0.174003722338653,0.455268923720712,0.414404084987234,0.303431964104703,-2358.83125661389,0.484661774688008
0.050906703491174,5.03225472517604,3.78135271695621,3.9669233383489,4.23369117753868,4.15574468856694,4.68099302873936,23.1222877864154,0.918170850631086,31.6297359170552,61.3819577476234,2.40508095223366,1.75353181867319,0.513879110439078,1.1831087856932,0.525150396538639,9.68514591996398,1.09888192863424,0.208876899361207,5.41392612050463E-08,7.20744108212846E-08,0.146141226203481,0.287418164417568,0.193448068261665,0.047918925766107,9.06847830939732E-08,7.80911471220816E-08,0.11619642100037,0.444715911447455,0.515430324300378,0.413165969047339,-2359.9085519027,4.25895430218261
0.046441080311279,4.63342754394914,3.99027526014036,3.85899435992507,4.39220676213209,4.20656812370794,4.69533553721379,0.760202471331059,0.945554477019619,5.01313944114553,7.3672078556,6.51412330129747,4.19683045636671,0.564556831306853,2.94826991848525,0.545451781949987,0.961615117312294,0.045842968942813,0.07540104586838,4.92017698828765E-08,5.30486802228714E-08,0.339903444067657,0.185625337021041,0.076917959134528,0.217764428585603,6.50917998566683E-08,4.48234672399645E-08,0.104387573157074,0.446691002014095,0.732725002996835,0.387626254462264,-2360.10418201426,0.694298231844286
0.061371875596738,5.26058212146145,4.06942350445753,4.03437439680843,4.43084603308321,4.38036582835146,4.77062059634756,2.05041308366468,0.902275490962791,19.2125530671214,146.357821723745,3.95046244027332,5.00537455466003,0.383346065990394,1.41963699571282,0.251417991541152,2.03735939660779,0.986575204749039,0.04383102123742,7.31571812664009E-08,7.12803402835263E-08,0.123678359301675,0.289167649065702,0.106915494781392,0.143348238166731,6.3063425967676E-08,6.6862143364794E-08,0.293058963083987,0.616328395792886,0.510325444324297,0.343921846828677,-2360.34420278513,0.668344900390739
0.052384676864279,4.93066359677824,3.89242566044312,3.73604468119639,4.4592362195203,4.11450250414381,4.76378883190967,3.91053473682676,0.896228743599645,22.4518793227313,148.716439947728,3.25681600750092,2.69511175775053,0.886707224062526,1.81949877258908,0.141921608943777,2.33496161288692,0.289535715493051,0.167143405499457,7.40903380756071E-08,5.49856112526074E-08,0.283389310772125,0.193876950548582,0.137969103594583,0.058091602854692,3.82989085775392E-08,5.43625253436445E-08,0.159529404993179,0.609651741307691,0.607277722557601,0.297600611921003,-2360.57029111838,3.8826504232123
0.059978980462405,5.3486462745319,4.10567184723603,4.5709595789717,4.55392363224427,4.85024296143834,4.82282747409922,1.72041420889598,0.94485019960987,40.8926746439537,22.8431290431024,5.11121221963025,4.34293665040372,0.065308105973119,0.421960405129723,0.338076291535874,0.483754475843136,0.005897094372461,0.274500386970612,5.23667184214291E-08,6.23947346193106E-08,0.038289528357367,0.338269473908552,0.066535170539799,0.170490572953247,4.20320955624505E-08,9.21304648177698E-08,0.111914618346409,0.61053511227045,0.558942547833153,0.335978550181643,-2360.68550302272,2.73301294654845
0.049631034797642,4.83959798353834,4.2212367724488,3.97900569592755,4.42980472027989,4.37481122950551,4.89067087243102,3.63836341293135,0.920996567727392,8.19143825951314,202.073655751921,2.23604347070298,3.54489670129965,0.409429581011233,2.09770389491807,0.331935136090106,4.13708716250184,1.58705793143378,0.174520015931717,3.82559149645469E-08,2.96847570131422E-08,0.239598377215488,0.130020763587875,0.087465613829274,0.126272849867427,3.35263682931441E-08,2.75160788991393E-08,0.242122250585099,0.648864668786691,0.558726487752235,0.343615459407184,-2361.40886814221,1.04619961752568
0.047790729098998,5.37471235493472,4.07489083782091,4.36262426770149,4.45845471483788,4.87887572795132,4.78642216823964,4.34363279735042,0.925465770480672,6.50433679922683,26.2816632828708,3.09584490742747,2.35556642474553,0.485714646462484,0.969769704170922,0.251812738406589,0.778297034473884,0.305813259268945,0.212267651026175,1.23367875869485E-07,8.40165388284931E-08,0.213719416818787,0.115498479112704,0.221847345048779,0.088744502657587,1.88709517989226E-07,1.46013859550742E-07,0.147922063228176,0.542462081393301,0.583370040458169,0.338031408370518,-2361.47608933179,0.292575348060823
0.05176172426863,4.58057219033449,4.5841195358263,3.87173415168743,4.71293893327722,4.38412634443578,5.17919916341206,1.13689518025481,0.941892691527048,10.656053370095,30.6842117953021,6.20132175997202,6.46592225358686,0.69903580261398,1.67131519898922,0.338808383819269,0.708149744673198,0.377930440610625,0.141115648645939,5.87884222077635E-08,4.1611254602849E-08,0.210629381315496,0.232009063315797,0.106245995492771,0.135581031254382,3.3469190160022E-08,6.60400801395494E-08,0.174418680066668,0.691180004733662,0.594801151447675,0.360019859265819,-2361.63875938397,3.36426933144341
0.055916510010508,4.9676299264914,4.17061095547116,4.32106670134103,4.51937234848256,4.79980325425888,4.91640725789294,1.04870155299893,0.964118140739337,3.18944363849987,7.49908492049155,3.64833519658862,3.12752042059398,0.459580416418746,1.56237329975319,0.428572198067972,1.12734600406281,0.048396545819595,0.239333109024942,5.55788715187372E-08,5.34145602484342E-08,0.155740445438987,0.140720041837301,0.134828607751445,0.143802917860468,3.38963636767498E-08,3.53453926113032E-08,0.185574699851669,0.597831252453952,0.657763148505012,0.399376752725303,-2361.91914042018,1.03188606864324
