"sigma","b1","b2","b3","b4","b5","b6","theta","alpha","L1","L2","wL1","wL2","c1","c2","wD","q","Dc1","Dc2","S_0","I1_0","I2_0","R1_0","R2_0","Rc1_0","Rc2_0","J1_0","J2_0","R_0","phi","rho","rhoS","loglik","loglik.se"
0.0877271104580705,4.41511369556484,3.46351695556409,3.47399289967382,3.77105773753437,4.42394566163699,4.3342971068212,2.89139411715818,0.914578275202315,112.75644216709,56.7646216154542,3.89415939095842,3.51604404018373,0.328022017203061,1.87452616849905,0.715660864100283,0.344834754064706,2.62876211214731,0.872422646228598,0.223555474575809,4.40375290485915e-08,4.42221131005098e-08,0.18975039511231,0.325808110720808,0.0877509227007549,0.13620123749537,6.61128991543837e-08,2.58089980243557e-08,0.0369336792134091,0.347290773145858,0.523153973791027,0.336286071384218,-2334.86438779275,0.676238661736993
0.0486982393198344,6.06957347739616,5.33006755028977,4.97343833821606,5.375125439154,5.46651380131324,5.78106819193542,2.091746718421,0.922080023188643,12.0545371622587,21.3132403454247,2.2309415291968,2.43084221995338,0.310509583306683,0.910977011050782,0.126883778104833,0.0929267710823194,1.49550858205081,0.231104122150524,0.181726074984234,4.92055469922724e-08,5.65304452072512e-08,0.119884541084861,0.163160666292496,0.186185917849407,0.190140915876143,6.58012194479875e-08,5.75130580665163e-08,0.158901654862589,0.332753641494534,0.502953413291368,0.340663576637002,-2335.01463354642,0.795399266558511
0.127841432682278,4.76750038485142,2.77934729115005,1.90444912812402,1.54912282585773,4.22610464036002,3.5620712788737,0.538913278314709,0.857736164032307,24.5343317986497,66.861642452219,11.3384262128983,18.4083013574534,0.0934764307015104,0.376598542175842,2.15279998989565,0.2520922072831,1.23855252333812,0.349125107951248,0.196471836992254,8.00935263688514e-08,4.53967108172831e-08,0.145251355038971,0.394372020710625,0.0880320129405704,0.116696643550398,5.76406036933701e-08,7.30837057643513e-08,0.059175874552635,0.273786670792965,0.443939647224201,0.37708286490477,-2337.53258865565,0.772698820991341
0.126999119022054,4.61649535075935,3.70993386565743,2.04067660487865,3.45086681580635,3.79357462080511,4.4987660405524,0.61639236756163,0.879880118028287,4.23729915588257,73.8877134445629,5.01497523009947,15.8937604150704,0.120239638254848,1.04121193189972,1.51275069558922,0.375863226648192,4.12612445025754,1.24344931286601,0.124619856930572,8.24191166934829e-08,5.97198670164152e-08,0.096162653478697,0.225859368409573,0.192622286613423,0.25617595084826,6.51676847988614e-08,9.78553970538439e-08,0.104559578557409,0.269167669230377,0.403574963954828,0.391737569589204,-2338.74293625494,0.694081764341809
0.115058902819597,4.52046826102677,2.58728421781144,1.97599276962281,3.00417822999464,3.74834338887372,4.03680906808287,2.44815233534361,0.882753297776886,9.31891534392385,278.438302422732,1.91205291123761,4.20383476199222,0.577615357273442,2.41637319025464,1.54954533998757,0.0880505825235395,10.0167497226946,1.74722489859513,0.203829994533558,4.71692627233637e-08,5.68136486187541e-08,0.261678448132918,0.194375175995438,0.101376961963008,0.203364393130733,8.3321014917224e-08,1.08818905353714e-07,0.0353747301215137,0.296160881868633,0.431713314195534,0.41294434288934,-2339.78603481129,0.253387735235321
0.0923001200440017,4.40706650334239,3.13391905521655,2.57336011947486,3.03007904621212,3.95276247355019,4.43040408957515,1.73779696593421,0.881425624686102,35.3939833706913,20.8376007659381,3.95609127330665,3.01597401629342,0.297791041725358,1.05489804271426,1.4161334378629,0.225945488287593,9.23014062227112,4.95514945243063,0.154700357814752,4.6368688174374e-08,5.0207480146983e-08,0.139322142964167,0.216233380636808,0.15762794969756,0.1427960109067,8.98208383463368e-08,4.77013099960798e-08,0.189319923881696,0.307450107327272,0.57413993985106,0.340381083041949,-2340.11950184516,0.184991519558861
0.0853635116145534,4.9355369306966,4.47863905441033,3.93487719509108,4.72592414722748,4.56178387293239,5.39662781971763,0.906955619174578,0.942319830611335,6.21636210356855,44.4379663820913,6.45350144989913,9.49388190989503,0.228959051201951,2.84892915807464,0.498276701563315,0.211807698017183,2.01069882395346,0.361204918708291,0.0772964371271267,1.13682331134988e-07,7.17985426107551e-08,0.205763524426013,0.118163148534154,0.132423729189556,0.140000927816861,1.11731554492554e-07,7.95790252503522e-08,0.326351856114836,0.363170446189195,0.407768276403449,0.46699885915358,-2340.38369375374,0.945748057146754
0.0959982312189664,4.4619371405305,3.33536851025643,2.05778058115339,3.3291850296925,3.41090790344206,4.38132265694837,0.839726397663492,0.868605692205469,4.27587847934209,35.6887532832655,4.05114860256623,8.31397089255051,0.209047416556701,1.05849216911049,1.40421635576799,0.345450346386654,3.60087453974412,1.2256715937617,0.120397294494106,7.57293671661153e-08,6.39546876758118e-08,0.0869083311920095,0.244726211684136,0.19259090571531,0.248975109296287,5.88339925702214e-08,9.22560684085928e-08,0.106401856844036,0.315449325130924,0.500292245628635,0.389377901214638,-2340.82260193158,2.0023959241767
0.117539554435641,4.64698917423794,3.61704323351996,3.02788165010936,3.03902964667304,4.70170412366171,4.40161267581423,0.633245396188675,0.91465425403355,6.44608029680149,40.8591408446976,3.29134105738885,8.57300600270237,0.222013108011613,0.699000655985566,1.59493150555059,0.441313259714206,1.03686551359516,0.206136447483999,0.164155718397497,8.6092976472613e-08,5.00696047616262e-08,0.115916964434311,0.24131692255721,0.18438932002021,0.153178858191199,8.0627382898108e-08,6.07678283630934e-08,0.141041938841781,0.307961884069126,0.464871008689007,0.352578661066253,-2341.29049119635,0.252367768097294
0.0812805519906486,4.70040540146559,3.63545129708684,3.18252410026607,3.92601375304926,4.04425345421163,4.59497604288405,2.49720116909098,0.900167167763468,46.0440571597843,70.8349195171041,3.5535524633424,4.04297356881,0.274268971564549,1.87132701555736,0.685565842651761,0.316532169313624,5.7765497740862,1.90757064123302,0.428734257765035,5.55918426614568e-08,8.13012708428404e-08,0.0846081382645827,0.0860607286324218,0.0516525911197245,0.207545827105099,5.58713909543209e-08,9.08469279047057e-08,0.141398173501704,0.453949819460069,0.56709462249601,0.346694889683653,-2341.36516552045,2.80104587010933
