sigma,b1,b2,b3,b4,b5,b6,theta,alpha,L1,L2,wL1,wL2,c1,c2,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.045015191782215,4.91822162862147,3.9537715188818,4.29239035741386,4.31580819631944,4.62367006625735,4.94941343173864,13.7493661832525,0.949660392243601,25.0607749935384,183.652721445934,3.00855116087493,3.29117251755195,0.749237012698286,1.44931601176157,0.355208056753774,0.461838344201911,0.477137984390238,0.172543011252057,6.40792231164723E-08,5.50097771364974E-08,0.147627609622407,0.11750439476677,0.124678060246378,0.171412544677302,5.96382670074127E-08,4.32577256246715E-08,0.266234157450093,0.693479661105315,0.442825980010188,0.398951355473667,-2342.43663828479,0.72586947965411
0.05890673063693,4.99911269350583,4.25282180262748,3.96721794235901,4.44227610643371,4.55312283472888,4.76615362401317,4.69220913289318,0.907327906427093,47.6179558577878,10.520009825617,2.51850096235236,1.20208835022375,0.268659465850044,0.8552341588093,0.475313811418789,22.6310480487867,0.598500291153192,0.102919180093278,8.66215132885604E-08,9.11065798007712E-08,0.182026233283401,0.107987477811381,0.129315746628478,0.309669167723447,6.05148256344961E-08,8.47452135586316E-08,0.168081871471883,0.551395262643537,0.450422353774711,0.3579194898066,-2344.31156612947,3.44217385429691
0.035666141141511,4.43539311478158,4.30852434496635,3.77911053061118,4.62969942072733,3.90561172127936,5.06461728458986,3.69825767582162,0.936231319796954,6.91158808005786,19.334027332748,1.87857850784874,1.6021613477075,0.426663774003614,0.599550430589991,0.693261680471952,5.70021063817978,0.331658368013879,0.30856395959591,6.536235880011E-08,5.03300403376198E-08,0.160217909751126,0.331438455735107,0.045340403696908,0.071184752252252,5.40078664894458E-08,6.66797862292633E-08,0.083254282588646,0.415777422728981,0.452946530193171,0.34159721056309,-2345.21622846853,0.647147054135579
0.050236389230934,5.18482988498583,4.04405729713164,4.2947187269361,4.37355366391132,4.6594982795149,4.88531978231145,4.8381045711279,0.922149808057317,23.3915838773803,33.0501792153506,3.48904355495822,1.93874583266961,0.602978677635266,1.73627589609731,0.226590833662938,1.20276786331297,0.103117601519578,0.136996052431783,1.31821789160973E-07,9.8763090622955E-08,0.320020028145703,0.117752059088287,0.20530135008523,0.075491943066051,1.22848723071539E-07,1.38821457969151E-07,0.144438074927885,0.630418737925283,0.604109718542618,0.305665083846208,-2347.69001623034,0.141929314058933
0.055879442496287,5.30640234587119,4.7280450523243,4.61104335702185,5.05057404659096,4.84496694135803,5.78584383101864,1.41662753841551,0.922466781217059,9.56673553863909,49.6282342139179,6.64375013737561,6.23007205638992,0.298397716704936,0.589348227449637,0.141569093586287,0.810457881878179,0.510694660504921,0.184855975903112,3.46387207684916E-08,5.08092053460845E-08,0.182402345493926,0.139835799990784,0.123764619802137,0.171439741123311,6.19305950658372E-08,5.29582644049455E-08,0.197701317349944,0.760592268162752,0.462556749277202,0.368167010910899,-2348.60122079053,0.361501822032746
0.053174692148436,4.96110206474493,4.83812418656388,4.42209622440602,5.03692071611206,5.05790761088675,5.38808745052061,1.54324491167255,0.980330097723187,11.0345142579304,60.4077736855481,5.62423918424019,6.0654434208252,0.627957718885275,2.40797978009416,0.312396766496021,0.472002901189693,0.16969235260493,0.175355313071409,5.74745471949528E-08,4.20746306250809E-08,0.207779961300268,0.156965824831472,0.110942236605959,0.089864083208998,3.35188511522525E-08,3.40519576378372E-08,0.259092413861909,0.906198516603108,0.410466538513057,0.331594367372835,-2348.78400549419,4.81611452001043
0.055468847897844,5.31528361688738,4.48444812537888,4.32348310894507,4.84088298208075,4.7357305437479,5.51137895761816,1.66788654995741,0.905018133015977,18.1988836978177,160.304073572517,6.37857128130125,6.64659764787132,0.429842165474994,0.970890199806883,0.125261844127294,1.02173863590027,0.664558944590437,0.269369289786642,6.24641015741947E-08,7.79224936536494E-08,0.238193886161258,0.194080390294155,0.040763193128872,0.108654153193665,5.79903646981536E-08,5.66755177996382E-08,0.14893883238293,0.795965762960309,0.519930818636076,0.373911203379175,-2348.90403433713,0.180689302107891
0.058855049282194,4.66887838193961,3.95250406817476,3.63383996272704,3.87653723382748,3.86800478422897,4.50414102474005,3.85692192421593,0.887911578572463,18.2385686181258,28.3765648147337,1.91153811193742,2.07606149798018,0.315378939943982,0.403308428918214,0.551012656800136,2.41013358842571,0.197768003704286,0.287708989106931,6.63863825025333E-08,6.54179905207338E-08,0.084132335434735,0.28822149399956,0.061214834312359,0.218736220800725,6.55604125963178E-08,1.02247584792998E-07,0.059985826733319,0.349652885261642,0.606891998952395,0.329753509253584,-2348.99815621308,2.94314595728827
0.055462654981887,5.17470982428222,4.49326695439296,4.68370876779347,4.93087421922954,4.84131810161798,5.48482325485,19.406563927878,0.933208000894009,64.4734183065865,149.843688433608,3.27425959661706,3.02389690816652,0.55590642464378,1.1981647120002,0.172456319537588,0.745277985031467,0.562999726127787,0.231441916413569,5.26958739960562E-08,7.36035125920519E-08,0.043188930362794,0.209050975266843,0.148860012252436,0.124384327655139,7.1096329758687E-08,4.77705877998101E-08,0.243073592882915,0.827647978883153,0.655929659107798,0.394267231562727,-2349.23987779524,0.359923090076592
0.041746202957148,5.61042935069454,4.94750465066971,5.04153723048183,5.27200983402182,5.46703357858449,5.64752833383506,5.86943111693017,0.962639712875827,13.3795614891773,9.67439556844316,3.20421467503105,2.33814310484081,0.170287657702915,0.114559732082257,0.179181537005909,0.351077152648054,0.243462374320073,0.085632147462526,5.69365244054851E-08,5.76273667906058E-08,0.320159336824508,0.285663578766045,0.070787137705585,0.061592661691076,5.22554898876507E-08,3.95871516155684E-08,0.176164931143727,0.580676532719169,0.73730623811376,0.436548452985572,-2350.22358943444,0.625496840171537
0.053294668216204,4.82190249000077,4.81084119150688,3.98790983023226,4.59090127388507,4.5596265104167,5.05525899853774,5.19151276804499,0.93659870911868,13.0578527446227,15.914839077783,2.3239622878341,2.16246830328245,0.087341219550859,0.367801792019428,0.565425945600931,2.42537412029893,0.133975567180489,0.164597275581723,9.08928842610448E-08,7.15145309650731E-08,0.101905194311579,0.297102510168594,0.10997555086877,0.154368595042603,8.50985652186775E-08,6.15204156589709E-08,0.172050565000335,0.363316038216183,0.460261370129329,0.26554868155496,-2350.44406507968,6.03989720428671
0.062311256831289,4.88887359464568,4.17623692775539,4.22499679503515,4.67222355710097,4.41484636900174,5.14390932424585,1.97863340643306,0.924271465713792,18.4782086673156,290.932642353943,4.73456386999727,5.68264947839415,0.56317308005606,1.86059990987953,0.249361474048584,1.41996953536259,0.748366870577692,0.171239008690142,8.46761865084839E-08,8.16946937706888E-08,0.152000638680951,0.365186544888399,0.129657250039147,0.08756186028931,9.33259318592628E-08,1.00941762900355E-07,0.094354336773475,0.876570853322542,0.546458470860252,0.345379386139779,-2350.58687044322,0.208065895968689
0.051204517271822,4.73570862192856,4.16817943617586,3.99564457233599,4.23403870895409,4.65135375417081,4.61557484645965,3.97842570721047,0.941953924509166,47.4475768879983,43.5376835553261,3.57004540018555,3.38664183586299,0.341128644037645,1.24038631061292,0.462222778071296,1.02169181499855,0.277164288420893,0.339358506645016,5.62661123288893E-08,4.09202114503162E-08,0.071871632415631,0.054353332689532,0.076910585916575,0.230199138188284,4.65869525617635E-08,5.93773945533976E-08,0.227306600994291,0.393015361396962,0.750164583851956,0.36262546737952,-2350.74973907889,0.452342541556697
