month,H1N,H3N,sim.history.H1N.lower,sim.history.H1N.mean,sim.history.H1N.upper,sim.history.H3N.lower,sim.history.H3N.mean,sim.history.H3N.upper,Pre.2016.H1N.lower,Pre.2016.H1N.mean,Pre.2016.H1N.upper,Pre.2016.H3N.lower,Pre.2016.H3N.mean,Pre.2016.H3N.upper
2012.75,19294,613348,5.74E-05,0.0004044,0.0017147,0.0006069,0.0059382,0.0307959,,,,,,
2012.833333,46758,2930603,0.0004615,0.0024554,0.008889,0.0211648,0.1399301,0.5487966,,,,,,
2012.916667,401195,19018474,0.0016713,0.0094253,0.0286204,0.1219465,0.6442633,1.8176146,,,,,,
2013,575671,12287850,0.004151,0.0219465,0.0629713,0.1884359,0.8766369,1.9297907,,,,,,
2013.083333,397031,3577560,0.0055826,0.0274493,0.0795071,0.1025983,0.4197501,0.9560535,,,,,,
2013.166667,288598,1239964,0.0039023,0.0176238,0.0545004,0.0265778,0.1223847,0.293996,,,,,,
2013.25,139426,279410,0.0021703,0.0100192,0.0286064,0.0093513,0.0414043,0.092754,,,,,,
2013.333333,73252,125309,0.0012622,0.007507,0.0234577,0.0031426,0.0209435,0.053153,,,,,,
2013.416667,188888,94697,0.0010161,0.0064918,0.0213194,0.0016178,0.0129548,0.0331815,,,,,,
2013.5,140396,105842,0.0009672,0.0065465,0.0199391,0.0013978,0.0084907,0.0228001,,,,,,
2013.583333,228508,47925,0.0009709,0.0083985,0.0264669,0.0011957,0.0070685,0.0184928,,,,,,
2013.666667,473945,90811,0.0019764,0.016436,0.0544799,0.0010003,0.0076768,0.0213534,,,,,,
2013.75,433523,142016,0.0093538,0.0523175,0.1850461,0.0024449,0.0109332,0.0309291,,,,,,
2013.833333,1696097,128305,0.0304458,0.2078372,0.6571874,0.0049141,0.0228523,0.0728,,,,,,
2013.916667,13433786,318228,0.1224253,0.5419911,1.4580138,0.0106625,0.0494923,0.1553465,,,,,,
2014,9856739,398192,0.1545706,0.6609784,1.5687641,0.0192914,0.0974318,0.3117607,,,,,,
2014.083333,3750209,384973,0.0672625,0.2829278,0.7181505,0.0231077,0.1112382,0.3400043,,,,,,
2014.166667,1205988,833531,0.0165779,0.0758499,0.2080933,0.013089,0.0685317,0.203067,,,,,,
2014.25,159730,922727,0.004225,0.0207872,0.0594453,0.0074442,0.037738,0.1061207,,,,,,
2014.333333,32666,655303,0.0010025,0.0088822,0.0274433,0.0038873,0.0274289,0.0771637,,,,,,
2014.416667,14449,498793,0.0005708,0.0048793,0.0162369,0.0034411,0.0237542,0.069401,,,,,,
