month,H1N,H3N,sim.history.H1N.lower,sim.history.H1N.mean,sim.history.H1N.upper,sim.history.H3N.lower,sim.history.H3N.mean,sim.history.H3N.upper,Pre.2020.H1N.lower,Pre.2020.H1N.mean,Pre.2020.H1N.upper,Pre.2020.H3N.lower,Pre.2020.H3N.mean,Pre.2020.H3N.upper
2017.166667,242015,6549443,0,0.0381938,0.2972096,0,0.1827724,0.8280875,,,,,,
2017.25,101076,2195400,0,0.0156196,0.1103763,0,0.0579054,0.2687165,,,,,,
2017.333333,31757,484810,0.0006657,0.0053463,0.0268028,0.0041808,0.023735,0.0802708,,,,,,
2017.416667,36414,244210,0.0002721,0.0022715,0.0112139,0.0029344,0.0117501,0.0390934,,,,,,
2017.5,40758,170562,0.0002144,0.0015775,0.0074385,0.0020737,0.0091649,0.0310648,,,,,,
2017.583333,25551,138815,0.0001762,0.0017401,0.0081307,0.0019155,0.0109106,0.0382065,,,,,,
2017.666667,16911,228044,0.0004364,0.0029258,0.0189757,0.0033127,0.0173522,0.0839946,,,,,,
2017.75,55335,526568,0,0.0070433,0.0503213,0,0.0418152,0.2833689,,,,,,
2017.833333,140064,1495272,0,0.021331,0.2002094,0,0.1210607,0.8082176,,,,,,
2017.916667,1288002,13792465,0,0.0751403,0.5112605,0,0.3519707,2.0231229,,,,,,
2018,3287132,19127604,0,0.2122063,1.3232544,0,0.5886564,2.1030628,,,,,,
2018.083333,3644067,11936266,0,0.2597997,1.2647649,0,0.4108425,1.6022458,,,,,,
2018.166667,1402301,2732212,0,0.1491757,0.6639984,0,0.1548759,0.5457698,,,,,,
2018.25,961715,1126749,0,0.0553221,0.2521128,0,0.0546545,0.1938501,,,,,,
2018.333333,207056,155443,0.0029673,0.0180333,0.06655,0.0042438,0.0187751,0.0626546,,,,,,
2018.416667,63634,68492,0.001666,0.0083809,0.0280193,0.0018609,0.0091851,0.0272536,,,,,,
2018.5,64217,41462,0.0011799,0.0057394,0.0200334,0.0014646,0.0065856,0.019959,,,,,,
2018.583333,57650,57737,0.001147,0.006688,0.0247546,0.001301,0.0073852,0.0246421,,,,,,
2018.666667,205649,125654,0.0017666,0.0096862,0.0500961,0.0023452,0.0117523,0.0505272,,,,,,
2018.75,299647,101975,0,0.0195934,0.1243155,0,0.0229848,0.1741261,,,,,,
2018.833333,751968,177723,0,0.0483861,0.351951,0,0.0539701,0.365922,,,,,,
2018.916667,5104413,1197700,0,0.1372898,1.0697897,0,0.1275557,1.0276215,,,,,,
2019,6483448,2165977,0,0.3588136,1.9647647,0,0.2530923,1.8498267,,,,,,
2019.083333,8586340,7669705,0,0.3734373,1.7083677,0,0.2813817,1.7937766,,,,,,
2019.166667,4598798,8283343,0,0.2038262,0.779748,0,0.1939273,1.1021517,,,,,,
2019.25,493701,1372394,0,0.0676455,0.2780666,0,0.076634,0.5557026,,,,,,
2019.333333,189033,405274,0.0047962,0.0248333,0.0771557,0.0047125,0.0324348,0.1624772,,,,,,
2019.416667,111857,241088,0.0025884,0.0109486,0.0323261,0.0020952,0.0154487,0.0716585,,,,,,
2019.5,58859,157058,0.0020673,0.0082259,0.0247105,0.0018701,0.0107674,0.0533936,,,,,,
2019.583333,77507,185727,0.0016188,0.0088683,0.0289299,0.0012452,0.0106469,0.0537165,,,,,,
2019.666667,118868,373833,0.002855,0.0136526,0.0554409,0.0018906,0.0133396,0.0737603,,,,,,
2019.75,103146,174484,,,,,,,0,0.0777907,0.4463548,0,0.0385809,0.1565347
2019.833333,1137477,390206,,,,,,,0,0.2210996,1.387557,0,0.0676933,0.3546721
2019.916667,5322483,439596,,,,,,,0,0.522183,2.4771441,0,0.131864,0.6982726
2020,13530632,702603,,,,,,,0,0.5150331,2.1773353,0,0.2226006,1.0534729
2020.083333,15219765,570010,,,,,,,0,0.258194,0.9837637,0,0.2221894,1.0365524
2020.166667,6639677,352536,,,,,,,0,0.0857648,0.3130948,0,0.1377741,0.6123437
2020.25,205718,2791,,,,,,,0.0072126,0.0310963,0.0997069,0,0.0559262,0.2705152
2020.33333333333,,,,,,,,,0.0031529,0.0149594,0.0443534,0.0042494,0.0239691,0.1004643
2020.41666666667,,,,,,,,,0,0.0777907,0.4463548,0.0022083,0.0122809,0.0468389
