month,H1N,H3N,sim.history.H1N.lower,sim.history.H1N.mean,sim.history.H1N.upper,sim.history.H3N.lower,sim.history.H3N.mean,sim.history.H3N.upper,Pre.2018.H1N.lower,Pre.2018.H1N.mean,Pre.2018.H1N.upper,Pre.2018.H3N.lower,Pre.2018.H3N.mean,Pre.2018.H3N.upper
2012.75,19294,613348,3E-06,1.53E-05,9.6E-05,1.35E-05,0.0001101,0.0008418,,,,,,
2012.833333,46758,2930603,2.93E-05,0.0002638,0.0024597,0.000689,0.0076296,0.0813307,,,,,,
2012.916667,401195,19018474,0.000322,0.0033548,0.0325009,0.0172026,0.2156029,1.7545962,,,,,,
2013,575671,12287850,0.0014395,0.0157016,0.1186312,0.1957179,1.2339299,3.5842806,,,,,,
2013.083333,397031,3577560,0.0029669,0.026136,0.2147538,0.2341041,1.0568384,2.6230899,,,,,,
2013.166667,288598,1239964,0.00299,0.0281428,0.2215347,0.0661623,0.4049388,1.3863892,,,,,,
2013.25,139426,279410,0.0019741,0.0194085,0.1580521,0.0181107,0.1226755,0.5078199,,,,,,
2013.333333,73252,125309,0.0004486,0.010753,0.082394,0.0037795,0.036398,0.2046154,,,,,,
2013.416667,188888,94697,0.0004523,0.0061363,0.0490546,0.0025072,0.0177327,0.0914105,,,,,,
2013.5,140396,105842,0.0003108,0.0058034,0.0410307,0.0018177,0.0126402,0.0543407,,,,,,
2013.583333,228508,47925,0.0005261,0.0079179,0.0626594,0.0013329,0.0102963,0.0490598,,,,,,
2013.666667,473945,90811,0.0006395,0.0129253,0.1065114,0.0012871,0.0092905,0.0463559,,,,,,
2013.75,433523,142016,0.0030032,0.0333178,0.2997714,0.0027393,0.0107652,0.0482381,,,,,,
2013.833333,1696097,128305,0.0128667,0.1781372,1.2890198,0.0038828,0.0161989,0.0862476,,,,,,
2013.916667,13433786,318228,0.0708165,0.8384724,3.2096026,0.0052143,0.0261244,0.185261,,,,,,
2014,9856739,398192,0.1789374,0.990562,2.9353784,0.0056846,0.0354965,0.2735393,,,,,,
2014.083333,3750209,384973,0.0661313,0.4456281,1.6707169,0.0062795,0.0467019,0.3497176,,,,,,
2014.166667,1205988,833531,0.0150502,0.1344081,0.6217275,0.0053651,0.0506564,0.3439261,,,,,,
2014.25,159730,922727,0.0036176,0.0341789,0.206991,0.0042376,0.0439412,0.2565815,,,,,,
2014.333333,32666,655303,0.0009672,0.0093159,0.0702046,0.0020558,0.0294121,0.1756043,,,,,,
