month,H1N,H3N,sim.history.H1N.lower,sim.history.H1N.mean,sim.history.H1N.upper,sim.history.H3N.lower,sim.history.H3N.mean,sim.history.H3N.upper,Pre.2019.H1N.lower,Pre.2019.H1N.mean,Pre.2019.H1N.upper,Pre.2019.H3N.lower,Pre.2019.H3N.mean,Pre.2019.H3N.upper
2012.75,19294,613348,0,4.29E-05,0.0004634,0,0.0003491,0.0078491,,,,,,
2012.833333,46758,2930603,0,0.0003753,0.0046803,0,0.013112,0.2791221,,,,,,
2012.916667,401195,19018474,0,0.0022754,0.0283915,0,0.1790126,2.6286837,,,,,,
2013,575671,12287850,0,0.0100092,0.1088398,0,0.9940607,6.0427594,,,,,,
2013.083333,397031,3577560,0,0.0217438,0.2598319,0,1.2560646,5.1821491,,,,,,
2013.166667,288598,1239964,0,0.0225776,0.2823581,0,0.5010014,2.2739158,,,,,,
2013.25,139426,279410,0,0.0136957,0.1794196,0,0.155459,0.7686543,,,,,,
2013.333333,73252,125309,0.0007203,0.0080054,0.0895703,0.0054792,0.0516122,0.2082845,,,,,,
2013.416667,188888,94697,0.000419,0.004952,0.0548781,0.0024083,0.023148,0.0926468,,,,,,
2013.5,140396,105842,0.0003643,0.0048866,0.0471099,0.0022115,0.0148217,0.0644047,,,,,,
2013.583333,228508,47925,0.0006495,0.0082744,0.0871277,0.0016381,0.0135101,0.0676018,,,,,,
2013.666667,473945,90811,0.0014469,0.0231978,0.3422804,0.0017645,0.0161414,0.106077,,,,,,
2013.75,433523,142016,0,0.0915007,1.4674891,0,0.0179535,0.2053396,,,,,,
2013.833333,1696097,128305,0,0.3522934,3.7852887,0,0.025351,0.3722727,,,,,,
2013.916667,13433786,318228,0,0.8951343,4.8641704,0,0.0354529,0.6544415,,,,,,
2014,9856739,398192,0,1.099298,4.9488933,0,0.065019,1.0959965,,,,,,
2014.083333,3750209,384973,0,0.6171879,3.2664256,0,0.0937267,1.2047698,,,,,,
2014.166667,1205988,833531,0,0.1971355,1.2412032,0,0.0877068,0.8160562,,,,,,
2014.25,159730,922727,0,0.0457263,0.3750235,0,0.0429968,0.3574808,,,,,,
2014.333333,32666,655303,0.0010698,0.0140144,0.0946419,0.0007034,0.0214631,0.1388284,,,,,,
2014.416667,14449,498793,0.0004246,0.0054663,0.0437479,0.0003115,0.0108865,0.0650046,,,,,,
2014.5,8278,260292,0.000324,0.0032899,0.0304299,0.0002987,0.0084593,0.0543783,,,,,,
2014.583333,22259,258399,0.0002538,0.0028751,0.0366973,0.0004583,0.0107322,0.0726299,,,,,,
2014.666667,8019,308177,0.0003289,0.0042322,0.0628108,0.0010563,0.0247815,0.2043666,,,,,,
2014.75,14646,646989,0,0.0058076,0.1477828,0,0.0721345,0.7721829,,,,,,
2014.833333,30859,5050796,0,0.0107451,0.355726,0,0.2269687,1.8979874,,,,,,
2014.916667,27316,18427374,0,0.0183458,0.7671116,0,0.6007442,3.35341,,,,,,
2015,23029,11623671,0,0.0346777,1.2346823,0,0.8530985,3.484987,,,,,,
2015.083333,29972,4716538,0,0.0429949,0.9650194,0,0.530866,2.5905839,,,,,,
2015.166667,16651,1359466,0,0.0263022,0.4572165,0,0.1604391,0.9936816,,,,,,
2015.25,20516,174239,0,0.0087781,0.1438801,0,0.0432448,0.3123757,,,,,,
2015.333333,5180,92289,9.86E-05,0.003544,0.0447538,0.0019686,0.0142312,0.096606,,,,,,
2015.416667,3696,150990,4.92E-05,0.0014647,0.0167852,0.000766,0.0058546,0.0410032,,,,,,
2015.5,5687,108361,2.58E-05,0.0009143,0.0106874,0.0003863,0.003221,0.0276932,,,,,,
2015.583333,10372,189969,3.36E-05,0.0010251,0.0116509,0.0004041,0.0028787,0.0310861,,,,,,
2015.666667,7511,196769,7.39E-05,0.0021012,0.0293165,0.0004573,0.0037698,0.055426,,,,,,
2015.75,23751,144709,0,0.0052039,0.103688,0,0.0054596,0.1342849,,,,,,
2015.833333,96241,199547,0,0.0167736,0.2889569,0,0.0088933,0.3373348,,,,,,
2015.916667,369296,178459,0,0.0574548,0.9051983,0,0.016571,0.594471,,,,,,
2016,1451788,414274,0,0.1788952,1.5511394,0,0.0317819,0.9150661,,,,,,
2016.083333,5231811,935818,0,0.2500305,1.554673,0,0.0456324,0.7725165,,,,,,
2016.166667,5801116,951167,0,0.1383968,0.7308463,0,0.0312134,0.4537684,,,,,,
2016.25,1735666,631880,0,0.0424618,0.2245691,0,0.0160324,0.1724278,,,,,,
2016.333333,342351,472392,0.0019668,0.0142455,0.0553376,0.0005762,0.0084019,0.0637253,,,,,,
2016.416667,38673,131596,0.0008324,0.0050261,0.023089,0.0002908,0.0048138,0.0356349,,,,,,
2016.5,5574,84513,0.0004973,0.0028433,0.0120253,0.0003205,0.004063,0.0288045,,,,,,
2016.583333,17805,102152,0.0004072,0.0026302,0.0132611,0.0004054,0.0060511,0.0475535,,,,,,
2016.666667,16663,192570,0.0005049,0.0037335,0.0232259,0.0012964,0.0157234,0.1343218,,,,,,
2016.75,30515,293576,0,0.0068276,0.0638981,0,0.0556382,0.5164807,,,,,,
2016.833333,22341,596772,0,0.0133115,0.1598701,0,0.1880418,1.7066723,,,,,,
2016.916667,72991,3116836,0,0.0310861,0.3804229,0,0.5938884,3.0445939,,,,,,
2017,218909,10013882,0,0.0663877,0.6935927,0,0.9771104,3.777113,,,,,,
2017.083333,385905,12927348,0,0.0880653,0.7672032,0,0.6505183,2.9584958,,,,,,
2017.166667,242015,6549443,0,0.0539931,0.4307876,0,0.2455356,1.281533,,,,,,
2017.25,101076,2195400,0,0.0224684,0.1553435,0,0.0719249,0.4104256,,,,,,
2017.333333,31757,484810,0.0006489,0.0083476,0.0405752,0.0048319,0.0277118,0.1286474,,,,,,
2017.416667,36414,244210,0.0002597,0.0037081,0.0194546,0.0023912,0.0132043,0.0588891,,,,,,
2017.5,40758,170562,0.0001889,0.0025399,0.0122627,0.001528,0.0093538,0.048637,,,,,,
2017.583333,25551,138815,0.0002336,0.0027369,0.0146515,0.0018347,0.011043,0.0631032,,,,,,
2017.666667,16911,228044,0.0004209,0.0048907,0.029807,0.0033079,0.0210697,0.1286023,,,,,,
2017.75,55335,526568,0,0.0112223,0.1006584,0,0.0549746,0.4921421,,,,,,
2017.833333,140064,1495272,0,0.0306905,0.2799149,0,0.1652708,1.2383834,,,,,,
2017.916667,1288002,13792465,0,0.0791141,0.7063032,0,0.4435932,2.6312884,,,,,,
2018,3287132,19127604,0,0.1943173,1.3574467,0,0.8066081,3.3523115,,,,,,
2018.083333,3644067,11936266,0,0.2461882,1.5000646,0,0.6373136,2.4850593,,,,,,
2018.166667,1402301,2732212,0,0.1466709,0.7757569,0,0.2490651,0.9904478,,,,,,
2018.25,961715,1126749,0,0.0596315,0.2796166,0,0.0824327,0.3659628,,,,,,
2018.333333,207056,155443,0.0037665,0.0226968,0.0887965,0.0057773,0.0297751,0.1118353,,,,,,
2018.416667,63634,68492,0.0016282,0.0099705,0.0413734,0.002376,0.0131521,0.0502877,,,,,,
2018.5,64217,41462,0.0012562,0.0071458,0.0284697,0.0019258,0.0096466,0.0374867,,,,,,
2018.583333,57650,57737,0.0012685,0.007887,0.0380291,0.0020572,0.0112869,0.0460598,,,,,,
2018.666667,205649,125654,0.0019294,0.0154711,0.0865199,0.0036686,0.0236611,0.1226013,,,,,,
2018.75,299647,101975,,,,,,,0,0.0432482,0.2352758,0,0.0538551,0.3266125
2018.833333,751968,177723,,,,,,,0,0.1062511,0.7086721,0,0.1550824,1.0028843
2018.916667,5104413,1197700,,,,,,,0,0.2732624,1.6933657,0,0.4171808,2.4153038
2019,6483448,2165977,,,,,,,0,0.5271077,2.4867165,0,0.8550077,3.4869158
2019.083333,8586340,7669705,,,,,,,0,0.4825323,2.0870584,0,0.7723095,2.8737423
2019.166667,4598798,8283343,,,,,,,0,0.2216061,0.8980844,0,0.3261608,1.3382216
2019.25,493701,1372394,,,,,,,0,0.0690055,0.2858571,0,0.116935,0.5360415
2019.333333,189033,405274,,,,,,,0.0046182,0.0236792,0.0851723,0.0089172,0.0452945,0.1704298
2019.416667,111857,241088,,,,,,,0.0017336,0.0095294,0.036287,0.0045671,0.0220145,0.0791362
2019.5,58859,157058,,,,,,,,,,,,
2019.583333,77507,185727,,,,,,,,,,,,
2019.666667,118868,373833,,,,,,,,,,,,
2019.75,,,,,,,,,,,,,,
2019.833333,,,,,,,,,,,,,,
2019.916667,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,
2020.083333,,,,,,,,,,,,,,
2020.166667,,,,,,,,,,,,,,
2020.25,,,,,,,,,,,,,,
2020.33333333333,,,,,,,,,,,,,,
2020.41666666667,,,,,,,,,,,,,,
