"","c1","c2","loglik"
"1",0,0,-1675.84036263629
"2",0,0,-1677.07985498063
"3",0,0,-1679.59974845196
"4",0.0512820512820513,0,-1649.22710293304
"5",0.0512820512820513,0,-1649.89487098654
"6",0.0512820512820513,0,-1648.24937421654
"7",0.102564102564103,0,-1632.31112144736
"8",0.102564102564103,0,-1629.73985399274
"9",0.102564102564103,0,-1636.36892806505
"10",0.153846153846154,0,-1619.96123881663
"11",0.153846153846154,0,-1620.32743952838
"12",0.153846153846154,0,-1617.75732967346
"13",0.205128205128205,0,-1612.78689960618
"14",0.205128205128205,0,-1613.56140060242
"15",0.205128205128205,0,-1614.77814771673
"16",0.256410256410256,0,-1607.61012967335
"17",0.256410256410256,0,-1609.25210547154
"18",0.256410256410256,0,-1606.45684392142
"19",0.307692307692308,0,-1603.83870744734
"20",0.307692307692308,0,-1604.71626375629
"21",0.307692307692308,0,-1604.5971437134
"22",0.358974358974359,0,-1603.480699939
"23",0.358974358974359,0,-1603.76953746927
"24",0.358974358974359,0,-1603.71352305478
"25",0.41025641025641,0,-1603.59537125411
"26",0.41025641025641,0,-1603.50284336582
"27",0.41025641025641,0,-1604.83144717561
"28",0.461538461538462,0,-1604.56964507023
"29",0.461538461538462,0,-1604.91230526927
"30",0.461538461538462,0,-1605.01843057121
"31",0.512820512820513,0,-1606.43290611476
"32",0.512820512820513,0,-1606.10154230979
"33",0.512820512820513,0,-1607.14577367394
"34",0.564102564102564,0,-1608.37957479554
"35",0.564102564102564,0,-1608.63069309356
"36",0.564102564102564,0,-1608.68037715688
"37",0.615384615384615,0,-1609.66163758818
"38",0.615384615384615,0,-1611.59350606137
"39",0.615384615384615,0,-1611.21556071788
"40",0.666666666666667,0,-1613.46798143669
"41",0.666666666666667,0,-1612.94390737006
"42",0.666666666666667,0,-1613.21639320188
"43",0.717948717948718,0,-1616.66552580168
"44",0.717948717948718,0,-1615.24837579429
"45",0.717948717948718,0,-1615.64698002793
"46",0.769230769230769,0,-1619.18852084499
"47",0.769230769230769,0,-1619.14773888838
"48",0.769230769230769,0,-1618.75092042189
"49",0.82051282051282,0,-1620.25695148725
"50",0.82051282051282,0,-1623.05097445241
"51",0.82051282051282,0,-1620.30341163056
"52",0.871794871794872,0,-1626.38388111001
"53",0.871794871794872,0,-1625.24685497277
"54",0.871794871794872,0,-1623.66388310209
"55",0.923076923076923,0,-1626.26696464505
"56",0.923076923076923,0,-1628.72081697924
"57",0.923076923076923,0,-1628.07021603881
"58",0.974358974358974,0,-1633.67003294051
"59",0.974358974358974,0,-1630.18421772574
"60",0.974358974358974,0,-1627.43863754725
"61",1.02564102564103,0,-1627.8597307903
"62",1.02564102564103,0,-1629.48497510724
"63",1.02564102564103,0,-1631.62072145458
"64",1.07692307692308,0,-1631.53214280707
"65",1.07692307692308,0,-1631.20464326791
"66",1.07692307692308,0,-1633.11685968777
"67",1.12820512820513,0,-1635.38328114823
"68",1.12820512820513,0,-1628.00263137576
"69",1.12820512820513,0,-1633.17691740896
"70",1.17948717948718,0,-1634.34219939889
"71",1.17948717948718,0,-1631.44841584747
"72",1.17948717948718,0,-1629.94446160993
"73",1.23076923076923,0,-1634.68595357812
"74",1.23076923076923,0,-1640.10848935087
"75",1.23076923076923,0,-1630.07481610695
"76",1.28205128205128,0,-1633.29828064186
"77",1.28205128205128,0,-1644.02926185171
"78",1.28205128205128,0,-1635.056201941
"79",1.33333333333333,0,-1638.68785507803
"80",1.33333333333333,0,-1637.69239526016
"81",1.33333333333333,0,-1636.3504458141
"82",1.38461538461538,0,-1635.92306056141
"83",1.38461538461538,0,-1640.16059552184
"84",1.38461538461538,0,-1638.20027724733
"85",1.43589743589744,0,-1631.31390768928
"86",1.43589743589744,0,-1627.63619952468
"87",1.43589743589744,0,-1636.71025506211
"88",1.48717948717949,0,-1633.12447269034
"89",1.48717948717949,0,-1633.440970251
"90",1.48717948717949,0,-1637.25143979307
"91",1.53846153846154,0,-1633.81585696476
"92",1.53846153846154,0,-1643.75710469039
"93",1.53846153846154,0,-1626.66174860194
"94",1.58974358974359,0,-1637.86696558314
"95",1.58974358974359,0,-1634.13917617868
"96",1.58974358974359,0,-1636.50233610514
"97",1.64102564102564,0,-1640.37248346293
"98",1.64102564102564,0,-1634.29842700321
"99",1.64102564102564,0,-1633.48150578098
"100",1.69230769230769,0,-1641.20391753394
"101",1.69230769230769,0,-1637.36723114114
"102",1.69230769230769,0,-1637.33935076601
"103",1.74358974358974,0,-1640.46432551197
"104",1.74358974358974,0,-1632.62575276017
"105",1.74358974358974,0,-1630.45250682177
"106",1.79487179487179,0,-1636.29920056232
"107",1.79487179487179,0,-1636.85404391308
"108",1.79487179487179,0,-1634.97731644464
"109",1.84615384615385,0,-1637.21552515808
"110",1.84615384615385,0,-1635.50074959732
"111",1.84615384615385,0,-1639.66410514948
"112",1.8974358974359,0,-1639.53791968333
"113",1.8974358974359,0,-1629.55078845552
"114",1.8974358974359,0,-1639.09485616369
"115",1.94871794871795,0,-1633.58455203184
"116",1.94871794871795,0,-1629.00041693453
"117",1.94871794871795,0,-1634.18018779003
"118",2,0,-1634.67985155851
"119",2,0,-1635.62347256567
"120",2,0,-1632.89303197528
"121",0,0,-1673.97767433381
"122",0,0,-1672.90478731137
"123",0,0,-1679.1274109393
"124",0.0512820512820513,0,-1649.06923023618
"125",0.0512820512820513,0,-1648.42624757185
"126",0.0512820512820513,0,-1649.10276861097
"127",0.102564102564103,0,-1629.80286937244
"128",0.102564102564103,0,-1634.66263572823
"129",0.102564102564103,0,-1630.02517265985
"130",0.153846153846154,0,-1618.92558183631
"131",0.153846153846154,0,-1618.49982953554
"132",0.153846153846154,0,-1621.31473265174
"133",0.205128205128205,0,-1611.60561290441
"134",0.205128205128205,0,-1612.22013132351
"135",0.205128205128205,0,-1610.67378451257
"136",0.256410256410256,0,-1608.11885703725
"137",0.256410256410256,0,-1608.8665209433
"138",0.256410256410256,0,-1607.17773770858
"139",0.307692307692308,0,-1605.81030180679
"140",0.307692307692308,0,-1606.11344285844
"141",0.307692307692308,0,-1604.63523803056
"142",0.358974358974359,0,-1603.86732191708
"143",0.358974358974359,0,-1602.92710581273
"144",0.358974358974359,0,-1603.98696130131
"145",0.41025641025641,0,-1604.80562014827
"146",0.41025641025641,0,-1603.81930562932
"147",0.41025641025641,0,-1604.41666127355
"148",0.461538461538462,0,-1605.48362593669
"149",0.461538461538462,0,-1605.93605829342
"150",0.461538461538462,0,-1604.52769547052
"151",0.512820512820513,0,-1607.74648630809
"152",0.512820512820513,0,-1606.47266629432
"153",0.512820512820513,0,-1607.20108339242
"154",0.564102564102564,0,-1608.27608505386
"155",0.564102564102564,0,-1608.35632588837
"156",0.564102564102564,0,-1608.49709675376
"157",0.615384615384615,0,-1610.93553864278
"158",0.615384615384615,0,-1610.34683834293
"159",0.615384615384615,0,-1610.07993327362
"160",0.666666666666667,0,-1613.58121361153
"161",0.666666666666667,0,-1612.90100295106
"162",0.666666666666667,0,-1614.22577505581
"163",0.717948717948718,0,-1616.1504677182
"164",0.717948717948718,0,-1615.5921061529
"165",0.717948717948718,0,-1617.14538320716
"166",0.769230769230769,0,-1617.4533209038
"167",0.769230769230769,0,-1618.85971591721
"168",0.769230769230769,0,-1619.03827102319
"169",0.82051282051282,0,-1619.39707499969
"170",0.82051282051282,0,-1620.57446143848
"171",0.82051282051282,0,-1622.63805259602
"172",0.871794871794872,0,-1626.00811620096
"173",0.871794871794872,0,-1625.90510198185
"174",0.871794871794872,0,-1626.24833915994
"175",0.923076923076923,0,-1627.91571741903
"176",0.923076923076923,0,-1625.11625566758
"177",0.923076923076923,0,-1628.38095072396
"178",0.974358974358974,0,-1629.08903488764
"179",0.974358974358974,0,-1631.14530575999
"180",0.974358974358974,0,-1630.74367386736
"181",1.02564102564103,0,-1626.63893486157
"182",1.02564102564103,0,-1633.5971933442
"183",1.02564102564103,0,-1627.35526721487
"184",1.07692307692308,0,-1628.60113870618
"185",1.07692307692308,0,-1629.99595412614
"186",1.07692307692308,0,-1632.50972290419
"187",1.12820512820513,0,-1634.00302551344
"188",1.12820512820513,0,-1633.74666101653
"189",1.12820512820513,0,-1630.70492898704
"190",1.17948717948718,0,-1634.71950104457
"191",1.17948717948718,0,-1634.37695763954
"192",1.17948717948718,0,-1638.06703660193
"193",1.23076923076923,0,-1636.7104381548
"194",1.23076923076923,0,-1638.14723271801
"195",1.23076923076923,0,-1630.11562235544
"196",1.28205128205128,0,-1638.16409539435
"197",1.28205128205128,0,-1635.0231353623
"198",1.28205128205128,0,-1634.76904630539
"199",1.33333333333333,0,-1633.02115782141
"200",1.33333333333333,0,-1638.91313573543
"201",1.33333333333333,0,-1639.04115356525
"202",1.38461538461538,0,-1626.61294341983
"203",1.38461538461538,0,-1628.00492653502
"204",1.38461538461538,0,-1637.26572630088
"205",1.43589743589744,0,-1637.68529544526
"206",1.43589743589744,0,-1633.50036568289
"207",1.43589743589744,0,-1637.02458706243
"208",1.48717948717949,0,-1631.12962501229
"209",1.48717948717949,0,-1632.0073279355
"210",1.48717948717949,0,-1630.88856142626
"211",1.53846153846154,0,-1627.31591934973
"212",1.53846153846154,0,-1633.17207566903
