"","c1","c2","loglik"
"1",0,0,-680.154987935692
"2",0,0,-681.096672150857
"3",0,0,-679.960853262737
"4",0.0512820512820513,0,-678.866603349899
"5",0.0512820512820513,0,-679.314868259569
"6",0.0512820512820513,0,-679.560787953051
"7",0.102564102564103,0,-679.628716557809
"8",0.102564102564103,0,-679.5763842412
"9",0.102564102564103,0,-680.15418416044
"10",0.153846153846154,0,-680.311263011274
"11",0.153846153846154,0,-680.692186468344
"12",0.153846153846154,0,-679.856384316455
"13",0.205128205128205,0,-682.147035872864
"14",0.205128205128205,0,-682.554228968225
"15",0.205128205128205,0,-683.165028552246
"16",0.256410256410256,0,-685.204168991719
"17",0.256410256410256,0,-685.177920052604
"18",0.256410256410256,0,-686.34400675855
"19",0.307692307692308,0,-687.878768390682
"20",0.307692307692308,0,-689.011238372488
"21",0.307692307692308,0,-688.213895035049
"22",0.358974358974359,0,-691.657888962863
"23",0.358974358974359,0,-690.427752740389
"24",0.358974358974359,0,-691.551742063007
"25",0.41025641025641,0,-694.038806053112
"26",0.41025641025641,0,-694.656867766573
"27",0.41025641025641,0,-693.875803771032
"28",0.461538461538462,0,-697.095827850721
"29",0.461538461538462,0,-696.992740080771
"30",0.461538461538462,0,-696.808580515387
"31",0.512820512820513,0,-700.074542822668
"32",0.512820512820513,0,-700.379301897845
"33",0.512820512820513,0,-699.900360098098
"34",0.564102564102564,0,-703.097607371039
"35",0.564102564102564,0,-703.16162312805
"36",0.564102564102564,0,-703.042010841582
"37",0.615384615384615,0,-705.461320086436
"38",0.615384615384615,0,-706.058701708084
"39",0.615384615384615,0,-706.501893148854
"40",0.666666666666667,0,-708.803701614761
"41",0.666666666666667,0,-708.690811986512
"42",0.666666666666667,0,-708.376880283666
"43",0.717948717948718,0,-711.495589171581
"44",0.717948717948718,0,-711.719568435324
"45",0.717948717948718,0,-711.169418794358
"46",0.769230769230769,0,-713.551812147842
"47",0.769230769230769,0,-714.092549028766
"48",0.769230769230769,0,-713.579914883753
"49",0.82051282051282,0,-714.773061535761
"50",0.82051282051282,0,-715.429974793118
"51",0.82051282051282,0,-715.412994742049
"52",0.871794871794872,0,-716.171196246126
"53",0.871794871794872,0,-716.77118868297
"54",0.871794871794872,0,-715.184223227547
"55",0.923076923076923,0,-717.357119588201
"56",0.923076923076923,0,-716.979504355163
"57",0.923076923076923,0,-717.312460556337
"58",0.974358974358974,0,-718.351721986306
"59",0.974358974358974,0,-716.222947484026
"60",0.974358974358974,0,-717.822777786248
"61",1.02564102564103,0,-715.908716635998
"62",1.02564102564103,0,-718.432305296555
"63",1.02564102564103,0,-719.420203627295
"64",1.07692307692308,0,-718.792028393663
"65",1.07692307692308,0,-717.191993067721
"66",1.07692307692308,0,-718.067974701263
"67",1.12820512820513,0,-720.345041824613
"68",1.12820512820513,0,-719.282542730193
"69",1.12820512820513,0,-718.197526830488
"70",1.17948717948718,0,-718.48002354079
"71",1.17948717948718,0,-717.525200180626
"72",1.17948717948718,0,-717.890708990804
"73",1.23076923076923,0,-720.705640806759
"74",1.23076923076923,0,-719.11531136809
"75",1.23076923076923,0,-714.230505079873
"76",1.28205128205128,0,-718.820211043547
"77",1.28205128205128,0,-720.662189473832
"78",1.28205128205128,0,-722.39736244816
"79",1.33333333333333,0,-720.271676232398
"80",1.33333333333333,0,-722.024836559375
"81",1.33333333333333,0,-719.644912015692
"82",1.38461538461538,0,-722.471494002016
"83",1.38461538461538,0,-716.015434246523
"84",1.38461538461538,0,-721.965773164132
"85",1.43589743589744,0,-719.051690180149
"86",1.43589743589744,0,-724.744377785118
"87",1.43589743589744,0,-722.430053068699
"88",1.48717948717949,0,-721.32426004701
"89",1.48717948717949,0,-722.477432991439
"90",1.48717948717949,0,-720.60722740742
"91",1.53846153846154,0,-723.197691903249
"92",1.53846153846154,0,-720.95604358854
"93",1.53846153846154,0,-714.93741120544
"94",1.58974358974359,0,-720.255228823955
"95",1.58974358974359,0,-721.069936027149
"96",1.58974358974359,0,-714.387472739733
"97",1.64102564102564,0,-716.821496150694
"98",1.64102564102564,0,-718.072834446461
"99",1.64102564102564,0,-723.385793745662
"100",1.69230769230769,0,-721.238994677595
"101",1.69230769230769,0,-718.681210093437
"102",1.69230769230769,0,-722.75636238472
"103",1.74358974358974,0,-721.191407086467
"104",1.74358974358974,0,-721.053752358376
"105",1.74358974358974,0,-718.063961685094
"106",1.79487179487179,0,-717.774953823363
"107",1.79487179487179,0,-717.971493939251
"108",1.79487179487179,0,-719.104338833886
"109",1.84615384615385,0,-719.945403268525
"110",1.84615384615385,0,-722.51725527625
"111",1.84615384615385,0,-718.448836165723
"112",1.8974358974359,0,-718.4163867441
"113",1.8974358974359,0,-720.003326203439
