"c1","lower","upper","point"
0.25,0.17,0.3,0.23
0.3,0.19,0.33,0.25
0.35,0.22,0.37,0.31
0.4,0.25,0.4,0.31
0.45,0.27,0.46,0.32
0.5,0.29,0.51,0.39
0.55,0.31,0.58,0.4
0.6,0.32,0.64,0.48
0.65,0.37,0.69,0.51
0.7,0.39,0.75,0.57
0.75,0.47,0.81,0.63
0.8,0.49,0.86,0.65
0.85,0.56,0.9,0.73
0.9,0.64,1,0.83
0.95,0.66,1.08,0.88
