"c1","lower","upper","point"
0.25,0.21,0.32,0.26
0.3,0.23,0.34,0.31
0.35,0.26,0.38,0.32
0.4,0.28,0.43,0.37
0.45,0.32,0.49,0.39
0.5,0.36,0.55,0.47
0.55,0.4,0.61,0.5
0.6,0.45,0.66,0.56
0.65,0.49,0.71,0.59
0.7,0.53,0.77,0.64
0.75,0.57,0.81,0.68
0.8,0.6,0.86,0.73
0.85,0.63,0.91,0.76
0.9,0.66,0.95,0.8
0.95,0.7,1,0.84
