"c2","lower","upper","point"
0.25,0.17,0.41,0.29
0.3,0.21,0.46,0.33
0.35,0.25,0.51,0.38
0.4,0.3,0.56,0.42
0.45,0.34,0.61,0.47
0.5,0.37,0.66,0.51
0.55,0.42,0.71,0.57
0.6,0.45,0.77,0.59
0.65,0.5,0.82,0.64
0.7,0.52,0.87,0.66
0.75,0.56,0.94,0.73
0.8,0.6,1.01,0.76
0.85,0.62,1.12,0.83
0.9,0.69,1.16,0.89
0.95,0.72,1.28,0.92
