"month","mean","lower","upper","H1N"
2014.75,0.00015,0,0.00031,NA
2014.83333333333,0.00409,5.97500000000001e-05,0.00871074999999999,NA
2014.91666666667,0.05277,0.00040925,0.117121,0
2015,0.33153,0.00322775,0.71487175,0.21875
2015.08333333333,0.502595,0.01546975,1.03775,0.77493
2015.16666666667,0.143,0.00560575,0.29333025,0.16605
2015.25,0.00873,0.00014,0.0176705,0.00539
2015.33333333333,0.00022,0,0.00047,NA
2015.41666666667,1e-05,0,3e-05,NA
2015.5,0,0,1e-05,NA
2015.58333333333,0,0,1e-05,NA
2015.66666666667,1e-05,0,2e-05,NA
2015.75,0.00013,1e-05,0.00028,NA
2015.83333333333,0.00389,0.00010975,0.00959025,NA
2015.91666666667,0.05323,0.00345725,0.13983025,0.05612
2016,0.332115,0.00190825,0.916038999999999,0.37742
2016.08333333333,0.59914,0.0262547500000001,1.41595175,0.6828
2016.16666666667,0.186055,0.00576725000000001,0.3780145,0.19526
2016.25,0.01095,0.00039975,0.02266125,0.01078
2016.33333333333,3e-04,0,0.00064,NA
2016.41666666667,2e-05,0,4e-05,NA
2016.5,1e-05,0,1e-05,NA
2016.58333333333,0,0,1e-05,NA
2016.66666666667,1e-05,0,2e-05,NA
2016.75,7e-05,0,0.00015,NA
2016.83333333333,0.00082,0,0.00247025,NA
2016.91666666667,0.00502,7e-05,0.021071,0.01118
2017,0.015835,0.00049975,0.08075325,0.03872
2017.08333333333,0.0208,0.00032,0.12399675,0.01247
2017.16666666667,0.006845,1e-04,0.04259125,0.0132
2017.25,0.00041,1e-05,0.00262,NA
2017.33333333333,1e-05,0,6e-05,NA
2017.41666666667,0,0,1e-05,NA
2017.5,0,0,1e-05,NA
2017.58333333333,0,0,1e-05,NA
2017.66666666667,1e-05,0,2e-05,NA
2017.75,1e-04,0,0.00022,NA
2017.83333333333,0.00274,8e-05,0.00682,NA
2017.91666666667,0.03736,0.000419,0.11058225,0.09988
2018,0.270495,0.00565925000000001,0.83283775,0.46229
2018.08333333333,0.59173,0.01497075,1.519041,0.75541
2018.16666666667,0.21838,0,0.48750125,0.39305
2018.25,0.014245,0.00054925,0.030761,0.01601
2018.33333333333,4e-04,0,0.00088,NA
2018.41666666667,2e-05,0,5e-05,NA
2018.5,1e-05,0,1e-05,NA
2018.58333333333,1e-05,0,1e-05,NA
2018.66666666667,1e-05,0,2e-05,NA
2018.75,0.00017,0,0.00039,NA
2018.83333333333,0.00612,0.00023975,0.020942,NA
2018.91666666667,0.12688,0,0.550956,NA
2019,1.09409,0.04484125,3.5616575,0.63882
2019.08333333333,1.45842,0.0516670000000001,3.05718275,1.07013
2019.16666666667,0.282775,0,0.6657025,0.36421
2019.25,0.01675,0.00059975,0.0439415,NA
2019.33333333333,0.00056,0,0.00143,NA
2019.41666666667,3e-05,0,8e-05,NA
2019.5,1e-05,0,2e-05,NA
2019.58333333333,1e-05,0,1e-05,NA
2019.66666666667,1e-05,0,3e-05,NA
