sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.006310403121434,4.99339442679581,3.92996792261239,0.259736067154657,0.800714970959617,5.64518051458961,4.84552319190357,1.3786094906906,0.99217588230848,0.092906899957991,18.1236564541941,13.7206878772504,2.27940972237927,1.92862290847802,0.808776647349034,1,0.502792702990593,0.567391918004383,4.7419420351463,0.197788366503595,0.195743647525011,3.65169117523218E-08,7.25482058263256E-08,0.247243433678888,0.227255877448661,0.104782095566781,0.047509971401834,4.64578038114684E-08,4.02534140299092E-08,0.177464778602489,0.103124692246848,0.497803763969111,0.53665125103741,-450.125690627499,0.026576293629274
0.00928682590058,5.0422404349549,3.78027005641507,0.29793164674717,0.492017478086873,5.70264325565628,4.57518708509201,0.850515789920905,0.987523777190026,0.094954352674107,16.2429278800794,9.64256193932083,4.14898282691504,2.89714080316905,0.987555755821441,1,0.391518820426048,0.682960002611052,15.1694300873145,4.34656124574058,0.221926766159686,4.41409926721105E-08,5.65450293832394E-08,0.196970042033894,0.22112702992913,0.122481884342727,0.040569517141559,3.34855674499581E-08,5.53611359588616E-08,0.196924570860278,0.095601151354042,0.474874245835206,0.174800712433284,-451.67425983943,0.047170016133024
0.011143776290963,5.0180491117915,3.93224740943207,0.504617213347572,1.1111705424679,5.58137167707415,4.84162164115712,0.891742009781483,0.988376881813684,0.089929273665237,35.9798637950126,16.4968036879636,4.44937335426156,2.97962540937226,0.751851544727012,1,0.481785759788181,0.673449291457284,0.281615574020484,0.281052349668394,0.28313915060511,3.90343854751505E-08,5.15112140642943E-08,0.143048963921859,0.112799117277685,0.10493973772251,0.051990545674668,3.89781812844661E-08,5.16151866285778E-08,0.304082303659201,0.111547455649283,0.490125471276936,0.560387766314146,-451.686364394542,0.053570349078981
0.011985782436103,5.20671445770013,3.74680903932627,0.231906725236462,2.66398921930804,5.3755631376092,4.98116761335612,0.630019109443739,0.985125028877269,0.101844427904493,35.3077102606448,31.5283197787426,6.29354727161869,5.45844025634174,0.752906934066099,1,0.629342606806225,0.592521116682566,0.379512861411822,0.670322145279727,0.057098350146669,7.32809497404318E-08,4.53890296531709E-08,0.242466329680775,0.158283177113335,0.094288555430728,0.104501762301587,7.55965309862646E-08,8.47536155523024E-08,0.34336154630678,0.15640740300925,0.475864312589324,0.271434823222096,-451.788779110485,0.029524501701162
0.012477420505911,5.20179229372342,3.8815443172099,0.190649617772189,2.10252068347891,5.59525750149216,4.89403106533689,1.11396791661163,0.981587599128836,0.088340451895458,43.1062854027812,13.4206153945657,3.57024843107704,1.69338201540908,0.424576336784794,1,0.667626750154808,0.566367759224563,4.13948167851542,5.97985385526951,0.168538424717565,4.51893612147422E-08,4.5367760521656E-08,0.208517103673189,0.159601477732763,0.07798925453067,0.046266139533563,4.86419723121852E-08,3.46722570078866E-08,0.339087425940898,0.130327590854775,0.48484582822978,0.586617155006846,-452.644136310466,0.01660003024886
0.009296783053944,5.33921186989692,3.70616908798783,0.17365986526281,1.36171722575734,5.98691185986805,4.48911870894571,0.56894153186604,0.982491764000869,0.091877828485796,47.6662014648976,18.8425936173798,9.87419307233471,4.50382654049784,0.949243051680123,1,0.549566209200441,0.986249071830014,26.7998730928046,0.926205848695669,0.08517129416815,4.35751758996871E-08,5.184719309513E-08,0.167850397610185,0.145259564447591,0.11413052547328,0.100848712500665,4.75603163415051E-08,4.72447764213102E-08,0.386739315572668,0.146012104393109,0.508772873637202,0.262506035100097,-452.731106677508,0.016997209248109
0.006264582296908,4.95221604366831,3.49472041856311,0.296988077492099,1.48131105999114,5.53219505655914,4.50512619349358,1.45826272621804,0.988939022406301,0.082875567055834,26.7918478216067,6.73353909737155,2.74682445239388,1.24357208964946,0.575512212403654,1,0.643929805323277,0.725714926164464,2.43891058207417,6.30459904754233,0.264124439079694,3.61817510079417E-08,4.43332067846619E-08,0.260467954041657,0.200541038053688,0.051177656141529,0.036858992305638,3.67301318055778E-08,2.94575952087702E-08,0.186829773675109,0.094669417035481,0.545526322916864,0.718266052487441,-452.876023363023,0.039040955100866
0.010215695607133,4.93865031583206,3.20383898331023,0.482791689761796,1.13993758803846,5.60027050286736,4.18982873830057,0.917327070369817,0.989913755258094,0.090474486208945,15.2198453348255,7.81506148088517,3.86286828852746,2.97641194884643,0.968854421196937,1,0.547803197619097,0.689428943454237,1.92539266535122,7.42436338372896,0.244455983323938,6.87298855644419E-08,7.46384868114815E-08,0.275158132419334,0.222201488023256,0.105100956235409,0.080922551408518,7.97086555656779E-08,7.61870308443594E-08,0.072160589325487,0.088590076709198,0.466895190179061,0.850899546068012,-453.113449117901,0.054547866461256
0.011755082991544,5.18395712391332,4.02131013701134,0.243766976068718,2.76960494851416,5.67203604162383,4.81547233483758,1.36921647561666,0.990694819983419,0.092864998841793,18.4239497989773,19.8505512515445,2.00109307101106,2.21901549212366,0.483110635182515,1,0.499669862901586,0.424837494393139,1.95863844077267,35.1623901854279,0.186692308600171,6.53545686929558E-08,8.03793511959516E-08,0.301269989031058,0.104593870359037,0.07373199388137,0.153687711002407,8.0164686221713E-08,5.95237027373091E-08,0.180023841703648,0.121606494741564,0.496578092352448,0.112839428384825,-453.232181219427,0.065679677592973
0.010051427716043,5.11590413492328,3.48409488898412,0.226487207100472,0.546061823262472,5.6781968579002,4.12412762335488,1.33857347987611,0.967636478325892,0.094032537094693,13.3883822553144,2.6676686542228,3.32860237223826,4.0531108231437,0.458210347286979,1,0.469931165442164,0.545342476763703,3.26072708329635,3.33791258504115,0.313176868153397,6.72615254337218E-08,5.72907596318647E-08,0.194369974910657,0.186659826298196,0.157556216906234,0.079975619186373,4.66680051727344E-08,5.19356878946157E-08,0.068261271389165,0.075494765641365,0.508039277836403,0.684068646265127,-453.396281782779,0.017795578548592
