"month","Et_H3N","Et_H1N"
2014.75,0.681569587702304,0.750514358157786
2014.83333333333,0.681569587702304,0.750514358157786
2014.91666666667,0.681569587702304,0.750514358157786
2015,0.681569587702304,0.750514358157786
2015.08333333333,0.681569587702304,0.750514358157786
2015.16666666667,0.681569587702304,0.750514358157786
2015.25,0.681569587702304,0.750514358157786
2015.33333333333,0.681569587702304,0.750514358157786
2015.41666666667,0.681569587702304,0.750514358157786
2015.5,0.681569587702304,0.750514358157786
2015.58333333333,0.681569587702304,0.750514358157786
2015.66666666667,0.681569587702304,0.750514358157786
2015.75,0.830267476077754,0.261253179934539
2015.83333333333,0.830267476077754,0.261253179934539
2015.91666666667,0.830267476077754,0.261253179934539
2016,0.830267476077754,0.261253179934539
2016.08333333333,0.830267476077754,0.261253179934539
2016.16666666667,0.830267476077754,0.261253179934539
2016.25,0.830267476077754,0.261253179934539
2016.33333333333,0.830267476077754,0.261253179934539
2016.41666666667,0.830267476077754,0.261253179934539
2016.5,0.830267476077754,0.261253179934539
2016.58333333333,0.830267476077754,0.261253179934539
2016.66666666667,0.830267476077754,0.261253179934539
2016.75,0.862839156297637,0.426575217389538
2016.83333333333,0.862839156297637,0.426575217389538
2016.91666666667,0.862839156297637,0.426575217389538
2017,0.862839156297637,0.426575217389538
2017.08333333333,0.862839156297637,0.426575217389538
2017.16666666667,0.862839156297637,0.426575217389538
2017.25,0.862839156297637,0.426575217389538
2017.33333333333,0.862839156297637,0.426575217389538
2017.41666666667,0.862839156297637,0.426575217389538
2017.5,0.862839156297637,0.426575217389538
2017.58333333333,0.862839156297637,0.426575217389538
2017.66666666667,0.862839156297637,0.426575217389538
2017.75,0.545414312362176,0.83403026919252
2017.83333333333,0.545414312362176,0.83403026919252
2017.91666666667,0.545414312362176,0.83403026919252
2018,0.545414312362176,0.83403026919252
2018.08333333333,0.545414312362176,0.83403026919252
2018.16666666667,0.545414312362176,0.83403026919252
2018.25,0.545414312362176,0.83403026919252
2018.33333333333,0.545414312362176,0.83403026919252
2018.41666666667,0.545414312362176,0.83403026919252
2018.5,0.545414312362176,0.83403026919252
2018.58333333333,0.545414312362176,0.83403026919252
2018.66666666667,0.545414312362176,0.83403026919252
2018.75,0.672627124798343,1.32034463256383
2018.83333333333,0.672627124798343,1.32034463256383
2018.91666666667,0.672627124798343,1.32034463256383
2019,0.672627124798343,1.32034463256383
2019.08333333333,0.672627124798343,1.32034463256383
2019.16666666667,0.672627124798343,1.32034463256383
2019.25,0.672627124798343,1.32034463256383
2019.33333333333,0.672627124798343,1.32034463256383
2019.41666666667,0.672627124798343,1.32034463256383
2019.5,0.672627124798343,1.32034463256383
2019.58333333333,0.672627124798343,1.32034463256383
2019.66666666667,0.672627124798343,1.32034463256383
